fold,n_test,n_train,sse,rmse,k
0,1957,7900,9806.3280163427171,2.2385035899226144,28
1,2264,7593,10642.427998771167,2.1681141761284883,28
2,1674,8183,7658.1049623376157,2.1388628163477637,28
3,1433,8424,7014.8274323514925,2.2125108067598123,28
4,2529,7328,11172.885214697757,2.101881626534738,28
