group,target,n,SSE_total,SST_pooled,sum_within_SST,between_fold_mean_SST,between_SST_share,pooled_R2,mean_fold_R2,within_SST_weighted_fold_R2,weighting_component_R2,between_mean_denominator_component_R2,gap_R2,gap_percentage_points
main,E0,60436,239048.83656046493,246345.96253365662,246224.86040922184,121.10212443475008,0.0004915937050042162,0.029621455525964735,0.02872392498973373,0.029144188920771308,0.0004202639310375775,0.0004772666051934271,0.0008975305362310046,0.08975305362310046
main,R0c,60436,109606.9365767134,120714.59007607783,120589.55000789271,125.0400681851169,0.0010358322726881069,0.09201583248855061,0.08944884224858758,0.09107433795432929,0.0016254957057417058,0.000941494534221321,0.0025669902399630268,0.2566990239963027
weather,E0,9857,47299.16110045796,48476.57391077488,48169.0155362766,307.55837449828215,0.006344474241607268,0.02428828432644692,0.02001656647371104,0.018058381018053904,-0.0019581854556571347,0.006229903308393014,0.00427171785273588,0.42717178527358796
weather,R0c,9857,17726.49438572393,23250.017643912906,22226.356318456856,1023.6613254560541,0.04402841069344561,0.23757071253815099,0.16554520583545818,0.2024561231836377,0.03691091734817953,0.03511458935451328,0.07202550670269281,7.2025506702692805
