model,n,gust_mean,gust_sd,pressure_reference_hPa,physical_linear_gust,physical_quadratic_gust,pressure_physical,source,cross_period_independence_assumed,CV_inverse_variance_interval,minimum_ms,minimum_status,minimum_failure,support_low,support_high,physical_linear_LAD_SE,physical_quadratic_LAD_SE
main_E0_development,48323,9.690894608982568,5.274015917517526,1012.0748262233079,-0.07775462234479237,0.0032035587580658592,1012.0748262233079,single full fit and its own scaler,False,,12.135663525606212,conditional_fitted_minimum,,2.0999999046325684,28.5,0.008177420063397011,0.0003587809553088971
main_E0_later,12113,10.785197727308988,5.212870179442403,1012.0748262233079,-0.12288387343073397,0.006283987252510818,1012.0748262233079,single full fit and its own scaler,False,,9.777539999117177,conditional_fitted_minimum,,2.4000000953674316,25.799999237060547,0.014458528703064072,0.0006116613402875874
main_R0c_development,48323,9.690894608982568,5.274015917517526,1012.0748262233079,-0.057717858172484995,0.0028219100611616478,1012.0748262233079,single full fit and its own scaler,False,,10.22673595570322,conditional_fitted_minimum,,2.0999999046325684,28.5,0.005813003089251756,0.0002845004664732576
main_R0c_later,12113,10.785197727308988,5.212870179442403,1012.0748262233079,-0.057055105619175026,0.0026059239939368864,1012.0748262233079,single full fit and its own scaler,False,,10.947192963402456,conditional_fitted_minimum,,2.4000000953674316,25.799999237060547,0.011328779271584495,0.0004312503306571645
weather_E0_development,7750,14.080812910879812,7.492406254171459,1004.9836055248253,0.0011580652002420831,0.00022477651915363929,1004.9836055248253,single full fit and its own scaler,False,,,unavailable,outside_declared_support,2.700000047683716,33.79999923706055,0.02097126495732269,0.0006358897247023354
weather_E0_later,2107,15.513194120462098,6.305795317475025,1004.9836055248253,-0.06279891287500537,0.004009522859203085,1004.9836055248253,single full fit and its own scaler,False,,7.8312202075195305,conditional_fitted_minimum,,3.5,27.899999618530273,0.040941146271499224,0.0012498308404070115
weather_R0c_development,7750,14.080812910879812,7.492406254171459,1004.9836055248253,-0.027808122468556164,0.0019147049473313734,1004.9836055248253,single full fit and its own scaler,False,,7.261725235346008,conditional_fitted_minimum,,2.700000047683716,33.79999923706055,0.017901057663048482,0.0006354040729242649
weather_R0c_later,2107,15.513194120462098,6.305795317475025,1004.9836055248253,-0.02931156144995667,0.0029856290906548092,1004.9836055248253,single full fit and its own scaler,False,,4.908774760686709,conditional_fitted_minimum,,3.5,27.899999618530273,0.024788115564575976,0.000749128888495338
