model,covariance,n,effective_k,symmetry_maxerr,min_eigenvalue,max_abs_eigenvalue,negative_diagonal_n,PSD_at_scaled_tolerance,scaled_tolerance,physical_linear_variance,physical_quadratic_variance,physical_2x2_min_eigenvalue,clusters_and_factors
main_R0c_development,intersection,48323,27,9.285974766903848e-15,2.4872206172810945e-07,0.09477606727027127,0,True,9.477606727027127e-12,4.011443315088656e-05,8.538867922239557e-08,7.191120235646869e-09,"{""LAD"": {""clusters"": 111, ""factor"": 1.0096341500143058}, ""date"": {""clusters"": 912, ""factor"": 1.00163663264243}, ""intersection"": {""clusters"": 34003, ""factor"": 1.0005677727285274}}"
main_R0c_development,two_way,48323,27,2.0186977089942104e-14,8.808797241311739e-07,0.44539268664324794,0,True,4.453926866432476e-11,5.541335896584581e-05,9.291114950556459e-08,1.995418969520947e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.0096341500143058}, ""date"": {""clusters"": 912, ""factor"": 1.00163663264243}, ""intersection"": {""clusters"": 34003, ""factor"": 1.0005677727285274}}"
main_R0c_later,LAD,12113,20,3.1105673592435323e-13,1.7249872233532654e-06,0.8439803467916651,0,True,8.439803467916652e-11,0.00012834123978428254,1.859768476919137e-07,2.6147478792038925e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.0106763492027695}, ""date"": {""clusters"": 184, ""factor"": 1.00704422329858}, ""intersection"": {""clusters"": 7922, ""factor"": 1.0016976019069816}}"
main_R0c_later,date,12113,20,2.1184443088628768e-13,-5.6991249215904486e-18,0.32863119188465273,0,True,3.286311918846527e-11,0.0001813339084485825,3.5411529062836807e-07,5.285912485584395e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.0106763492027695}, ""date"": {""clusters"": 184, ""factor"": 1.00704422329858}, ""intersection"": {""clusters"": 7922, ""factor"": 1.0016976019069816}}"
main_R0c_later,intersection,12113,20,1.8016491076799923e-13,1.0099696264122202e-06,0.34540452005029665,0,True,3.454045200502969e-11,0.00010527722721301182,1.7214874910587756e-07,2.4562793144609776e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.0106763492027695}, ""date"": {""clusters"": 184, ""factor"": 1.00704422329858}, ""intersection"": {""clusters"": 7922, ""factor"": 1.0016976019069816}}"
main_R0c_later,two_way,12113,20,3.4275360327740145e-13,-0.000477407973992837,0.8085359551578035,0,False,8.08535955157803e-11,0.00020439792101985317,3.679433892144042e-07,5.6514397400862825e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.0106763492027695}, ""date"": {""clusters"": 184, ""factor"": 1.00704422329858}, ""intersection"": {""clusters"": 7922, ""factor"": 1.0016976019069816}}"
weather_E0_development,LAD,7750,25,2.3268609261606343e-12,4.366594222200296e-06,7.598475002709524,0,True,7.598475002709528e-10,0.00043979395391023065,4.0435574198201195e-07,2.992269925828162e-08,"{""LAD"": {""clusters"": 104, ""factor"": 1.0128456970496749}, ""date"": {""clusters"": 829, ""factor"": 1.0043182777543267}, ""intersection"": {""clusters"": 4893, ""factor"": 1.003311846565425}}"
weather_E0_development,date,7750,25,4.503376838105311e-13,2.108765443975491e-06,3.4341428129592577,0,True,3.434142812959257e-10,0.001340649169281344,1.8499373589540308e-06,8.560575699378881e-08,"{""LAD"": {""clusters"": 104, ""factor"": 1.0128456970496749}, ""date"": {""clusters"": 829, ""factor"": 1.0043182777543267}, ""intersection"": {""clusters"": 4893, ""factor"": 1.003311846565425}}"
weather_E0_development,intersection,7750,25,6.541676922378059e-13,4.54430336960107e-06,2.9926712986416693,0,True,2.992671298641671e-10,0.00041659370844877814,4.387034095835872e-07,3.9546936933102516e-08,"{""LAD"": {""clusters"": 104, ""factor"": 1.0128456970496749}, ""date"": {""clusters"": 829, ""factor"": 1.0043182777543267}, ""intersection"": {""clusters"": 4893, ""factor"": 1.003311846565425}}"
weather_E0_development,two_way,7750,25,2.123079489990687e-12,-8.573379385471481e-05,7.989198368990763,0,False,7.989198368990764e-10,0.0013638494147427964,1.8155896913524553e-06,8.572790478419717e-08,"{""LAD"": {""clusters"": 104, ""factor"": 1.0128456970496749}, ""date"": {""clusters"": 829, ""factor"": 1.0043182777543267}, ""intersection"": {""clusters"": 4893, ""factor"": 1.003311846565425}}"
weather_E0_later,LAD,2107,17,2.395694753687394e-12,1.4283422639878773e-05,10.871297670769579,0,True,1.0871297670769577e-09,0.0016761774580242948,1.5620771296324964e-06,1.0145656941814343e-07,"{""LAD"": {""clusters"": 89, ""factor"": 1.0191061331013485}, ""date"": {""clusters"": 172, ""factor"": 1.013548224628557}, ""intersection"": {""clusters"": 1229, ""factor"": 1.0084760687623706}}"
weather_E0_later,date,2107,17,2.259858966624506e-12,6.024071370068137e-06,6.22277425470144,0,True,6.222774254701439e-10,0.0026668619780042214,3.113816376995262e-06,2.1553078825011377e-07,"{""LAD"": {""clusters"": 89, ""factor"": 1.0191061331013485}, ""date"": {""clusters"": 172, ""factor"": 1.013548224628557}, ""intersection"": {""clusters"": 1229, ""factor"": 1.0084760687623706}}"
weather_E0_later,intersection,2107,17,1.3633538742396922e-12,1.3982586058727927e-05,8.861627637257419,0,True,8.861627637257421e-10,0.0016884510749156918,1.6638885889856973e-06,1.3691899292622649e-07,"{""LAD"": {""clusters"": 89, ""factor"": 1.0191061331013485}, ""date"": {""clusters"": 172, ""factor"": 1.013548224628557}, ""intersection"": {""clusters"": 1229, ""factor"": 1.0084760687623706}}"
weather_E0_later,two_way,2107,17,3.2922553572234392e-12,-0.010979916784051939,8.455938856634546,0,False,8.455938856634545e-10,0.002654588361112825,3.0120049176420608e-06,1.8554225130683834e-07,"{""LAD"": {""clusters"": 89, ""factor"": 1.0191061331013485}, ""date"": {""clusters"": 172, ""factor"": 1.013548224628557}, ""intersection"": {""clusters"": 1229, ""factor"": 1.0084760687623706}}"
weather_R0c_development,LAD,7750,27,1.0164091790443308e-13,1.8064983408015088e-06,2.596906376936544,0,True,2.5969063769365446e-10,0.0003204478654557868,4.0373833588874464e-07,1.2162606504034739e-08,"{""LAD"": {""clusters"": 104, ""factor"": 1.0131079903805176}, ""date"": {""clusters"": 829, ""factor"": 1.004578362767341}, ""intersection"": {""clusters"": 4893, ""factor"": 1.0035716709462523}}"
weather_R0c_development,date,7750,27,1.488947853900413e-13,1.3527155156735062e-06,1.3499713202007424,0,True,1.3499713202007422e-10,0.00041499884502480287,4.3441530969423935e-07,1.7165076444439266e-08,"{""LAD"": {""clusters"": 104, ""factor"": 1.0131079903805176}, ""date"": {""clusters"": 829, ""factor"": 1.004578362767341}, ""intersection"": {""clusters"": 4893, ""factor"": 1.0035716709462523}}"
weather_R0c_development,intersection,7750,27,8.712475185745916e-14,1.5641510742784201e-06,1.5413856433106723,0,True,1.5413856433106722e-10,0.00021097922546851983,2.5370117290191594e-07,1.7550924979289583e-08,"{""LAD"": {""clusters"": 104, ""factor"": 1.0131079903805176}, ""date"": {""clusters"": 829, ""factor"": 1.004578362767341}, ""intersection"": {""clusters"": 4893, ""factor"": 1.0035716709462523}}"
weather_R0c_development,two_way,7750,27,1.4026280137358071e-13,-5.190851553863126e-05,2.3792984504504684,0,False,2.3792984504504676e-10,0.0005244674850120699,5.844524726810681e-07,1.3649624601696715e-08,"{""LAD"": {""clusters"": 104, ""factor"": 1.0131079903805176}, ""date"": {""clusters"": 829, ""factor"": 1.004578362767341}, ""intersection"": {""clusters"": 4893, ""factor"": 1.0035716709462523}}"
weather_R0c_later,LAD,2107,19,2.3714363805993344e-12,3.895969316501904e-06,4.106044134604982,0,True,4.1060441346049806e-10,0.0006144506732427738,5.611940915782606e-07,6.268837943151536e-08,"{""LAD"": {""clusters"": 89, ""factor"": 1.0200822884012541}, ""date"": {""clusters"": 172, ""factor"": 1.014519056261343}, ""intersection"": {""clusters"": 1229, ""factor"": 1.0094420420083117}}"
weather_R0c_later,date,2107,19,2.2609136784979e-12,3.5292374849801544e-06,2.695192174386026,0,True,2.695192174386027e-10,0.0005449931898461282,6.817114505266316e-07,5.603342102891514e-08,"{""LAD"": {""clusters"": 89, ""factor"": 1.0200822884012541}, ""date"": {""clusters"": 172, ""factor"": 1.014519056261343}, ""intersection"": {""clusters"": 1229, ""factor"": 1.0094420420083117}}"
weather_R0c_later,intersection,2107,19,2.5008883852706276e-12,5.240150265897774e-06,3.482701001497462,0,True,3.482701001497464e-10,0.0006069344066269508,6.39669466202445e-07,5.3497179611247383e-08,"{""LAD"": {""clusters"": 89, ""factor"": 1.0200822884012541}, ""date"": {""clusters"": 172, ""factor"": 1.014519056261343}, ""intersection"": {""clusters"": 1229, ""factor"": 1.0094420420083117}}"
weather_R0c_later,two_way,2107,19,2.1314061626753755e-12,-0.001083028487630546,3.355748315539628,0,False,3.3557483155396297e-10,0.000552509456461951,6.032360759024471e-07,7.363301139956283e-08,"{""LAD"": {""clusters"": 89, ""factor"": 1.0200822884012541}, ""date"": {""clusters"": 172, ""factor"": 1.014519056261343}, ""intersection"": {""clusters"": 1229, ""factor"": 1.0094420420083117}}"
