model,covariance,n,effective_k,symmetry_maxerr,min_eigenvalue,max_abs_eigenvalue,negative_diagonal_n,PSD_at_scaled_tolerance,scaled_tolerance,physical_linear_variance,physical_quadratic_variance,physical_2x2_min_eigenvalue,clusters_and_factors
main_E0_development,LAD,48323,25,1.6381362412387634e-13,2.4896060536177323e-06,1.1582681282162075,0,True,1.1582681282162066e-10,6.687019889324798e-05,1.2872377389236483e-07,1.6523208933244075e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.0095923414860017}, ""date"": {""clusters"": 912, ""factor"": 1.0015951552879787}, ""intersection"": {""clusters"": 34003, ""factor"": 1.0005263396351187}}"
main_E0_development,date,48323,25,1.5749554438393432e-14,9.665366950177172e-07,0.19194374862503422,0,True,1.9194374862503437e-11,0.0007096646445862578,1.6311957761218786e-06,3.600719312591896e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.0095923414860017}, ""date"": {""clusters"": 912, ""factor"": 1.0015951552879787}, ""intersection"": {""clusters"": 34003, ""factor"": 1.0005263396351187}}"
main_E0_development,intersection,48323,25,6.518223460982853e-15,5.746508212731063e-07,0.17409747849038612,0,True,1.7409747849038612e-11,8.260771017865776e-05,1.6287266227862336e-07,1.3708222269198867e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.0095923414860017}, ""date"": {""clusters"": 912, ""factor"": 1.0015951552879787}, ""intersection"": {""clusters"": 34003, ""factor"": 1.0005263396351187}}"
main_E0_development,two_way,48323,25,1.6178725026350094e-13,2.779352177010807e-06,1.158338963489606,0,True,1.1583389634896058e-10,0.000693927133300848,1.5970468877356198e-06,3.960122785816626e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.0095923414860017}, ""date"": {""clusters"": 912, ""factor"": 1.0015951552879787}, ""intersection"": {""clusters"": 34003, ""factor"": 1.0005263396351187}}"
main_E0_later,LAD,12113,18,5.838385330747542e-13,4.882273011984674e-06,1.5736076634469915,0,True,1.573607663446991e-10,0.00020904905225732764,3.7412959520240783e-07,5.0052686063409526e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.010509226201661}, ""date"": {""clusters"": 184, ""factor"": 1.0068777008970422}, ""intersection"": {""clusters"": 7922, ""factor"": 1.0015319636098494}}"
main_E0_later,date,12113,18,1.6420198534206065e-13,-1.4738473127512557e-17,0.7765495924614876,0,True,7.765495924614876e-11,0.0004201090410187882,7.367605253295188e-07,1.0012881779481573e-07,"{""LAD"": {""clusters"": 111, ""factor"": 1.010509226201661}, ""date"": {""clusters"": 184, ""factor"": 1.0068777008970422}, ""intersection"": {""clusters"": 7922, ""factor"": 1.0015319636098494}}"
main_E0_later,intersection,12113,18,1.389166559562227e-13,2.1818249831993845e-06,0.669522485348087,0,True,6.695224853480873e-11,0.00021074947600339456,3.3324445077618826e-07,5.233009240885741e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.010509226201661}, ""date"": {""clusters"": 184, ""factor"": 1.0068777008970422}, ""intersection"": {""clusters"": 7922, ""factor"": 1.0015319636098494}}"
main_E0_later,two_way,12113,18,6.091793736118234e-13,-0.002659563625442562,1.6502716801856254,0,False,1.6502716801856254e-10,0.0004184086172727212,7.776456697557385e-07,9.579507820206959e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.010509226201661}, ""date"": {""clusters"": 184, ""factor"": 1.0068777008970422}, ""intersection"": {""clusters"": 7922, ""factor"": 1.0015319636098494}}"
main_R0c_development,LAD,48323,27,2.7255975254547593e-14,6.298391436017099e-07,0.4493709291562785,0,True,4.493709291562782e-11,3.3791004915650456e-05,8.09405154235012e-08,9.271762333495932e-09,"{""LAD"": {""clusters"": 111, ""factor"": 1.0096341500143058}, ""date"": {""clusters"": 912, ""factor"": 1.00163663264243}, ""intersection"": {""clusters"": 34003, ""factor"": 1.0005677727285274}}"
main_R0c_development,date,48323,27,9.605163886483581e-15,3.8853387226246514e-07,0.09696735850768334,0,True,9.696735850768335e-12,6.173678720108191e-05,9.735931330445894e-08,1.712784660583169e-08,"{""LAD"": {""clusters"": 111, ""factor"": 1.0096341500143058}, ""date"": {""clusters"": 912, ""factor"": 1.00163663264243}, ""intersection"": {""clusters"": 34003, ""factor"": 1.0005677727285274}}"
