population,measure,population_n,own_valid_n,own_missing_n,own_mean,common_valid_n,common_mean,ratio_aggregate_mean_to_measure_mean_common,ratio_aggregate_mean_to_measure_mean_own
event_master,aggregate_C,135025,134956,69,75.55618868371914,134956,75.55618868371914,1.0,1.0
event_master,min_stage_customers,135025,135025,0,41.176952416219216,134956,41.192803580426215,1.8342084567320285,1.8349145395703998
event_master,earliest_time_customers,135025,135025,0,31.16417700425847,134956,31.174901449361272,2.4236223747635033,2.424456409466378
main,aggregate_C,60436,60436,0,93.02572969753128,60436,93.02572969753128,1.0,1.0
main,min_stage_customers,60436,60436,0,47.12833410550003,60436,47.12833410550003,1.9738811367549456,1.9738811367549456
main,earliest_time_customers,60436,60436,0,31.121963730227016,60436,31.121963730227016,2.989070050460235,2.989070050460235
weather,aggregate_C,9857,9857,0,191.96124581515673,9857,191.96124581515673,1.0,1.0
weather,min_stage_customers,9857,9857,0,101.3102363802374,9857,101.3102363802374,1.8947862789964098,1.8947862789964098
weather,earliest_time_customers,9857,9857,0,68.45480369280715,9857,68.45480369280715,2.8042041677102487,2.8042041677102487
