target,n,quadratic_R2,cubic_R2,delta_R2,delta_pp
E0,60436,0.029621455525964735,0.0315530946382353,0.0019316391122705667,0.19316391122705667
R0c,60436,0.09201583248855061,0.09251401945139548,0.000498186962844871,0.049818696284487096
