model,spec,kind,rmse,r2,corr,slope
E0,M1 linear,in-sample,2.0066802029279351,0.012106564948569432,0.110029836628841,0.99999999999999334
E0,M1 linear,LAD-CV out-of-fold,2.0072404653146698,0.011554850930241556,0.10752704693626167,0.97563301982721651
E0,M5 quadratic (paper),in-sample,1.9843083749511039,0.034011184936878158,0.18442121607038109,0.99999999999999978
E0,M5 quadratic (paper),LAD-CV out-of-fold,1.9886822659446699,0.029747950017790958,0.17304457199685536,0.92642492655153663
E0,Cubic,in-sample,1.9828215069224402,0.035458298485318007,0.18830373996635844,0.99999999999999833
E0,Cubic,LAD-CV out-of-fold,1.9871457763390226,0.031246637177010483,0.17726332574271164,0.93170905408077898
E0,Log gust,in-sample,1.9878783300608962,0.030532251048515535,0.17473480205304157,1.0000000000000027
E0,Log gust,LAD-CV out-of-fold,1.9923282096865549,0.026187072377665488,0.16251411524589929,0.91701475915416175
E0,Gust bins,in-sample,1.9839678331372532,0.034342717434348358,0.18531788212244515,0.999999999999997
E0,Gust bins,LAD-CV out-of-fold,1.9882470149577969,0.030172610061296568,0.17420814223741796,0.9305338723937242
E0,Hinge E0 14/26 · R0c 17,in-sample,1.9820059851066039,0.036251554998180557,0.19039841122808929,1.0000000000000038
E0,Hinge E0 14/26 · R0c 17,LAD-CV out-of-fold,1.9862978270122607,0.032073228267960219,0.17954730770246899,0.93469481121686948
E0,M5 + LAD FE,in-sample,1.9637933103897474,0.053881968126394009,0.23212489768741723,0.99999999999999933
E0,M5 + LAD FE,LAD-CV out-of-fold,2.1019859266044461,-0.08396029652253878,0.10226824094777788,0.25045482430019866
R0c,M1 linear,in-sample,1.284426440117822,0.093767893969595284,0.30621543718368482,0.99999999999999445
R0c,M1 linear,LAD-CV out-of-fold,1.2852349506632561,0.0926266393239914,0.30435213711853187,0.99401865078028806
R0c,M5 quadratic (paper),in-sample,1.2653751426902504,0.12045195430327937,0.34706188828979634,1.0000000000000002
R0c,M5 quadratic (paper),LAD-CV out-of-fold,1.2694558934436466,0.11476983882470571,0.33887267633412305,0.97694445698512045
R0c,Cubic,in-sample,1.2653028551216912,0.12055244398640808,0.34720663010145431,0.99999999999999734
R0c,Cubic,LAD-CV out-of-fold,1.269450833549117,0.11477689564699689,0.33889006780726949,0.9761462243942105
R0c,Log gust,in-sample,1.2693729593834449,0.11488549992599961,0.33894763596461247,0.99999999999999745
R0c,Log gust,LAD-CV out-of-fold,1.2735493956251001,0.1090515872280079,0.33034980658987384,0.97393348920094414
R0c,Gust bins,in-sample,1.2666050954361168,0.11874127063816176,0.34458855268009386,0.99999999999999822
R0c,Gust bins,LAD-CV out-of-fold,1.2708315743353029,0.11285019108919092,0.33604867499460772,0.97448896320508316
R0c,Hinge E0 14/26 · R0c 17,in-sample,1.2652557427341127,0.12061793360826212,0.34730092658710582,0.999999999999997
R0c,Hinge E0 14/26 · R0c 17,LAD-CV out-of-fold,1.2693483552348868,0.1149198117922392,0.3390976726373453,0.97653636866370219
R0c,M5 + LAD FE,in-sample,1.2579295471413603,0.13077220165602732,0.3616243930600192,1.0000000000000011
R0c,M5 + LAD FE,LAD-CV out-of-fold,1.5038736289642538,-0.24234912385916973,0.21022394994615493,0.32576675499221902
