fold,n_test,n_train,sse,rmse,k
0,1875,5402,3465.217915516806,1.3594543837911455,22
1,1512,5765,2566.5288679005348,1.3028582913914482,22
2,1363,5914,2406.9806831790402,1.3288879841905694,22
3,1247,6030,2112.9912705604406,1.3017141467218578,22
4,1280,5997,1488.5700849629427,1.0783994523724958,22
