model,outcome_family,fold,term,coefficient,std_error,ci_low,ci_high,p_value,inference,n_obs_in_fold_train,n_obs_in_fold_valid
R0c_legacy_log_OLS_custadj,recovery,0,z_gust_0h,-0.002590382779573145,0.014588502975500897,-0.0311838486115549,0.026003083052408612,0.8590659461663298,LAD_cluster,7329,1793
R0c_legacy_log_OLS_custadj,recovery,0,z_gust_0h_sq,0.007604033206390913,0.011161609920791914,-0.01427272223836124,0.029480788651143064,0.49570274720263596,LAD_cluster,7329,1793
R0c_legacy_log_OLS_custadj,recovery,0,z_log1p_customers,-0.5007960662061464,0.023102053990072847,-0.5460760920266892,-0.45551604038560356,3.341599838348581e-104,LAD_cluster,7329,1793
R0c_legacy_log_OLS_custadj,recovery,0,z_log1p_customers_sq,0.04258333036437439,0.008420784813074384,0.026078592130748594,0.059088068598000185,4.26056614469653e-07,LAD_cluster,7329,1793
R0c_legacy_log_OLS_custadj,recovery,1,z_gust_0h,0.006284674998441234,0.016342948234391773,-0.02574750354096664,0.03831685353784911,0.7005711051476757,LAD_cluster,7307,1815
R0c_legacy_log_OLS_custadj,recovery,1,z_gust_0h_sq,0.036484249555788564,0.011485303994373936,0.013973053726815649,0.05899544538476148,0.001490109351215429,LAD_cluster,7307,1815
R0c_legacy_log_OLS_custadj,recovery,1,z_log1p_customers,-0.4831634890468005,0.026219516316287494,-0.534553741026724,-0.43177323706687704,7.886615918697716e-76,LAD_cluster,7307,1815
R0c_legacy_log_OLS_custadj,recovery,1,z_log1p_customers_sq,0.030231701506496775,0.009342984786078708,0.01191945132578251,0.04854395168721104,0.0012131729244607415,LAD_cluster,7307,1815
R0c_legacy_log_OLS_custadj,recovery,2,z_gust_0h,-0.009261369616874232,0.015255820665319948,-0.03916277812090133,0.020640038887152864,0.5438036507642462,LAD_cluster,7312,1810
R0c_legacy_log_OLS_custadj,recovery,2,z_gust_0h_sq,0.043506810588310546,0.011361285330862753,0.02123869133981955,0.06577492983680154,0.00012846045344712664,LAD_cluster,7312,1810
R0c_legacy_log_OLS_custadj,recovery,2,z_log1p_customers,-0.47651156351257573,0.023786483815500723,-0.5231330717909571,-0.4298900552341943,2.84757940386637e-89,LAD_cluster,7312,1810
R0c_legacy_log_OLS_custadj,recovery,2,z_log1p_customers_sq,0.027776495153035742,0.009115901431099728,0.009909328348080275,0.04564366195799121,0.0023110873685068243,LAD_cluster,7312,1810
R0c_legacy_log_OLS_custadj,recovery,3,z_gust_0h,0.024563290011161042,0.01634402448299556,-0.0074709979755102525,0.05659757799783234,0.13286711143942606,LAD_cluster,7242,1880
R0c_legacy_log_OLS_custadj,recovery,3,z_gust_0h_sq,0.04556770925674051,0.013763380802306182,0.018591482884220394,0.07254393562926062,0.0009303189282348277,LAD_cluster,7242,1880
R0c_legacy_log_OLS_custadj,recovery,3,z_log1p_customers,-0.47466783460686157,0.025690227717917635,-0.5250206809339801,-0.424314988279743,3.186911907943568e-76,LAD_cluster,7242,1880
R0c_legacy_log_OLS_custadj,recovery,3,z_log1p_customers_sq,0.027613377124492314,0.009582356972775015,0.008831957457853284,0.04639479679113134,0.0039554935105588955,LAD_cluster,7242,1880
R0c_legacy_log_OLS_custadj,recovery,4,z_gust_0h,0.008872124741974208,0.01578642531915821,-0.022069268883575882,0.0398135183675243,0.5741093850418023,LAD_cluster,7298,1824
R0c_legacy_log_OLS_custadj,recovery,4,z_gust_0h_sq,0.05289582452306057,0.012508572005442496,0.028379023392393277,0.07741262565372786,2.3497654112966712e-05,LAD_cluster,7298,1824
R0c_legacy_log_OLS_custadj,recovery,4,z_log1p_customers,-0.4688448752718499,0.02562368387605111,-0.5190672956689101,-0.4186224548747898,8.691252656188994e-75,LAD_cluster,7298,1824
R0c_legacy_log_OLS_custadj,recovery,4,z_log1p_customers_sq,0.025855565906406627,0.008861118621419887,0.00848777340842365,0.04322335840438961,0.003524346009179481,LAD_cluster,7298,1824
