target,n,events,valid_prediction,model_brier,baseline_brier,brier_skill,mean_prediction,observed_rate,prediction_minus_observed,baseline_probability,baseline_minus_observed,calibration_rmse
any_gt0,20424,7922,True,0.23654703496772447,0.2401298680420223,0.014920397464553758,0.3471799884488697,0.3878770074422248,-0.040697018993355094,0.3359016911648491,-0.05197531627737573,0.04271099395872626
any_gt5,20424,3851,True,0.15038208451043672,0.15368767505465697,0.02150849469903593,0.17029965371770842,0.18855268311790052,-0.018253029400192106,0.16233997155049787,-0.026212711567402652,0.023048064608050912
any_gt100,20424,1343,True,0.059609123932884284,0.061470930026679034,0.03028758622956751,0.06361778707168121,0.06575597336466901,-0.002138186292987801,0.059526631895052945,-0.006229341469616068,0.010629829417149149
any_gt1000,20424,194,True,0.009341297209893839,0.009410198442651573,0.007321974470319459,0.008467800057750923,0.009498629063846456,-0.0010308290060955325,0.008159475264738423,-0.0013391537991080324,0.0039208636850485
wthr_gt0,20424,1229,True,0.052110245469466174,0.05669353832140616,0.08084330221120528,0.05756764337706787,0.06017430473952213,-0.0026066613624542573,0.04833451872925557,-0.011839786010266556,0.011856507587297158
wthr_gt5,20424,896,True,0.03876934287659207,0.04203216542277684,0.07762680112637443,0.041311654347582646,0.043869956913435176,-0.00255830256585253,0.034554291133238504,-0.009315665780196672,0.011707763407487937
wthr_gt100,20424,512,True,0.022636655764069324,0.024472685531642835,0.07502363258006772,0.023352740565814357,0.02506854680767724,-0.0017158062418628842,0.019361466729887783,-0.005707080077789459,0.009417976343227594
wthr_gt1000,20424,69,True,0.003287056507782152,0.0033679213273129396,0.02401030536996096,0.002843141229398683,0.0033783783783783786,-0.0005352371489796954,0.0024004267425320057,-0.0009779516358463729,0.0025208819897309595
