period,n,mean,sd,min,p05,p25,p50,p75,p95,max,below_development_range,above_development_range,outside_development_range,outside_fraction,unit,definition
development,101232,8.492389780941252,3.3227768611432795,1.95319581653242,4.103636076562909,6.069049850195687,7.922961141151193,10.386671160247566,14.657420320770976,26.79445580971722,0,0,0,0.0,m/s,existing incident-anchor interpolated gust proxy
evaluation,20424,9.510680408844436,3.6099546679465204,2.8456934731649235,4.584401864267972,6.504250983045747,9.116513073462063,11.583401662958384,16.001504897928232,23.31562281103765,0,0,0,0.0,m/s,existing incident-anchor interpolated gust proxy
