raw_cause_code,stage_rows
71,114479
97,55750
75,15002
06,8836
57,7093
23,5136
25,4194
86,3731
87,2975
53,2106
55,1669
A1,1660
24,1421
50,1192
7,1041
32,873
21,813
30,681
98,566
01,562
6,553
02,514
07,511
54,475
48,469
44,469
64,461
72,420
42,385
43,350
39,305
1,294
77,291
69,277
90,250
76,215
19,195
60,154
66,130
45,128
67,101
68,99
63,93
18,89
2,86
80,72
85,67
65,65
15,63
10,58
40,56
61,51
56,47
3,45
58,41
73,41
33,32
17,28
89,24
4,24
62,18
5,16
05,15
49,14
22,10
16,8
70,6
74,3
03,1
04,1
14,1
