term,coef,se,p_normal,p_t_G1
Intercept,0.6624346451870005,0.43301963208961797,0.12606554858708507,0.1289362779223968
z_gust_0h,-0.00024523989440493864,0.019204745719333807,0.9898114866779039,0.9898346182898088
z_precipitation_24h_sum,0.04672671338689539,0.0096225498524985,1.1980512466012972e-06,3.990959292520389e-06
z_temperature_0h,-0.07237219849678105,0.019049853155604667,0.0001452255252581102,0.00023846010823236729
z_pressure_msl_0h,-0.04164412075192345,0.012944369643684022,0.001294659402093842,0.0017008962887392546
z_gust_sq,0.08096305923144638,0.0074138332765075485,9.194799040206762e-28,3.0019189857303317e-19
urban_binary,0.21786307598579113,0.05221903536369859,3.018041410838956e-05,6.0503848489731465e-05
log_population,0.06642548766817437,0.0382574744824672,0.08251526229455629,0.08531507307937757
income_deprivation_rate,0.9016664319924821,0.686438259253943,0.18899991299841357,0.191733066073267
deprivation_gap_pct,-0.13230582549788436,0.49647375042760516,0.7898610289308036,0.7903599354500879
morans_i,0.2784524837242407,0.1554661370089622,0.0732802568072084,0.07603040421328518
incident_year[2022],0.1024216713707953,0.023939656687068236,1.8830354633135792e-05,4.0332061947834435e-05
incident_year[2023],0.002903696775680619,0.023978872748938004,0.9036166092896869,0.9038375335963917
incident_year[2024],-0.07773871470651006,0.06702936722401477,0.24614206358910418,0.24865323595954827
incident_month[2],0.44455208392154877,0.10904955243609751,4.5697784789223e-05,8.663759072523361e-05
incident_month[3],0.04321852045590447,0.03657076614883942,0.2372938690289107,0.2398423845227322
incident_month[4],-0.009348292387560643,0.042193800033742866,0.8246594859194502,0.8250702630550093
incident_month[5],-0.008465321966767896,0.04899502100759904,0.8628249641430649,0.8631424773478821
incident_month[6],0.1385246218114004,0.0540557983533731,0.010388484042766924,0.011740179387999407
incident_month[7],0.1248524398034165,0.050278181288923855,0.013019589024437025,0.014528862090331933
incident_month[8],0.13932126374575915,0.05199064383522152,0.007367997447796213,0.008500168702206523
incident_month[9],0.0746056817792374,0.050965443180743954,0.1432353783201756,0.14608726281382625
incident_month[10],0.030948908738163406,0.05131385737710077,0.5464224445411545,0.5476640022348146
incident_month[11],0.011661099130550396,0.04573921697154401,0.7987636465433847,0.7992396928315578
incident_month[12],0.05736575388525732,0.04475315990291016,0.19990377023571548,0.20259895103387845
z_customers_v2_log1p,-0.19639142124266457,0.017059733441619457,1.14803013934466e-30,1.3280997239976533e-20
z_cust_sq,-0.11133008136808209,0.015500323805585461,6.848019716929745e-13,8.599288590711738e-11
z_temperature_sq,0.016787741636830358,0.005822944115929719,0.003938658345138031,0.004738314354713269
z_gust_precip,-0.024454468274793594,0.00999507516044908,0.014419007849556917,0.016002621586288856
