request_key,cache_file_path,cache_status,cache_sha256,cache_bytes,cache_error,cache_attrs_json,product_status,units_basis,units_response_metadata_available
50.8_-0.0_2021-09-20,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2021-09-20.pkl,missing_file,,,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2021-09-24,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2021-09-24.pkl,missing_file,,,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2021-10-02,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2021-10-02.pkl,readable,210a366879ae46b07fc3da1c2dfb013898b9c4b5b479503f902039f86e42812f,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2021-10-10,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2021-10-10.pkl,readable,bccbbe3a94fa03855a29e7379cdde8edb0604b9a370243e26c7e880e05c2cd70,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2021-10-14,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2021-10-14.pkl,readable,fcc08edadf8334e791b588f4a6666746f0f3e849452be1e997e982b0dbd5f33e,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2021-10-31,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2021-10-31.pkl,readable,078c233d64bc1c11a4ba3ca54ac7233bbe01eaa47e27169793581b6aa1543c63,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2021-12-06,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2021-12-06.pkl,readable,d956c649ecb8692325f42aaa117d56205c8a973c2e0de71dae0cf6d87ee7c388,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2021-12-24,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2021-12-24.pkl,readable,86881516aa1e01111308a4a8f142b8bd927cf9adbd23c5ea9db7ec0f14098871,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2021-12-29,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2021-12-29.pkl,readable,007683ea7aa0dcd8ff7c80b6febe70e202b2487495eaff4e2520c114ade4d026,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2021-12-30,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2021-12-30.pkl,missing_file,,,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-01-18,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-01-18.pkl,readable,ce0c74828c590f367cfeeb648fda53992dd2c4f699f7a7b258c29f2ab2bcb70a,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-01-29,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-01-29.pkl,readable,ecd12264b42c4a31900440a312239e547f2a1b9711ef42a17e8bb65aa546fa25,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-02-18,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-02-18.pkl,readable,296685a3a340534e6aa77dcd78309d30b40e74ce41a99f26b345286ebfe04bfb,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-02-19,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-02-19.pkl,readable,62b614e216bffd3323d7e7039f9fee92831d037b2ebafb7e0251995b1d239e9e,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-02-20,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-02-20.pkl,readable,bb18cffa4d853910b868f50bfbbd396b36fa6d6beb9f58a0275ed74f94828783,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-02-21,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-02-21.pkl,readable,e754aa3dd2709a224e59cbecc4ce5ba711330f4f9bff7c64846869ee841e6a0d,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
