subset,n,mean_difference,sd_difference,rmse,correlation
with_incident,41926.0,3.0666753434544134,1.8023470584732135,3.5570880085626193,0.9360707295081976
without_incident,79730.0,2.906887377095782,1.683774474930393,3.3593236144839063,0.9196337184639312
all,121656.0,2.961954700347837,1.727220992841494,3.42876704992683,0.9269685008091348
