LAD21CD,lat,lon
E06000031,52.608560735653334,-0.25315020604959276
E06000032,51.89422029296275,-0.4256073142781983
E06000033,51.54776788537261,0.7094715267377425
E06000034,51.50909531275314,0.36791983722084926
E06000035,51.41514566837749,0.5539398774632341
E06000043,50.844598090875095,-0.13406424703734993
E06000055,52.1891734883281,-0.47707961168721447
E06000056,52.00663151512572,-0.43629568712557554
E06000060,51.78495256595805,-0.8115552357353676
E07000008,52.19937898700058,0.1329301794501624
E07000009,52.34286319252329,0.294882289792651
E07000010,52.56273646864117,0.06074854965052939
E07000011,52.37361472330374,-0.220804702068556
E07000012,52.172757856013384,0.08130111945769122
E07000061,50.77670861754207,0.2659542001330158
E07000062,50.869872730544486,0.5703965846978891
E07000063,50.88273505674992,0.004716697680578979
E07000064,50.95221055018868,0.5373211572576712
E07000065,50.96764984812704,0.19857370569070246
E07000066,51.590315905582834,0.46611802434353705
E07000067,51.941824350386526,0.5899207788410983
E07000068,51.638624863587474,0.3107693021454909
E07000069,51.545630229654265,0.5811975336551953
E07000070,51.725636395226026,0.4805906898750683
E07000071,51.87589315789421,0.8569707689867536
E07000072,51.70887512054399,0.14867700218011667
E07000073,51.7683447139147,0.10851190286480632
E07000074,51.71039340079147,0.7685405464128613
E07000075,51.595005723641485,0.7435819705724142
E07000076,51.870399281219875,1.1102355891772306
E07000077,51.9345954623415,0.2797994614698587
E07000095,51.72512254790699,-0.0473849757096106
E07000096,51.77818438961476,-0.5408660276718911
E07000098,51.67727627028522,-0.2811056666170823
E07000099,51.9590713900836,-0.19273339922595892
E07000102,51.66096667355829,-0.4605960248717053
E07000103,51.668091498285385,-0.4033425181232981
E07000105,51.12529181874525,0.8112943260723497
E07000106,51.28087927267675,1.1047725794719532
E07000107,51.429809331736,0.25231561349894693
E07000108,51.21150606149778,1.2878931510603557
E07000109,51.40233433757414,0.3950460543695117
E07000110,51.23498826402493,0.580565757646884
E07000111,51.27539840876605,0.17196816994286268
E07000112,51.05563582790153,0.9941092001510917
E07000113,51.33547402772548,0.8160913873947477
E07000114,51.35425232651346,1.337747021547765
E07000115,51.27340709634487,0.35747055875980793
E07000116,51.11439735743911,0.43082342067719687
E07000143,52.58793854942728,0.8372822185551372
E07000144,52.70134457239392,1.310185673526855
E07000145,52.642243235695624,1.6598763288534069
E07000146,52.71810396785019,0.4750550260256348
E07000147,52.84804567769225,1.1737563409244747
E07000148,52.63300417659592,1.277217061878919
E07000149,52.51453504475551,1.2755174050615918
E07000179,51.6337578942044,-1.071388383521269
E07000200,52.05293100648935,0.9081247127907393
E07000202,52.05631273343608,1.1597493536200798
E07000203,52.24682571373295,1.0924286194837356
E07000207,51.357140341970215,-0.3921723913244679
E07000208,51.339155144185504,-0.2614388069790965
E07000209,51.24781370080138,-0.5616632038210195
E07000210,51.21226388886883,-0.3251199686688821
E07000211,51.25318581560745,-0.19185809454960767
E07000212,51.39377749983855,-0.5413340843089877
E07000213,51.42479780122427,-0.4679948412268803
E07000215,51.227033676421755,-0.04340394403982901
E07000216,51.1498245750989,-0.6326569090073254
E07000217,51.31389146649344,-0.5607260569350189
E07000223,50.84494790866549,-0.29928616551341747
E07000224,50.84157001497583,-0.5676250274103024
E07000226,51.12547578101171,-0.18201787077964574
E07000227,50.99386413893978,-0.36622099162483257
E07000228,51.02084862252256,-0.12704918952871577
E07000229,50.83001315433255,-0.3963158082787848
E07000240,51.77205736839762,-0.34248306765657366
E07000241,51.76688241899321,-0.19408317346253803
E07000242,51.86505303288195,-0.008260374981236891
E07000243,51.90432950799379,-0.1893351906970425
E09000001,51.51486170432073,-0.09216543953211284
E09000002,51.54530143029253,0.13349245965487105
E09000003,51.61602135294336,-0.21001140783697936
E09000004,51.458800656599095,0.1403494284051566
E09000005,51.55854317381397,-0.2678164388122054
E09000006,51.37197555175621,0.05155941808806484
E09000007,51.54637220628435,-0.15742330544312147
E09000008,51.35532830997505,-0.08716113702966458
E09000010,51.6509979492935,-0.08724004864050826
E09000011,51.472801633609095,0.05626543443422821
E09000012,51.55225327328055,-0.06336700006352343
E09000013,51.49594036082593,-0.22127856665423865
E09000014,51.5903707839952,-0.10746073333106967
E09000015,51.597709217637565,-0.3412862447518706
E09000016,51.5643719331021,0.22110239771566534
E09000017,51.54146393454029,-0.44567042171239424
E09000019,51.548479108309806,-0.11027428389308012
E09000020,51.5016165828243,-0.19274572760996722
E09000021,51.38789030650429,-0.2869262128974428
E09000022,51.45310477960573,-0.11827393735237207
E09000023,51.448087514319354,-0.020237175525409268
E09000024,51.40995523625845,-0.19725321801839102
E09000025,51.52833608537872,0.0363839621263357
E09000026,51.585679292189255,0.07587544858606454
E09000027,51.44215044826734,-0.31302407295293777
E09000028,51.47313068234171,-0.07461280902144238
E09000029,51.36209027765226,-0.1775572820285305
E09000030,51.517192165176404,-0.03560676042991119
E09000031,51.59402484931962,-0.012635845635603977
E09000032,51.45134976593251,-0.18642901501656278
E09000033,51.513892052574256,-0.16129640424210215
