target,n,event_rate,brier_proxy,brier_grid,absolute_improvement,relative_improvement,calibration_rmse_proxy,calibration_rmse_grid,relative_gain_ci_low,relative_gain_ci_high
any_gt0,121656,0.344627474189518,0.2239128390202404,0.22386935023327356,4.3488786966833226e-05,0.00019422194438301993,0.016804507460218658,0.01668340821552021,-0.0010332532641099193,0.0012660274066138599
any_gt5,121656,0.1667406457552443,0.13729531256443644,0.13722531645702502,6.99961074114297e-05,0.0005098215379973633,0.009125156960506335,0.008939290105517188,-0.0007142112875914745,0.0016507462471488069
any_gt100,121656,0.06057243374761623,0.055963270272007815,0.056010435709778504,-4.7165437770689544e-05,-0.0008427927378339996,0.0025384683420738028,0.002387572408604131,-0.002499670624790837,0.0008117130750251348
any_gt1000,121656,0.008384296705464589,0.008198470473823362,0.008259640205971143,-6.116973214778144e-05,-0.007461115136425551,0.0007275853495792281,0.002171581621869183,-0.011554980425718491,-0.003409003439553593
wthr_gt0,121656,0.05032222003024923,0.04529363304349157,0.045305332846565245,-1.1699803073673964e-05,-0.0002583101042576923,0.00403886852271712,0.003246030482233472,-0.0041314917870067715,0.003564534456084668
wthr_gt5,121656,0.03611823502334451,0.03311111259301156,0.033136800453159844,-2.5687860148282393e-05,-0.0007758078221057446,0.002786083199429345,0.0023275751624947396,-0.004600482841058835,0.0029666666584677983
wthr_gt100,121656,0.020319589662655357,0.018933337099923238,0.0189854176249948,-5.2080525071562106e-05,-0.0027507314107756134,0.0018957789830979825,0.0015007954182367637,-0.007540811977195433,0.0017643203229897435
wthr_gt1000,121656,0.0025646084040244622,0.002445292661222586,0.0025580744750441043,-0.00011278181382151815,-0.04612201051023889,0.002114912853507633,0.0003449321473289518,-0.059548423045150574,-0.03109538659784794
