LAD21CD,date,gust,precip,n_inc,maxc,wmaxc,log_population,urban_binary,income_deprivation_rate,year,month,any_gt0,wthr_gt0,any_gt5,wthr_gt5,any_gt100,wthr_gt100,any_gt1000,wthr_gt1000,hours,grid_lat,grid_lon,gust_proxy
E07000076,2021-04-01,13.2,0.0450519516276992,0,-1.0,-1.0,11.946790127600089,0.0,0.173,2021,4,0,0,0,0,0,0,0,0,24,51.75,1.0,10.26250474400222
E07000077,2021-04-01,11.8,0.0995924112309284,0,-1.0,-1.0,11.4286847914887,0.0,0.054,2021,4,0,0,0,0,0,0,0,0,24,52.0,0.25,10.006645450379432
E07000095,2021-04-01,12.1,0.0680961000691985,0,-1.0,-1.0,11.504308444863112,1.0,0.108,2021,4,0,0,0,0,0,0,0,0,24,51.75,0.0,10.092501182467412
E07000096,2021-04-01,13.1,0.0928041223712404,0,-1.0,-1.0,11.95254076050831,1.0,0.085,2021,4,0,0,0,0,0,0,0,0,24,51.75,-0.5,10.26797151041426
E07000098,2021-04-01,12.6,0.0646208955804662,0,-1.0,-1.0,11.591080237769564,1.0,0.089,2021,4,0,0,0,0,0,0,0,0,24,51.75,-0.25,10.196732385329115
E07000099,2021-04-01,12.6,0.1432529757928446,1,1.0,-1.0,11.818584970652662,1.0,0.079,2021,4,1,0,0,0,0,0,0,0,24,52.0,-0.25,10.146889494093177
E07000102,2021-04-01,13.1,0.0640865091563573,0,-1.0,-1.0,11.450347686985502,1.0,0.071,2021,4,0,0,0,0,0,0,0,0,24,51.75,-0.5,10.25307424660728
E07000103,2021-04-01,13.1,0.0650045437056058,1,0.0,-1.0,11.56419825914765,1.0,0.092,2021,4,1,0,0,0,0,0,0,0,24,51.75,-0.5,10.234292436066143
E07000105,2021-04-01,14.4,0.0293228902854432,0,-1.0,-1.0,11.819071033187548,1.0,0.11,2021,4,0,0,0,0,0,0,0,0,24,51.25,0.75,10.714752866129764
E07000106,2021-04-01,14.6,0.0264447914831044,0,-1.0,-1.0,11.988078314198622,1.0,0.1,2021,4,0,0,0,0,0,0,0,0,24,51.25,1.0,10.601630215359767
E07000107,2021-04-01,13.4,0.0318250067410603,0,-1.0,-1.0,11.687231651001053,1.0,0.095,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.25,10.126578268415452
E07000108,2021-04-01,15.3,0.0245219135349345,0,-1.0,-1.0,11.673725417873936,1.0,0.134,2021,4,0,0,0,0,0,0,0,0,24,51.25,1.25,11.164569488402003
E07000109,2021-04-01,13.7,0.0309253704504066,0,-1.0,-1.0,11.579490057238823,1.0,0.122,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.5,10.123082827584268
E07000110,2021-04-01,14.5,0.0276297055648391,0,-1.0,-1.0,12.101511810042911,1.0,0.095,2021,4,0,0,0,0,0,0,0,0,24,51.25,0.5,10.344452754806232
E07000111,2021-04-01,14.3,0.0270806582390372,0,-1.0,-1.0,11.702081943710567,0.0,0.075,2021,4,0,0,0,0,0,0,0,0,24,51.25,0.25,10.234695630693247
E07000112,2021-04-01,15.2,0.0292661773764691,0,-1.0,-1.0,11.611611757468928,1.0,0.145,2021,4,0,0,0,0,0,0,0,0,24,51.0,1.0,11.081785138529176
E07000113,2021-04-01,14.4,0.0285177584841342,0,-1.0,-1.0,11.948001153914678,0.0,0.149,2021,4,0,0,0,0,0,0,0,0,24,51.25,0.75,10.257505667872898
E07000114,2021-04-01,15.3,0.0218689433061641,1,1.0,-1.0,11.854086691077573,1.0,0.185,2021,4,1,0,0,0,0,0,0,0,24,51.25,1.25,11.072016120337167
E07000115,2021-04-01,14.3,0.0271670061851199,0,-1.0,-1.0,11.803017132015809,1.0,0.08,2021,4,0,0,0,0,0,0,0,0,24,51.25,0.25,10.257570020253278
E07000116,2021-04-01,15.1,0.0272431739678714,0,-1.0,-1.0,11.658323667659586,1.0,0.073,2021,4,0,0,0,0,0,0,0,0,24,51.0,0.5,10.492153957835386
E07000143,2021-04-01,12.8,0.0299761446084057,1,1.0,-1.0,11.864708462828531,0.0,0.1,2021,4,1,0,0,0,0,0,0,0,24,52.5,0.75,11.886354865702488
E07000144,2021-04-01,12.7,0.0039426414666933,1,2.0,-1.0,11.792358608363598,1.0,0.072,2021,4,1,0,0,0,0,0,0,0,24,52.75,1.25,12.268883901818963
E07000145,2021-04-01,12.3,0.0010857806574785,0,-1.0,-1.0,11.514713864829446,1.0,0.184,2021,4,0,0,0,0,0,0,0,0,24,52.75,1.75,12.278018585878536
E07000146,2021-04-01,13.4,0.063311170152936,1,4.0,4.0,11.950664133628688,0.0,0.12,2021,4,1,1,0,0,0,0,0,0,24,52.75,0.5,11.600556042579491
E07000147,2021-04-01,12.7,0.0020565284884355,2,1.0,-1.0,11.544801967617486,0.0,0.106,2021,4,1,0,0,0,0,0,0,0,24,52.75,1.25,12.370028727289151
E07000148,2021-04-01,12.7,0.0054302345993825,1,1.0,-1.0,11.89412520254047,1.0,0.163,2021,4,1,0,0,0,0,0,0,0,24,52.75,1.25,12.204831232036254
E07000149,2021-04-01,12.6,0.0138889607340094,0,-1.0,-1.0,11.867160434591204,0.0,0.078,2021,4,0,0,0,0,0,0,0,0,24,52.5,1.25,11.992357790970782
E07000179,2021-04-01,13.4,0.1026999691042492,0,-1.0,-1.0,11.91840390632284,0.0,0.054,2021,4,0,0,0,0,0,0,0,0,24,51.75,-1.0,10.432295144105083
E07000200,2021-04-01,11.8,0.0769257042765016,0,-1.0,-1.0,11.437382617721584,0.0,0.08,2021,4,0,0,0,0,0,0,0,0,24,52.0,1.0,10.220924340954491
E07000202,2021-04-01,12.7,0.0522277196314015,0,-1.0,-1.0,11.84680863857272,1.0,0.141,2021,4,0,0,0,0,0,0,0,0,24,52.0,1.25,10.554500785370983
E07000203,2021-04-01,12.6,0.0546866003835067,0,-1.0,-1.0,11.546340898509632,0.0,0.071,2021,4,0,0,0,0,0,0,0,0,24,52.25,1.0,10.979526002369884
E07000207,2021-04-01,13.4,0.0289894277224346,0,-1.0,-1.0,11.84548290591136,1.0,0.057,2021,4,0,0,0,0,0,0,0,0,24,51.25,-0.5,10.318005445986776
E07000208,2021-04-01,13.7,0.0274849749211132,0,-1.0,-1.0,11.321934436672429,1.0,0.056,2021,4,0,0,0,0,0,0,0,0,24,51.25,-0.25,10.296136001324252
E07000209,2021-04-01,13.4,0.0233448360132612,0,-1.0,-1.0,11.877658852261122,1.0,0.057,2021,4,0,0,0,0,0,0,0,0,24,51.25,-0.5,10.417330446575743
E07000210,2021-04-01,13.7,0.023484178566403,0,-1.0,-1.0,11.38052486133421,1.0,0.054,2021,4,0,0,0,0,0,0,0,0,24,51.25,-0.25,10.37927203702865
E07000211,2021-04-01,13.7,0.0240156731690205,0,-1.0,-1.0,11.943590374100134,1.0,0.067,2021,4,0,0,0,0,0,0,0,0,24,51.25,-0.25,10.35493949582226
E07000212,2021-04-01,13.1,0.0284365592040915,0,-1.0,-1.0,11.383158406911162,1.0,0.066,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.5,10.354748323061168
E07000213,2021-04-01,13.1,0.0306511258275874,0,-1.0,-1.0,11.549835818990326,1.0,0.079,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.5,10.341264168848538
