date,LAD21CD,grid_truth,grid_loo
2021-04-01,E06000031,12.5,12.40210598760161
2021-04-01,E06000032,12.7,12.887275665111277
2021-04-01,E06000033,12.8,13.315676644594348
2021-04-01,E06000034,13.4,13.214734842304436
2021-04-01,E06000035,13.7,13.366807935500175
2021-04-01,E06000043,13.9,13.745691531717666
2021-04-01,E06000055,12.4,12.673233351592978
2021-04-01,E06000056,12.7,12.801667659226386
2021-04-01,E06000060,13.3,12.972487400579132
2021-04-01,E07000008,11.9,12.635219328303041
2021-04-01,E07000009,11.9,12.555088534943067
2021-04-01,E07000010,12.2,12.453715376388985
2021-04-01,E07000011,12.2,12.511019849632321
2021-04-01,E07000012,12.0,12.624249327315656
2021-04-01,E07000061,15.1,13.974161286797289
2021-04-01,E07000062,15.6,14.037873211777098
2021-04-01,E07000063,14.4,13.760352115163958
2021-04-01,E07000064,15.1,13.898952496136559
2021-04-01,E07000065,14.7,13.754777080146736
2021-04-01,E07000066,13.7,13.120850723716254
2021-04-01,E07000067,12.0,12.828117924313787
2021-04-01,E07000068,12.3,13.12200686962528
2021-04-01,E07000069,13.7,13.202916874474715
2021-04-01,E07000070,12.5,13.037348644007935
2021-04-01,E07000071,12.3,12.924551491973585
2021-04-01,E07000072,12.3,13.037033929213184
2021-04-01,E07000073,12.1,13.026788354796011
2021-04-01,E07000074,13.0,13.097398352889396
2021-04-01,E07000075,12.8,13.264372027111754
2021-04-01,E07000076,13.2,12.927476049034137
2021-04-01,E07000077,11.8,12.831240538122058
2021-04-01,E07000095,12.1,13.058772897100573
2021-04-01,E07000096,13.1,12.955326367897353
2021-04-01,E07000098,12.6,13.04966343912407
2021-04-01,E07000099,12.6,12.81840410152528
2021-04-01,E07000102,13.1,13.034837176277895
2021-04-01,E07000103,13.1,13.02847207560432
2021-04-01,E07000105,14.4,13.893706852843563
2021-04-01,E07000106,14.6,13.858317967760813
2021-04-01,E07000107,13.4,13.27525717499347
2021-04-01,E07000108,15.3,13.929947645746424
2021-04-01,E07000109,13.7,13.3272517666656
2021-04-01,E07000110,14.5,13.616196699615157
2021-04-01,E07000111,14.3,13.389706254127118
2021-04-01,E07000112,15.2,14.089573150739925
2021-04-01,E07000113,14.4,13.578190991434397
2021-04-01,E07000114,15.3,13.702074349749031
2021-04-01,E07000115,14.3,13.454679342834076
2021-04-01,E07000116,15.1,13.643057038813133
2021-04-01,E07000143,12.8,12.533246573849556
2021-04-01,E07000144,12.7,12.567498492690513
2021-04-01,E07000145,12.3,12.66386474606589
2021-04-01,E07000146,13.4,12.412910381463849
2021-04-01,E07000147,12.7,12.61760787848863
2021-04-01,E07000148,12.7,12.556543175041515
2021-04-01,E07000149,12.6,12.585256127485504
2021-04-01,E07000179,13.4,13.072455411897534
2021-04-01,E07000200,11.8,12.754226932519401
2021-04-01,E07000202,12.7,12.719046259462592
2021-04-01,E07000203,12.6,12.57659410821629
2021-04-01,E07000207,13.4,13.240722863636938
2021-04-01,E07000208,13.7,13.236044819921979
2021-04-01,E07000209,13.4,13.307251454011249
2021-04-01,E07000210,13.7,13.332995613969901
2021-04-01,E07000211,13.7,13.323489187593914
2021-04-01,E07000212,13.1,13.222399422039821
2021-04-01,E07000213,13.1,13.202822628598053
2021-04-01,E07000215,14.0,13.37976522639676
2021-04-01,E07000216,13.3,13.378512551906068
2021-04-01,E07000217,13.4,13.257865489499668
2021-04-01,E07000223,13.9,13.670894973288148
2021-04-01,E07000224,13.1,13.668310905159961
2021-04-01,E07000226,13.7,13.4505657359934
2021-04-01,E07000227,14.0,13.515922931043928
2021-04-01,E07000228,14.0,13.570253656376092
2021-04-01,E07000229,13.1,13.729765787593902
2021-04-01,E07000240,12.6,12.983214942377868
2021-04-01,E07000241,12.6,12.979748255351884
2021-04-01,E07000242,12.1,12.944223793345675
2021-04-01,E07000243,12.6,12.86333398040496
2021-04-01,E09000001,12.8,13.241985269823802
2021-04-01,E09000002,13.4,13.131146002707508
2021-04-01,E09000003,13.2,13.040776533013155
2021-04-01,E09000004,13.4,13.21901750026102
2021-04-01,E09000005,13.2,13.089332805172877
2021-04-01,E09000006,14.0,13.260835623440093
2021-04-01,E09000007,13.2,13.107986355220817
2021-04-01,E09000008,14.0,13.249692335803044
2021-04-01,E09000010,12.1,13.113388227040087
2021-04-01,E09000011,12.8,13.307160923965919
2021-04-01,E09000012,12.8,13.20782640224321
2021-04-01,E09000013,13.2,13.14966063978229
2021-04-01,E09000014,12.8,13.16593151162706
2021-04-01,E09000015,13.2,13.052435288837604
2021-04-01,E09000016,13.4,13.124547978967545
2021-04-01,E09000017,13.1,13.119143112857893
2021-04-01,E09000019,12.8,13.20687657062311
2021-04-01,E09000020,13.2,13.146915654025099
2021-04-01,E09000021,13.2,13.244465729464498
2021-04-01,E09000022,12.8,13.29931594831209
2021-04-01,E09000023,12.8,13.31992062857723
2021-04-01,E09000024,13.2,13.234193622227648
2021-04-01,E09000025,12.8,13.24464528434189
2021-04-01,E09000026,12.8,13.188097576215348
2021-04-01,E09000027,13.2,13.19140801375292
2021-04-01,E09000028,12.8,13.28586157030166
2021-04-01,E09000029,13.7,13.230138233489708
2021-04-01,E09000030,12.8,13.246627418566472
2021-04-01,E09000031,12.8,13.170139561382358
2021-04-01,E09000032,13.2,13.195416285108744
2021-04-01,E09000033,13.2,13.138282974719036
2021-04-02,E06000031,11.7,12.09203999778178
2021-04-02,E06000032,12.0,12.190711634852896
2021-04-02,E06000033,11.7,12.339247659581304
2021-04-02,E06000034,12.0,12.28860730992523
2021-04-02,E06000035,12.1,12.370774970955539
2021-04-02,E06000043,13.5,12.64914891349874
2021-04-02,E06000055,11.6,12.145141427282315
2021-04-02,E06000056,12.0,12.172546660881393
2021-04-02,E06000060,12.1,12.21501226904217
2021-04-02,E07000008,12.2,12.127902789729307
2021-04-02,E07000009,12.2,12.173837868820389
2021-04-02,E07000010,11.7,12.208331233291858
2021-04-02,E07000011,11.6,12.114531324001105
2021-04-02,E07000012,12.0,12.138384594394516
2021-04-02,E07000061,14.4,12.818332782736498
2021-04-02,E07000062,14.7,12.814340111777376
2021-04-02,E07000063,12.7,12.705006778161797
2021-04-02,E07000064,13.4,12.743435018054495
2021-04-02,E07000065,12.9,12.646688170594917
2021-04-02,E07000066,12.1,12.250821157247028
2021-04-02,E07000067,12.3,12.157132784531356
2021-04-02,E07000068,12.1,12.21452246568089
2021-04-02,E07000069,12.1,12.293829775981557
2021-04-02,E07000070,12.0,12.199841622916445
2021-04-02,E07000071,12.2,12.19773614430512
2021-04-02,E07000072,12.1,12.193818547131023
2021-04-02,E07000073,12.2,12.178198796570502
2021-04-02,E07000074,12.0,12.243130181245254
2021-04-02,E07000075,11.7,12.322039010635583
2021-04-02,E07000076,12.4,12.239676849313282
2021-04-02,E07000077,12.1,12.15601091384988
2021-04-02,E07000095,12.2,12.190467239581654
2021-04-02,E07000096,12.4,12.186864960477946
2021-04-02,E07000098,12.5,12.190559649017423
2021-04-02,E07000099,12.3,12.153930469803175
2021-04-02,E07000102,12.4,12.20596904178561
2021-04-02,E07000103,12.4,12.202662816021574
2021-04-02,E07000105,12.9,12.715374374881208
2021-04-02,E07000106,13.4,12.702219355492563
2021-04-02,E07000107,12.0,12.31406911249366
2021-04-02,E07000108,14.4,12.706677509804278
2021-04-02,E07000109,12.1,12.338902952115538
2021-04-02,E07000110,12.8,12.491568504058183
2021-04-02,E07000111,12.6,12.356920144829337
2021-04-02,E07000112,14.3,12.84313224884638
2021-04-02,E07000113,12.9,12.480915204609154
