target,theta_era5_daily_max,theta_proxy,beta_era5_daily_max,beta_proxy,p0_era5_daily_max,p0_proxy
any_gt0,28.845182803189996,22.61812404800856,0.41100145473125,0.4369571183673318,0.31912223317753624,0.31914189959842904
any_gt100,32.81358812658871,25.08162794669039,0.29574353591645863,0.29127842527951836,0.05274410935565649,0.053124945621030865
any_gt1000,40.82044559817588,30.39835295217926,0.262475751604438,0.24392883450069291,0.007300035916261378,0.007312959594175623
any_gt5,30.896371605594968,23.93311883798178,0.3599048854226883,0.36224173025815964,0.14979923384433988,0.15106327552733786
wthr_gt0,29.59053250687388,23.124738315552467,0.3130540632888029,0.3301008832491123,0.033361418367435065,0.033569771455826625
wthr_gt100,32.673125038361974,25.3656980699738,0.28061156107612056,0.29024347453827914,0.013123086357609302,0.013155233687830056
wthr_gt1000,200.0,31.79366258314635,0.05,0.27062278669741596,0.0025646075035803775,0.0014287524836802303
wthr_gt5,31.027163086156573,24.243925436493925,0.30532114233064417,0.32123699982838044,0.023780296207039368,0.023860731436013728
