scope,role,peak_lower,peak_upper,feature,n,zero_n,positive_n,zero_fraction,min,p05,p25,p50,p75,p95,max,correlation_with_G
full,full,30.0,35.0,x,157,0,157,0.0,0.5856226966705372,0.699187183149897,0.7592154785617377,0.8332418853134242,0.8672807663010293,0.983087870977922,1.2526947403481412,0.45258482842445963
full,full,35.0,40.0,G,2,0,2,0.0,35.9,35.9,35.9,35.9,35.9,35.9,35.9,
full,full,35.0,40.0,H,2,0,2,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,
full,full,35.0,40.0,I,2,0,2,0.0,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,
full,full,35.0,40.0,h,2,0,2,0.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,
full,full,35.0,40.0,J,2,0,2,0.0,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,
full,full,35.0,40.0,x,2,0,2,0.0,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,
full,full,40.0,45.0,G,0,0,0,,,,,,,,,
full,full,40.0,45.0,H,0,0,0,,,,,,,,,
full,full,40.0,45.0,I,0,0,0,,,,,,,,,
full,full,40.0,45.0,h,0,0,0,,,,,,,,,
full,full,40.0,45.0,J,0,0,0,,,,,,,,,
full,full,40.0,45.0,x,0,0,0,,,,,,,,,
full,full,45.0,50.0,G,0,0,0,,,,,,,,,
full,full,45.0,50.0,H,0,0,0,,,,,,,,,
full,full,45.0,50.0,I,0,0,0,,,,,,,,,
full,full,45.0,50.0,h,0,0,0,,,,,,,,,
full,full,45.0,50.0,J,0,0,0,,,,,,,,,
full,full,45.0,50.0,x,0,0,0,,,,,,,,,
full,full,50.0,55.0,G,0,0,0,,,,,,,,,
full,full,50.0,55.0,H,0,0,0,,,,,,,,,
full,full,50.0,55.0,I,0,0,0,,,,,,,,,
full,full,50.0,55.0,h,0,0,0,,,,,,,,,
full,full,50.0,55.0,J,0,0,0,,,,,,,,,
full,full,50.0,55.0,x,0,0,0,,,,,,,,,
full,full,55.0,60.0,G,0,0,0,,,,,,,,,
full,full,55.0,60.0,H,0,0,0,,,,,,,,,
full,full,55.0,60.0,I,0,0,0,,,,,,,,,
full,full,55.0,60.0,h,0,0,0,,,,,,,,,
full,full,55.0,60.0,J,0,0,0,,,,,,,,,
full,full,55.0,60.0,x,0,0,0,,,,,,,,,
full,full,60.0,inf,G,0,0,0,,,,,,,,,
full,full,60.0,inf,H,0,0,0,,,,,,,,,
full,full,60.0,inf,I,0,0,0,,,,,,,,,
full,full,60.0,inf,h,0,0,0,,,,,,,,,
full,full,60.0,inf,J,0,0,0,,,,,,,,,
full,full,60.0,inf,x,0,0,0,,,,,,,,,
fold_0,train,0.0,inf,G,96448,0,96448,0.0,2.6,5.8,8.6,11.0,14.1,19.7,35.9,0.9999999999999998
fold_0,train,0.0,inf,H,96448,69948,26500,0.7252405441274055,0.0,0.0,0.0,0.0,2.0,15.0,24.0,0.7943649755590252
fold_0,train,0.0,inf,I,96448,69948,26500,0.7252405441274055,0.0,0.0,0.0,0.0,19.250000000000057,1424.0100000000002,11096.54,0.7030351203080821
fold_0,train,0.0,inf,h,96448,69948,26500,0.7252405441274055,0.0,0.0,0.0,0.0,0.08333333333333333,0.625,1.0,0.7943649755590252
fold_0,train,0.0,inf,J,96448,69948,26500,0.7252405441274055,0.0,0.0,0.0,0.0,0.00433652321222608,0.3207923334775087,2.499761209630911,0.7030351203080808
fold_0,train,0.0,inf,x,96448,69948,26500,0.7252405441274055,0.0,0.0,0.0,0.0,0.004327147590735253,0.2782318091532017,1.2526947403481412,0.7397248905721605
