scope,role,peak_lower,peak_upper,feature,n,zero_n,positive_n,zero_fraction,min,p05,p25,p50,p75,p95,max,correlation_with_G
fold_0,test,35.0,40.0,J,1,0,1,0.0,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,
fold_0,test,35.0,40.0,x,1,0,1,0.0,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,
fold_0,test,40.0,45.0,G,0,0,0,,,,,,,,,
fold_0,test,40.0,45.0,H,0,0,0,,,,,,,,,
fold_0,test,40.0,45.0,I,0,0,0,,,,,,,,,
fold_0,test,40.0,45.0,h,0,0,0,,,,,,,,,
fold_0,test,40.0,45.0,J,0,0,0,,,,,,,,,
fold_0,test,40.0,45.0,x,0,0,0,,,,,,,,,
fold_0,test,45.0,50.0,G,0,0,0,,,,,,,,,
fold_0,test,45.0,50.0,H,0,0,0,,,,,,,,,
fold_0,test,45.0,50.0,I,0,0,0,,,,,,,,,
fold_0,test,45.0,50.0,h,0,0,0,,,,,,,,,
fold_0,test,45.0,50.0,J,0,0,0,,,,,,,,,
fold_0,test,45.0,50.0,x,0,0,0,,,,,,,,,
fold_0,test,50.0,55.0,G,0,0,0,,,,,,,,,
fold_0,test,50.0,55.0,H,0,0,0,,,,,,,,,
fold_0,test,50.0,55.0,I,0,0,0,,,,,,,,,
fold_0,test,50.0,55.0,h,0,0,0,,,,,,,,,
fold_0,test,50.0,55.0,J,0,0,0,,,,,,,,,
fold_0,test,50.0,55.0,x,0,0,0,,,,,,,,,
fold_0,test,55.0,60.0,G,0,0,0,,,,,,,,,
fold_0,test,55.0,60.0,H,0,0,0,,,,,,,,,
fold_0,test,55.0,60.0,I,0,0,0,,,,,,,,,
fold_0,test,55.0,60.0,h,0,0,0,,,,,,,,,
fold_0,test,55.0,60.0,J,0,0,0,,,,,,,,,
fold_0,test,55.0,60.0,x,0,0,0,,,,,,,,,
fold_0,test,60.0,inf,G,0,0,0,,,,,,,,,
fold_0,test,60.0,inf,H,0,0,0,,,,,,,,,
fold_0,test,60.0,inf,I,0,0,0,,,,,,,,,
fold_0,test,60.0,inf,h,0,0,0,,,,,,,,,
fold_0,test,60.0,inf,J,0,0,0,,,,,,,,,
fold_0,test,60.0,inf,x,0,0,0,,,,,,,,,
fold_1,train,0.0,inf,G,97544,0,97544,0.0,2.4,5.7,8.5,11.0,14.0,19.7,35.9,0.9999999999999998
fold_1,train,0.0,inf,H,97544,71000,26544,0.7278766505371935,0.0,0.0,0.0,0.0,1.0,15.0,24.0,0.7923683684580879
fold_1,train,0.0,inf,I,97544,71000,26544,0.7278766505371935,0.0,0.0,0.0,0.0,16.47000000000005,1378.3514999999968,11096.54,0.700655634460349
fold_1,train,0.0,inf,h,97544,71000,26544,0.7278766505371935,0.0,0.0,0.0,0.0,0.041666666666666664,0.625,1.0,0.7923683684580881
fold_1,train,0.0,inf,J,97544,71000,26544,0.7278766505371935,0.0,0.0,0.0,0.0,0.003710261678200703,0.3105066636029405,2.499761209630911,0.7006556344603471
