candidate,target,scope,start,method,success,iterations,message,theta,beta,p0,nll,prediction_std,projected_gradient,boundary,n_unique_values,n,events,constant_nll,nll_improvement_vs_constant,valid,weak_identification,theta_outside_support,support_min,support_max,near_optimal_solutions,selection_reason,gamma,origin,baseline_nll,nll_gain_vs_m0,gamma_coordinate_scale,feature_min,feature_max,near_optimal_gamma_span
M0,any_gt0,fold_3,2,L-BFGS-B,True,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,27.553531592386268,0.3825813742753188,0.31728156388311646,62211.44951576994,0.0507913207353061,3.586169425136217e-10,,309,97544,33493,62744.297485365794,532.8479695958522,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,62211.44951576994,0.0,,,,
M0,any_gt0,fold_4,2,L-BFGS-B,True,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,29.589446244138667,0.43635086219087715,0.3100444058163505,61891.39089188393,0.04695568122698103,2.6163927065845504e-10,,313,97544,32900,62351.81249390351,460.42160201958177,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,61891.39089188393,0.0,,,,
M0,any_gt5,full,0,L-BFGS-B,True,24,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30.896400264886058,0.3599055214037203,0.14979921867949714,54181.285425903625,0.04232220900895831,3.001491987573032e-10,,314,121656,20285,54827.956970412255,646.6715445086302,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,54181.285425903625,0.0,,,,
M0,any_gt5,fold_0,1,L-BFGS-B,True,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.621595004209613,0.376434474245256,0.15063094480571568,43149.36948196849,0.04100225371301771,2.1340013937171673e-11,,309,96448,16184,43631.24730641687,481.87782444838376,True,False,False,2.6,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,43149.36948196849,0.0,,,,
M0,any_gt5,fold_1,4,L-BFGS-B,True,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.5876095851673,0.3806243137401902,0.15000869589556592,43588.619371758214,0.04105289634769853,2.4341347932853395e-10,,311,97544,16339,44080.73417070202,492.1147989438032,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,43588.619371758214,0.0,,,,
M0,any_gt5,fold_2,0,L-BFGS-B,True,25,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30.52532334749644,0.3505834680969831,0.15312964904178772,43919.575864702914,0.04286608681672238,4.266779087660358e-11,,308,97544,16566,44442.8237572764,523.2478925734831,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,43919.575864702914,0.0,,,,
M0,any_gt5,fold_3,0,L-BFGS-B,True,25,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,29.740273377631276,0.33106521757673263,0.14943707105135612,43240.68517559509,0.04448845615278576,6.543389147721206e-10,,309,97544,16169,43807.08715100624,566.4019754111505,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,43240.68517559509,0.0,,,,
M0,any_gt5,fold_4,0,L-BFGS-B,True,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.179541844321733,0.36409534896156737,0.14565852618471953,42811.87822221291,0.042337851487985016,3.714960475532151e-10,,313,97544,15882,43340.23526250079,528.3570402878831,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,42811.87822221291,0.0,,,,
M0,any_gt100,full,6,L-BFGS-B,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.81362037210912,0.2957442958032811,0.052744077942922823,27217.365905803214,0.030337948944554334,2.0794191471193173e-11,,314,121656,7369,27803.225476890642,585.8595710874288,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,27217.365905803214,0.0,,,,
M0,any_gt100,fold_0,4,L-BFGS-B,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,33.275815271015674,0.30551488987157016,0.0525315721093314,21572.437018732446,0.02982261672866852,1.423072323256454e-10,,309,96448,5837,22028.240283576597,455.8032648441513,True,False,False,2.6,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,21572.437018732446,0.0,,,,
M0,any_gt100,fold_1,0,L-BFGS-B,True,30,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,33.619361344653576,0.3082785288015372,0.05247560870815884,21720.320382075333,0.028271448134509592,2.1906478854414547e-11,,311,97544,5853,22140.310555733235,419.9901736579013,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,21720.320382075333,0.0,,,,
M0,any_gt100,fold_2,0,L-BFGS-B,True,26,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.82184821053583,0.29998979155951055,0.05307023995208219,21977.36009161004,0.03073525150774618,2.5093412283873014e-10,,308,97544,5969,22458.2656772943,480.9055856842606,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,21977.36009161004,0.0,,,,
M0,any_gt100,fold_3,0,L-BFGS-B,True,27,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.831426410234773,0.2792076835723018,0.05363438398737228,22030.874805120457,0.03223255921189505,1.5003031559021478e-10,,309,97544,5999,22540.102866209865,509.2280610894086,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,22030.874805120457,0.0,,,,
M0,any_gt100,fold_4,4,L-BFGS-B,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.64672101345142,0.28739665327157654,0.05197419489904908,21563.233083287563,0.030699808054209046,3.930202671415161e-10,,313,97544,5818,22043.897574401293,480.66449111373004,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,21563.233083287563,0.0,,,,
M0,any_gt1000,full,2,L-BFGS-B,True,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,40.82039837218526,0.2624746906103546,0.007300030591564934,5729.892183046682,0.008205595883926053,6.668909936845254e-11,,314,121656,1020,5892.734665728461,162.84248268177907,True,False,True,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,5729.892183046682,0.0,,,,
M0,any_gt1000,fold_0,0,L-BFGS-B,True,31,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,40.07215002323564,0.24897407719523176,0.00709323118371125,4419.348013142296,0.008351964866102323,5.11655060049691e-11,,309,96448,783,4548.882641154066,129.5346280117701,True,False,True,2.6,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,4419.348013142296,0.0,,,,
M0,any_gt1000,fold_1,0,L-BFGS-B,True,30,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,43.2355770762372,0.2914750945388048,0.0072565281200425436,4589.0952429226,0.00716670608717292,1.1082554722295083e-10,,311,97544,813,4701.699934734014,112.60469181141434,True,False,True,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,4589.0952429226,0.0,,,,
M0,any_gt1000,fold_2,10,L-BFGS-B,True,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,40.62484394111246,0.26765996847015355,0.007333703109270192,4658.8551385836645,0.008837856433149986,6.845988659504879e-11,,308,97544,835,4806.539497174844,147.68435859117926,True,False,True,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,4658.8551385836645,0.0,,,,
M0,any_gt1000,fold_3,1,L-BFGS-B,True,27,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,40.40995339825028,0.2637986214559849,0.007458725714205009,4697.6662350688275,0.008685695109885157,2.1396473291568546e-11,,309,97544,842,4839.774194329082,142.10795926025457,True,False,True,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,4697.6662350688275,0.0,,,,
M0,any_gt1000,fold_4,2,L-BFGS-B,True,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,40.021065267196064,0.2414922317740674,0.007338566414742657,4551.4381927819095,0.008075115986452969,3.547628188523496e-11,,313,97544,807,4673.003805168262,121.56561238635277,True,False,True,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,4551.4381927819095,0.0,,,,
M0,wthr_gt0,full,0,L-BFGS-B,True,28,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.590527229923463,0.3130539560665072,0.03336141916554057,22528.25621795893,0.049866316953612606,1.0203702433084537e-09,,314,121656,6122,24265.859764017576,1737.6035460586463,True,False,False,2.4,35.9,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",0.0,reused DD-AGG01 A01,22528.25621795893,0.0,,,,
