Incident Reference,cause_group_official,customers_v2_event_excl_reinterruptions,duration_A_customer_weighted_hours,duration_B_full_span_hours,lat,lon,incident_date_utc,temperature_0h,pressure_msl_0h,gust_0h,precipitation_24h_sum,weather_status_v3,LAD21CD,population,rural_urban_classification,deprivation_gap_pct,morans_i,income_deprivation_rate,cv_fold_v3,urban_binary,log_population,incident_year,incident_month,substation,LAD21NM
FREP-258857-G,technical_asset,17.0,2.4408333333333334,18.25,51.3244900169074,-0.550929349678408,2021-11-28,1.5499999523162842,1006.9000244140624,6.900000095367432,0.0,matched,E07000217,103900.0,Urban with Major Conurbation,0.22,0.11,0.067,2.0,1.0,11.551184177087318,2021,11,WOKING 33/11KV,Woking
FREP-258703-G,weather_natural,271.0,3.3319803198031983,4.883333333333334,51.2563268556425,1.02368290117269,2021-11-27,3.75,994.2000122070312,19.200000762939453,8.200000762939453,matched,E07000106,156631.0,Urban with City and Town,0.248,0.17,0.1,3.0,1.0,11.961647999525288,2021,11,CHARTHAM 33/11KV,Canterbury
FREP-258782-G,weather_natural,14.0,3.711904761904762,17.083333333333332,51.3412853502412,0.715243085981626,2021-11-28,2.299999952316284,1001.9000244140624,17.0,6.800000190734863,matched,E07000113,152218.0,Largely Rural (rural including hub towns 50-79%) ,0.407,0.43,0.149,2.0,0.0,11.933068982857128,2021,11,SITTINGBOURNE WEST 33/11KV,Swale
FREP-258793-G,weather_natural,2261.0,0.5019091847265221,0.9166666666666666,51.06019882791,0.811198677158435,2021-11-28,2.950000047683716,1001.2999877929688,17.5,5.300000190734863,matched,E07000105,133221.0,Urban with Significant Rural (rural including hub towns 26-49%),0.291,0.34,0.11,2.0,1.0,11.79976468231942,2021,11,KENARDINGTON 33/6.6KV,Ashford
FREP-271336-Z,technical_asset,1.0,2.316666666666667,2.316666666666667,52.3393816340189,0.124567063805875,2021-11-25,3.5999999046325684,1015.7999877929688,7.599999904632568,0.0,matched,E07000009,88125.0,Mainly Rural (rural including hub towns >=80%) ,0.135,-0.11,0.07,1.0,0.0,11.38651154011457,2021,11,ALDRETH PRIMARY,East Cambridgeshire
FREP-271216-Z,weather_natural,189.0,1.4301587301587302,3.966666666666667,52.2809766401816,-0.226553836224093,2021-11-25,1.850000023841858,1017.4000244140624,7.800000190734863,0.1000000014901161,matched,E07000011,181827.0,Mainly Rural (rural including hub towns >=80%) ,0.207,0.3,0.074,1.0,0.0,12.110810964549762,2021,11,OFFORD PRIMARY,Huntingdonshire
FREP-271546-Z,technical_asset,11.0,8.828787878787878,15.983333333333333,51.6093940021589,0.208322486451367,2021-11-27,2.150000095367432,984.0999755859376,15.600000381469728,6.40000057220459,matched,E09000016,262086.0,Urban with Major Conurbation,0.323,0.51,0.108,3.0,1.0,12.476427973157676,2021,11,NOAK HILL PRIMARY,Havering
FREP-271557-Z,weather_natural,1.0,1.6166666666666667,1.6166666666666667,52.1264114767571,-0.281052735846842,2021-11-27,1.7999999523162842,991.9000244140624,12.600000381469728,9.399999618530272,matched,E06000056,295651.0,Largely Rural (rural including hub towns 50-79%) ,0.248,0.23,0.077,3.0,0.0,12.596934983621066,2021,11,SANDY PRIMARY,Central Bedfordshire
FREP-271611-Z,weather_natural,2.0,7.8,9.383333333333333,51.690273335397,-0.598596233545118,2021-11-27,3.549999952316284,997.5,19.700000762939453,4.200000286102295,matched,E06000060,555161.0,Urban with Significant Rural (rural including hub towns 26-49%),0.1874999999999999,0.3,0.06325,3.0,1.0,13.227013440750667,2021,11,BOIS LN PRIMARY,Buckinghamshire
FREP-271645-Z,technical_asset,0.0,,0.1,51.745123835035,0.472294515971274,2021-11-27,3.549999952316284,998.2000122070312,20.200000762939453,5.300000190734863,matched,E07000070,181827.0,Urban with City and Town,0.2639999999999999,0.13,0.077,3.0,1.0,12.110810964549762,2021,11,CHELMSFORD NORTH GRID,Chelmsford
FREP-271691-Z,technical_asset,72.0,5.636805555555556,7.05,51.5408946262329,-0.288423634196154,2021-11-27,3.700000047683716,999.7000122070312,19.89999961853028,5.199999809265137,matched,E09000005,339248.0,Urban with Major Conurbation,0.3239999999999999,0.55,0.155,3.0,1.0,12.734486682322332,2021,11,BERESFORD AV PRIMARY,Brent
FREP-271473-Z,technical_asset,5.0,7.093333333333334,7.383333333333334,51.6162219076879,-0.382873810214997,2021-11-26,4.900000095367432,989.7000122070312,13.199999809265137,1.5,matched,E09000015,261159.0,Urban with Major Conurbation,0.238,0.26,0.109,2.0,1.0,12.472884696222938,2021,11,HATCH END GRID,Harrow
FREP-271536-Z,technical_asset,0.0,,8.766666666666667,51.6317792481935,0.0031635123742402,2021-11-27,2.150000095367432,982.5,17.100000381469727,6.400000095367432,matched,E09000031,278147.0,Urban with Major Conurbation,0.3,0.18,0.152,3.0,1.0,12.535905029897908,2021,11,NORTH CHINGFORD PRIMARY,Waltham Forest
FREP-271542-Z,weather_natural,38.0,4.166666666666667,4.166666666666667,51.7591797837155,-0.743603919196674,2021-11-27,1.75,984.4000244140624,16.0,6.100000381469727,matched,E06000060,555161.0,Urban with Significant Rural (rural including hub towns 26-49%),0.1874999999999999,0.3,0.06325,3.0,1.0,13.227013440750667,2021,11,WENDOVER PRIMARY,Buckinghamshire
