variable,VIF
z_gust_0h,1.893245451382143
z_gust_0h_sq,2.9996860156480083
z_precipitation_24h_sum,1.4016512910170902
z_temperature_0h,1.0257805099393984
z_pressure_msl_0h,1.6915017467557072
z_gust_pressure,2.5618453507197936
urban_binary,1.1642187617284037
log_population,1.337977203843636
income_deprivation_rate,2.58085597106972
deprivation_gap_pct,3.756524448681331
morans_i,2.508256211189483
z_log1p_customers_v2,1.9000195182564912
z_log1p_customers_v2_sq,1.884998151507415
