model,term,n_folds,same_sign_folds,significant_folds,mean_coefficient,coef_cv_pct,all_same_sign
R0c_original,z_gust_0h,5,3,0,0.0012399590663322395,643.4475838786987,False
R0c_original,z_gust_0h_sq,5,5,5,0.0756364408633509,23.737882124967893,True
