term,coefficient,std_error,ci_low,ci_high,p_value,model,fold,n_obs_in_fold_train,n_obs_in_fold_valid,inference
z_gust_0h,-0.00801170076729477,0.009210752553016913,-0.02606477577120792,0.01004137423661838,0.3843985436311115,R0c_corrected,0,47869,11965,LAD_cluster
z_gust_0h_sq,0.05277512846522327,0.005638576183339559,0.041723519145877734,0.06382673778456881,7.999738052002342e-21,R0c_corrected,0,47869,11965,LAD_cluster
z_gust_0h,0.0014639406072604532,0.00965177414768097,-0.017453536722194248,0.020381417936715156,0.879442641679985,R0c_corrected,1,47869,11965,LAD_cluster
z_gust_0h_sq,0.09319549444508722,0.006942105439061942,0.07958896778452582,0.10680202110564863,4.334944386694254e-41,R0c_corrected,1,47869,11965,LAD_cluster
z_gust_0h,0.005953150282309958,0.00998832139141582,-0.013623959644865048,0.025530260209484963,0.5511678206264143,R0c_corrected,2,47870,11964,LAD_cluster
z_gust_0h_sq,0.07980345603681713,0.007438391112212016,0.06522420945688158,0.09438270261675268,7.472686276198482e-27,R0c_corrected,2,47870,11964,LAD_cluster
z_gust_0h,-0.006684139245838184,0.009953878066481273,-0.02619374025614148,0.012825461764465109,0.5018950139248106,R0c_corrected,3,47871,11963,LAD_cluster
z_gust_0h_sq,0.09039142427829142,0.007071172654902759,0.07653192587468201,0.10425092268190082,2.038129132602263e-37,R0c_corrected,3,47871,11963,LAD_cluster
z_gust_0h,0.006243502780679712,0.010836157296156858,-0.014995365519787732,0.027482371081147157,0.5644981581368187,R0c_corrected,4,47857,11977,LAD_cluster
z_gust_0h_sq,0.08865883119895306,0.006602481284612639,0.07571796788111228,0.10159969451679383,4.1385076017723414e-41,R0c_corrected,4,47857,11977,LAD_cluster
