Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose,cubic_eta
FREP-10004-I,3,2024-03-30,E07000145,1.377926111449374,1.5147213222902494,1.7049287808795162,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.5239238364464973
FREP-10004-L,0,2022-01-17,E09000022,2.760009940032921,1.6598660562899665,1.678676615917615,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6566481779206699
FREP-10008-I,3,2024-03-30,E07000068,2.0104486701928845,1.362439866060651,1.7049287808795162,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.369780339571512
FREP-10011-I,3,2024-03-30,E07000069,4.7751942149716395,1.5216631104266902,1.7049287808795162,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.535038107856546
FREP-10019-I,3,2024-03-30,E06000034,1.5440101071116452,1.8635157121482473,1.7049287808795162,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8629602654761215
FREP-10020-I,3,2024-03-30,E07000069,3.017982882488811,1.4440650826552863,1.7049287808795162,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.450088959938604
FREP-10022-I,3,2024-03-30,E09000003,0.3483066942682158,1.5502280242919326,1.7049287808795162,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.5466716636473317
FREP-10023-I,3,2024-03-30,E07000068,2.842969519001581,1.5470750514807747,1.7049287808795162,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.519752176232882
FREP-10031-L,0,2022-02-12,E09000030,0.0,1.66914958037557,1.678676615917615,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.668013781545503
FREP-10032-I,3,2024-03-30,E06000033,4.494983226953336,1.800269468517076,1.7049287808795162,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7904567399697517
FREP-10034-I,2,2024-03-31,E07000071,0.7731898882334817,1.1014449772115626,1.7120598888602494,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.1012943615938153
FREP-10043-I,2,2024-03-31,E07000144,2.3402019565653522,1.7644274466669134,1.7120598888602494,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7643782574176499
FREP-10043-O,3,2022-03-30,E07000096,0.0,1.5010506501184206,1.7049287808795162,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.498280788986652
FREP-10052-L,0,2022-05-08,E09000025,0.0,1.1788213341823044,1.678676615917615,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.1802315256499776
FREP-10062-I,2,2024-03-31,E06000055,0.6151856390902335,1.4441536591879347,1.7120598888602494,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.444148347249355
FREP-10063-I,2,2024-03-31,E07000098,2.7839819060692244,1.732529924620253,1.7120598888602494,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7325936996264555
FREP-100701-Z,2,2022-11-29,E07000147,0.0,1.3514010288602352,1.7120598888602494,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.3506391326638523
FREP-10074-I,2,2024-03-31,E07000009,1.0473189942805592,1.548024769424002,1.7120598888602494,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.5481143706243095
FREP-10075-O,3,2022-11-27,E07000071,0.0,1.425497054438525,1.7049287808795162,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.4239109634352225
FREP-10076-I,2,2024-03-31,E07000077,-0.01680711831638129,1.6360663850571462,1.7120598888602494,OOF_date_group_diagnostic,log_D,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6362215610909994
