Incident Reference,fold,y,prediction_eta
FREP-10004-I,3,1.377926111449374,1.1386253987185653
FREP-10004-L,0,2.760009940032921,1.2923594891678087
FREP-10006-I,3,3.122364924487357,1.1559613662715296
FREP-10008-I,3,2.0104486701928845,1.1592608330110024
FREP-10009-L,0,-0.05129329438755058,1.0883414327178442
FREP-10011-I,3,4.7751942149716395,1.1033111548261936
FREP-10014-I,3,1.0176432261344426,1.016296880823715
FREP-10019-I,3,1.5440101071116452,0.8770118173525542
FREP-10020-I,3,3.017982882488811,1.162469844275543
FREP-10022-I,3,0.3483066942682158,1.174144660241053
FREP-10023-I,3,2.842969519001581,1.270396103565966
FREP-10026-I,3,-0.5978370007556204,1.1440533849584447
FREP-10027-L,1,0.550046336919272,1.1480903722240245
FREP-10031-L,0,0.0,1.615850763307477
FREP-10032-I,3,4.494983226953336,1.0982850688698622
FREP-10033-I,2,-0.01680711831638129,0.9878814896614555
FREP-10034-I,2,0.7731898882334817,0.6398580961395416
FREP-10035-L,1,0.9870598027623623,1.0268632982814603
FREP-10041-I,2,0.11034805716886541,0.8047341913016304
FREP-10043-I,2,2.3402019565653522,1.1235349828787524
FREP-10043-O,3,0.0,1.5142327642179967
FREP-10044-I,2,3.2135282185416054,1.108259986202996
FREP-10051-I,2,0.8256363636060242,0.9861780356747183
FREP-10052-L,0,0.0,1.2302970850178374
FREP-10054-I,2,1.7692866133759964,1.0101176643337884
FREP-10062-I,2,0.6151856390902335,1.1565227787944394
FREP-10063-I,2,2.7839819060692244,0.8527418817653232
FREP-100701-Z,2,0.0,1.5094684949944512
FREP-10074-I,2,1.0473189942805592,0.8536752028158777
FREP-10074-O,1,0.9162907318741551,0.9333332126260432
FREP-10075-O,3,0.0,1.4202584367851157
FREP-10076-I,2,-0.01680711831638129,0.8999706636845567
FREP-10082-I,2,2.3009170358933484,0.8707208325213723
FREP-10085-I,2,3.950602487395621,1.1167574821347674
FREP-10087-I,2,3.1127742939856553,0.719856653709518
FREP-10103-I,2,1.66455721165518,1.2243139735214028
FREP-10104-I,2,3.013080911888604,1.1097247092338292
FREP-10106-I,2,0.9870598027623623,1.1149723737444053
FREP-10108-I,2,1.0116009116784799,1.2162536526877015
FREP-10109-O,4,0.0,1.2011514938709922
FREP-10112-I,2,0.5007752879124892,0.8957650781524498
FREP-10114-I,2,2.533696813957432,1.1718516645817378
FREP-10117-I,2,-0.06899287148695143,0.7773800357594525
FREP-10118-O,4,2.0476928433652555,0.8963806066302309
FREP-10119-I,2,0.6061358035703155,1.1710823618545705
FREP-10122-L,4,2.693500420087479,1.1665247810545742
FREP-10123-L,4,3.044522437723423,1.4044102081350114
FREP-101236-Z,4,-0.2025242641114741,1.3247582523349255
FREP-10124-L,4,0.19611487892629037,1.1591987813195987
FREP-10127-L,3,2.049841071903545,0.960527432132543
FREP-10129-L,3,1.667706820558076,1.2236385422522171
FREP-10131-L,3,2.359280436670591,1.3272660943736416
FREP-10132-L,4,1.0414538748281612,1.3345372506124153
FREP-10133-L,4,2.751535313041949,1.092828205081641
FREP-10137-L,4,2.4203681286504293,1.2805649783321613
FREP-10141-L,4,1.2622417124499117,1.306466054851481
FREP-10146-L,0,1.80280930541464,1.3403567414859066
FREP-10156-L,4,1.547562508716013,1.1864625366629538
FREP-10160-L,1,0.0,1.4136935383208078
FREP-1018331-A,4,0.0,1.2885097827187744
FREP-10184-L,1,0.5207759546191588,1.1670092523678515
FREP-10186-L,2,0.41651494429474933,1.1367040777104784
FREP-10187-L,2,1.0116009116784799,1.0281351550092148
FREP-10188-O,0,0.0,1.3679394616465594
FREP-10189-O,2,1.5960148921019597,1.2926606213462308
FREP-10190-O,2,0.22314355131420976,1.1484275211393244
FREP-10193-O,2,-0.2876820724517809,1.073250506001556
FREP-10196-L,4,0.5306282510621704,0.9925505552138931
FREP-10203-L,2,0.0,1.3163551654224217
FREP-10211-L,3,0.0,1.6346159985123712
FREP-10221-L,2,-0.5978370007556204,1.097713821084509
FREP-10232-L,2,2.4849066497880004,1.2526450887786311
FREP-10233-L,2,2.2300144001592104,0.9962151114594054
FREP-10234-L,2,1.1314021114911006,0.8616229874974368
FREP-10235-L,0,0.7014459833746404,0.9796118227061452
FREP-10252-O,4,2.4069451083182885,1.127946086601926
FREP-10255-L,0,0.0,1.2652223827959312
FREP-10267-L,0,0.0,1.2829232249569762
FREP-10275-O,1,0.6418538861723947,1.1755479193166012
FREP-10276-L,1,0.0,1.3391249823965434
FREP-10276-O,1,2.6614243597621545,1.3082591007563442
