Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose,cubic_eta
FREP-74507-V,0,2021-11-04,E07000107,3.4965075614664802,1.815031139675116,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8151546404695287
FREP-74510-C,0,2023-05-25,E09000003,0.0,2.1005562327555913,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.1371602564012435
FREP-74511-V,0,2021-11-04,E07000109,0.6931471805599453,1.7870906034395753,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7978201980697281
FREP-74517-C,4,2023-08-17,E09000003,0.0,1.9113271038209336,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8700606031140714
FREP-74520-C,1,2023-05-02,E06000034,0.6931471805599453,1.762518221987323,2.1458232943956337,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7092019329357588
FREP-74523-C,3,2023-05-03,E09000016,3.8066624897703196,1.7329989077627554,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6831472631596234
FREP-74529-N,1,2023-12-18,E09000011,0.0,1.6834639861600273,2.1458232943956337,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.626795352561739
FREP-74531-N,0,2023-10-16,E09000026,2.6390573296152584,1.7003057272483078,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6877155249443452
FREP-74533-C,3,2023-05-03,E07000076,3.970291913552122,1.7350516185648375,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7075587107709143
FREP-74535-V,0,2021-11-04,E07000065,4.820281565605037,2.0182597964853835,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.0166375038775994
FREP-74549-N,0,2023-10-16,E09000033,0.6931471805599453,1.6886598913656004,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6763828390725806
FREP-7455-I,0,2023-07-20,E07000076,1.0986122886681098,2.285262540571277,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.279778149433405
FREP-74555-C,3,2023-05-03,E07000071,0.6931471805599453,1.8014957031437104,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.75397762302487
FREP-74558-V,0,2021-11-04,E07000210,0.6931471805599453,1.9207146083387374,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9148229278126276
FREP-74564-C,4,2023-05-04,E09000015,3.9512437185814275,1.808927848265483,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.748391564328925
FREP-74565-V,0,2021-11-04,E09000008,4.532599493153256,1.6145740480853423,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6037511275197769
FREP-74566-C,4,2023-05-04,E09000003,0.6931471805599453,1.7792332966769087,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.724653042642108
FREP-74568-C,4,2023-05-04,E07000071,0.6931471805599453,1.8642627798727793,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8087068558565875
FREP-74571-N,0,2023-10-16,E09000012,0.6931471805599453,1.5032970739889255,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.4909025765785338
FREP-74574-V,2,2021-11-06,E09000029,0.6931471805599453,1.631661625876475,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6263286244670736
FREP-74577-N,0,2023-10-16,E09000032,0.6931471805599453,1.706420261295796,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6941393909705924
FREP-74577-V,4,2021-11-05,E07000113,0.0,1.793024731596157,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7275254922877286
FREP-74580-N,0,2023-12-19,E09000011,0.0,1.9268423033782165,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9153327222965746
