margin,period,n,gust_mean_m_s,term,coef,se,p
E0,development,48324,9.6908472020105947,z_gust_pressure,-0.037712240966548773,0.017065782766876886,0.029189390280752316
E0,development,48324,9.6908472020105947,gust_low,-0.031026349158338091,0.0048484729405311707,3.9309356491155313e-09
E0,development,48324,9.6908472020105947,gust_ramp,0.099755589459472202,0.014012257294423763,1.1778340965305082e-10
E0,confirmation,12113,10.785197727308988,z_gust_pressure,-0.0092847299854846958,0.024881226397642963,0.7097459623493918
E0,confirmation,12113,10.785197727308988,gust_low,-0.024871020775949815,0.0097848299789437144,0.01242097548543499
E0,confirmation,12113,10.785197727308988,gust_ramp,0.14896838386375105,0.020059354227748009,2.5357832224560675e-11
E0,combined,60437,9.910180853795751,z_gust_pressure,-0.034933705867966493,0.015771022765372126,0.028817061632121797
E0,combined,60437,9.910180853795751,gust_low,-0.026952197980057893,0.0044317263651549024,1.7593768088761116e-08
E0,combined,60437,9.910180853795751,gust_ramp,0.12146172840850161,0.013842871680209508,2.4793463583605847e-14
R0c,development,41177,9.8137649698620137,z_gust_0h,-0.0096451119549751958,0.018756211336896249,0.60811884367551794
R0c,development,41177,9.8137649698620137,z_gust_sq,0.074585499020012172,0.0082076435516912488,4.8101395288486699e-15
R0c,development,41177,9.8137649698620137,z_gust_precip,-0.0066222493249874269,0.0084277858499087008,0.43369516652963536
R0c,confirmation,9996,10.943417372269218,z_gust_0h,-0.015100831570826444,0.022229958011972875,0.49837409919547682
R0c,confirmation,9996,10.943417372269218,z_gust_sq,0.087170226862560457,0.015255467606266079,9.5467694012065197e-08
R0c,confirmation,9996,10.943417372269218,z_gust_precip,-0.04364078563465966,0.020406101945086543,0.034679405122647847
R0c,combined,51173,10.034428316049699,z_gust_0h,-0.00024523989440493864,0.019204745719333807,0.98983461828980879
R0c,combined,51173,10.034428316049699,z_gust_sq,0.08096305923144638,0.0074138332765075485,3.0019189857303317e-19
R0c,combined,51173,10.034428316049699,z_gust_precip,-0.024454468274793594,0.0099950751604490802,0.016002621586288856
