term,coef
Intercept,3.2025461405936007
z_precipitation_24h_sum,-0.1113136721134607
z_temperature_0h,0.045287905389943393
z_pressure_msl_0h,-0.19594042361618208
z_gust_pressure,-0.060010298844818635
urban_binary,-0.0070939499470375617
log_population,-0.054889580261805793
income_deprivation_rate,-1.9520579017944895
deprivation_gap_pct,-1.3780954742317555
morans_i,0.58515016345782744
incident_year[2022],0.24523262831490683
incident_year[2023],0.3734597230428584
incident_year[2024],0.36979842377087702
incident_month[2],-0.13056229956525447
incident_month[3],0.23281397358914818
incident_month[4],0.1113829697322018
incident_month[5],0.3141192763510241
incident_month[6],0.93305090275797875
incident_month[7],0.71487079858592839
incident_month[8],0.68609311178974564
incident_month[9],0.37235309847944337
incident_month[10],0.4847092076207003
incident_month[11],0.24815472504234956
incident_month[12],0.53566124857983
z_temperature_sq,0.087617624762641136
z_gust_0h,-0.37320151546391833
gust_hinge_11,0.11025863764602691
