fold,n_test,n_train,sse,rmse,k
0,9834,41339,12202.684109934853,1.1139420092048551,29
1,10581,40592,14561.675209851172,1.1731196594383126,29
2,10833,40340,14694.43140045721,1.1646676733288597,29
3,9995,41178,12994.236511778006,1.1402077389764602,29
4,9930,41243,13472.326882163277,1.1647874470451185,29
