analysis,target,variant,n,status,beta_gust,beta_gust2,pooled_R2,delta_R2,warning_count,beta_gust3,quadratic_R2
GLM,E0,NB2,60436,computed,-0.1373628974425701,0.09425984411169673,,,4.0,,
GLM,E0,Tweedie_1.5_log,60436,computed,-0.13127141856535696,0.07793990255699483,,,0.0,,
cubic,E0,zG3,60436,computed,0.006577995492710653,0.1966724117985176,0.0315530946382353,0.0019316391122705667,,-0.028509606600744142,0.029621455525964735
GLM,R0c,Gamma_log,60436,computed,-0.05115694484548499,0.07309004907555942,,,0.0,,
GLM,R0c,Tweedie_1.5_log,60436,computed,-0.04127195202805036,0.07733305959448508,,,0.0,,
cubic,R0c,zG3,60436,computed,-0.015411119343273102,0.07070965978437228,0.09251401945139548,0.000498186962844871,,0.0053785025518556405,0.09201583248855061
six_groups,R0c,all_valid_shared_dates,117108,computed_harmonized_scope,,,0.03992310456130377,,,,
