population,window,events,denominator_events,events_pct,customers_sum,customers_nonmissing_n,denominator_customers_sum,customers_pct,duration_mean_hours,gust_max_ms,overlap_events,summed_window_memberships,UTC_window_days_unique,timezone,end_rule
event_master,Arwen,574,135025,0.4251064617663396,39696,574,10196761,0.38930009245092634,8.712717770034844,22.200000762939453,702,8002,25,UTC,exclusive next-day midnight
event_master,Dudley,616,135025,0.45621181262729127,51771,616,10196761,0.5077200495333763,9.458874458874458,27.700000762939453,702,8002,25,UTC,exclusive next-day midnight
event_master,Eunice,2291,135025,1.6967228291057213,592950,2291,10196761,5.815081867663663,47.84468936417867,39.400001525878906,702,8002,25,UTC,exclusive next-day midnight
event_master,Franklin,1631,135025,1.2079244584336235,203436,1631,10196761,1.995104131596298,38.98267933782955,32.20000076293945,702,8002,25,UTC,exclusive next-day midnight
event_master,Babet,1089,135025,0.8065173116089613,85997,1087,10196761,0.8433756562500583,11.77309458218549,24.0,702,8002,25,UTC,exclusive next-day midnight
event_master,Ciaran,990,135025,0.7331975560081466,107666,990,10196761,1.0558843146367753,10.617912457912459,32.5,702,8002,25,UTC,exclusive next-day midnight
event_master,Henk,811,135025,0.6006295130531383,94503,810,10196761,0.9267943026221758,12.410706946157008,29.700000762939453,702,8002,25,UTC,exclusive next-day midnight
event_master,UNIQUE_ANY,7300,135025,5.406406221070172,1090242,7297,10196761,10.692042306375525,26.347493150684933,39.400001525878906,702,8002,25,UTC,exclusive next-day midnight
main_candidate_E0,Arwen,270,60436,0.4467535905751539,25061,270,5622103,0.4457584644038005,11.019012345679014,22.200000762939453,479,4931,25,UTC,exclusive next-day midnight
main_candidate_E0,Dudley,291,60436,0.4815010920643325,30092,291,5622103,0.5352445517273519,15.853665521191296,27.700000762939453,479,4931,25,UTC,exclusive next-day midnight
main_candidate_E0,Eunice,1659,60436,2.745052617645112,395470,1659,5622103,7.034200547375244,54.56398432790837,39.400001525878906,479,4931,25,UTC,exclusive next-day midnight
main_candidate_E0,Franklin,1132,60436,1.873055794559534,165963,1132,5622103,2.951973665370414,45.924587750294464,32.20000076293945,479,4931,25,UTC,exclusive next-day midnight
main_candidate_E0,Babet,509,60436,0.8422132503805678,56696,509,5622103,1.0084482621538595,14.911067452521284,22.799999237060547,479,4931,25,UTC,exclusive next-day midnight
main_candidate_E0,Ciaran,576,60436,0.9530743265603283,69801,576,5622103,1.2415460904931839,14.302459490740741,32.5,479,4931,25,UTC,exclusive next-day midnight
main_candidate_E0,Henk,494,60436,0.817393606459726,68536,494,5622103,1.2190456133585599,17.088933873144402,29.600000381469727,479,4931,25,UTC,exclusive next-day midnight
main_candidate_E0,UNIQUE_ANY,4452,60436,7.366470315705871,745372,4452,5622103,13.257885883627532,34.48060796645703,39.400001525878906,479,4931,25,UTC,exclusive next-day midnight
main_candidate_R0c,Arwen,270,60436,0.4467535905751539,25061,270,5622103,0.4457584644038005,11.019012345679014,22.200000762939453,479,4931,25,UTC,exclusive next-day midnight
main_candidate_R0c,Dudley,291,60436,0.4815010920643325,30092,291,5622103,0.5352445517273519,15.853665521191296,27.700000762939453,479,4931,25,UTC,exclusive next-day midnight
main_candidate_R0c,Eunice,1659,60436,2.745052617645112,395470,1659,5622103,7.034200547375244,54.56398432790837,39.400001525878906,479,4931,25,UTC,exclusive next-day midnight
main_candidate_R0c,Franklin,1132,60436,1.873055794559534,165963,1132,5622103,2.951973665370414,45.924587750294464,32.20000076293945,479,4931,25,UTC,exclusive next-day midnight
main_candidate_R0c,Babet,509,60436,0.8422132503805678,56696,509,5622103,1.0084482621538595,14.911067452521284,22.799999237060547,479,4931,25,UTC,exclusive next-day midnight
main_candidate_R0c,Ciaran,576,60436,0.9530743265603283,69801,576,5622103,1.2415460904931839,14.302459490740741,32.5,479,4931,25,UTC,exclusive next-day midnight
