margin,term,coef,se_lad,se_twoway,p_twoway_tG1
E0,z_temperature_0h,-0.03405759290387636,0.01936836484261772,0.02876627260104358,0.238988191387966
E0,z_gust_pressure,-0.03493370586796649,0.007995881493082675,0.015771022765372126,0.028817061632121797
E0,z_temperature_sq,0.05655341129112742,0.007897983055322619,0.02206583570314554,0.011730078897841879
E0,gust_low,-0.026952197980057893,0.0030190961895515877,0.004431726365154902,1.7593768088761116e-08
E0,gust_ramp,0.12146172840850161,0.007162446356982033,0.013842871680209508,2.4793463583605847e-14
R0c,z_gust_0h,-0.00024523989440493864,0.008527346753540476,0.019204745719333807,0.9898346182898088
R0c,z_temperature_0h,-0.07237219849678105,0.009268268129368618,0.019049853155604667,0.00023846010823236729
R0c,z_gust_sq,0.08096305923144638,0.004551557126900202,0.0074138332765075485,3.0019189857303317e-19
R0c,z_customers_v2_log1p,-0.19639142124266457,0.016463377115988064,0.017059733441619457,1.3280997239976533e-20
R0c,z_cust_sq,-0.11133008136808209,0.013716853116847548,0.015500323805585461,8.599288590711738e-11
R0c,z_temperature_sq,0.016787741636830358,0.0038255895597610065,0.005822944115929719,0.004738314354713269
R0c,z_gust_precip,-0.024454468274793594,0.006303856328995974,0.00999507516044908,0.016002621586288856
