term,coef,se,p_normal,p_t_G1
Intercept,3.363184077294711,1.0267031258817945,0.0010539585936998196,0.0014100657426809303
z_precipitation_24h_sum,0.05343768968967361,0.010015857805781243,9.538233153531578e-08,5.160450993455175e-07
z_temperature_0h,-0.03405759290387636,0.01936836484261772,0.07867718924103026,0.08145837901204431
z_pressure_msl_0h,-0.08063078883599552,0.010825537809277102,9.46211043474896e-14,2.271986430907303e-11
z_gust_pressure,-0.03493370586796649,0.007995881493082675,1.2483823661958264e-05,2.839071216492653e-05
urban_binary,-0.14940762955466874,0.07446797927424832,0.044820637950056426,0.04727438239604586
log_population,-0.0724171516933539,0.08726399726818344,0.40661631679391474,0.4084136834137911
income_deprivation_rate,-3.100220409142331,0.8873979293206319,0.0004765403803878034,0.0006876283398920212
deprivation_gap_pct,0.18041891797817167,0.5380619903923226,0.7373893558026057,0.7380279898579961
morans_i,-0.0320884499193364,0.23609745967701795,0.8918909427011155,0.8921393572883143
incident_year[2022],0.07561522640269129,0.026436365919703955,0.00423276320771955,0.005066224423914778
incident_year[2023],0.014684134962428628,0.03050317788071787,0.6302344467180269,0.6311907215817152
incident_year[2024],-0.022469656008992756,0.04584904048549956,0.6240779343340126,0.6250539869738447
incident_month[2],0.0866204254508689,0.04273962120004406,0.04269301829111299,0.04511189788389304
incident_month[3],0.03941982404439061,0.04863242076389979,0.41761450840728354,0.41936472057157476
incident_month[4],-0.005971889286734538,0.04843708863840332,0.9018761411586212,0.9021011334949017
incident_month[5],0.08549169852228841,0.05378458161600324,0.11194291507041199,0.11481303469328388
incident_month[6],0.3213784579459558,0.058430356556911506,3.793676623215229e-08,2.493346289944496e-07
incident_month[7],0.33411504513331985,0.056564284414311765,3.4877451774865932e-09,3.9567979072123476e-08
incident_month[8],0.2001030163036402,0.05517711182444673,0.0002872239238063554,0.00043689220417477006
incident_month[9],0.12683628243029538,0.054187235142301816,0.01924741590930428,0.02104977034629758
incident_month[10],0.05285779254805448,0.05042004632524922,0.2944779566259518,0.296775912536801
incident_month[11],-0.04619299426580755,0.04279258879173858,0.28038160854322414,0.28274283666575206
incident_month[12],0.1052837481711833,0.041325817447183444,0.010845099693489992,0.012226048598140414
z_temperature_sq,0.05655341129112742,0.007897983055322619,8.039048639531119e-13,9.591826977848796e-11
gust_low,-0.026952197980057893,0.0030190961895515877,4.367669072241005e-19,1.1138178899959667e-14
gust_ramp,0.12146172840850161,0.007162446356982033,1.6758108562472474e-64,1.809123422862118e-32
