group,target,block,fold,n,mean_y,SSE,SST_within,R2
main,E0,control,0,12098,2.20099077573496,50451.32558397155,52239.98175037617,0.034239218821927375
main,E0,control,1,12085,2.108932864268766,48175.77823589246,48980.96558989666,0.016438780744867265
main,E0,control,2,12085,2.1842670930070422,50072.1647027671,50755.05244817137,0.013454576686756536
main,E0,control,3,12085,2.1021449461767276,47466.85644360448,47966.06021774251,0.010407437506267603
main,E0,control,4,12083,2.095822743436718,45953.25759328411,46282.80040303513,0.007120200309430946
main,E0,G,0,12098,2.20099077573496,49563.516177588026,52239.98175037617,0.05123404494238504
main,E0,G,1,12085,2.108932864268766,48006.83316156646,48980.96558989666,0.019887979271097422
main,E0,G,2,12085,2.1842670930070422,49205.52826610996,50755.05244817137,0.030529456818978007
main,E0,G,3,12085,2.1021449461767276,47011.490963296135,47966.06021774251,0.019900930993979826
main,E0,G,4,12083,2.095822743436718,45261.467991904356,46282.80040303513,0.022067212922228352
main,R0c,control,0,12098,1.7830242823103384,26276.869593354728,27594.990898319767,0.0477666874333087
main,R0c,control,1,12085,1.6804622648725427,23268.048663411217,23948.719701076705,0.028422021977019707
main,R0c,control,2,12085,1.649573052654881,22719.454351720495,22571.655609339145,-0.0065479796847598415
main,R0c,control,3,12085,1.6781039754497848,23740.094733316164,24088.712736813406,0.014472255421289826
main,R0c,control,4,12083,1.70657178718829,22115.69999208019,22385.471062343688,0.012051167898686765
main,R0c,G,0,12098,1.7830242823103384,25483.653602399667,27594.990898319767,0.07651161414402419
main,R0c,G,1,12085,1.6804622648725427,23266.20239481161,23948.719701076705,0.028499114557443694
main,R0c,G,2,12085,1.649573052654881,22651.768731757315,22571.655609339145,-0.0035492798492380295
main,R0c,G,3,12085,1.6781039754497848,23547.921924519007,24088.712736813406,0.022449967260722015
main,R0c,G,4,12083,1.70657178718829,22071.036098966375,22385.471062343688,0.014046385823269447
main,R0c,K,0,12098,1.7830242823103384,25111.466900591626,27594.990898319767,0.08999908740246632
main,R0c,K,1,12085,1.6804622648725427,21638.563250739033,23948.719701076705,0.09646262844830955
main,R0c,K,2,12085,1.649573052654881,21353.139237829637,22571.655609339145,0.05398435952590641
main,R0c,K,3,12085,1.6781039754497848,22176.89610257427,24088.712736813406,0.07936566204791085
main,R0c,K,4,12083,1.70657178718829,20705.57673062433,22385.471062343688,0.07504395717386703
main,R0c,GK,0,12098,1.7830242823103384,24110.569634438398,27594.990898319767,0.12627006389386175
main,R0c,GK,1,12085,1.6804622648725427,21631.294852694922,23948.719701076705,0.0967661268455029
main,R0c,GK,2,12085,1.649573052654881,21292.093198018276,22571.655609339145,0.05668890370591351
main,R0c,GK,3,12085,1.6781039754497848,21950.162497631063,24088.712736813406,0.08877810377613571
main,R0c,GK,4,12083,1.70657178718829,20622.816393930734,22385.471062343688,0.07874101302152403
weather,E0,control,0,2245,3.5199314855875237,11458.018278952164,11571.883335142587,0.009839803331288977
weather,E0,control,1,1800,3.3844300972328103,8339.112665865678,8738.023037005576,0.045652245301999184
weather,E0,control,2,2071,3.5434265997590364,10053.162771558527,10069.107445822618,0.0015835240958428365
weather,E0,control,3,1935,3.1430260519827544,9273.704255631645,9230.869960602207,-0.004640331324377467
weather,E0,control,4,1806,3.1387304993986778,8360.463059407026,8559.131757703612,0.023211314409054995
weather,E0,G,0,2245,3.5199314855875237,11649.46835253291,11571.883335142587,-0.0067046145509179755
weather,E0,G,1,1800,3.3844300972328103,8321.724387637856,8738.023037005576,0.04764220094232907
weather,E0,G,2,2071,3.5434265997590364,9960.956068159476,10069.107445822618,0.010740910080169086
weather,E0,G,3,1935,3.1430260519827544,9111.449365083026,9230.869960602207,0.012937090006562069
weather,E0,G,4,1806,3.1387304993986778,8255.562927044695,8559.131757703612,0.035467245890412946
weather,R0c,control,0,2245,2.2352497419194086,5151.771919484364,7185.539517842026,0.2830361719266484
weather,R0c,control,1,1800,1.547612700343813,3421.61350184578,4364.740922585435,0.2160786716708487
weather,R0c,control,2,2071,1.3532698818481785,3108.4233820100876,2951.307076977484,-0.053236176695483195
weather,R0c,control,3,1935,1.616401560400461,4039.2302746739388,4429.954475729209,0.08820050029768156
weather,R0c,control,4,1806,1.478222868025499,3060.3315945629593,3294.8143253227017,0.07116720628461415
weather,R0c,G,0,2245,2.2352497419194086,4732.962985763965,7185.539517842026,0.34132113893301963
weather,R0c,G,1,1800,1.547612700343813,3445.938342695539,4364.740922585435,0.2105056396670727
weather,R0c,G,2,2071,1.3532698818481785,2966.848881337631,2951.307076977484,-0.005266074981280511
weather,R0c,G,3,1935,1.616401560400461,3898.6532208283193,4429.954475729209,0.11993379566579698
weather,R0c,G,4,1806,1.478222868025499,3032.511046328858,3294.8143253227017,0.07961094407593161
weather,R0c,K,0,2245,2.2352497419194086,5141.5372231363035,7185.539517842026,0.2844605181880039
weather,R0c,K,1,1800,1.547612700343813,3360.2770418424207,4364.740922585435,0.2301313866180229
weather,R0c,K,2,2071,1.3532698818481785,3096.0764828869865,2951.307076977484,-0.04905264079052207
weather,R0c,K,3,1935,1.616401560400461,3946.7907282264205,4429.954475729209,0.10906742950744552
weather,R0c,K,4,1806,1.478222868025499,3014.094713976293,3294.8143253227017,0.0852004342669338
weather,R0c,GK,0,2245,2.2352497419194086,4657.121774680076,7185.539517842026,0.3518758385342913
weather,R0c,GK,1,1800,1.547612700343813,3384.756111068107,4364.740922585435,0.22452301955572618
weather,R0c,GK,2,2071,1.3532698818481785,2932.1955134490763,2951.307076977484,0.006475626910358745
weather,R0c,GK,3,1935,1.616401560400461,3783.661226206046,4429.954475729209,0.14589162328057037
weather,R0c,GK,4,1806,1.478222868025499,2968.759760320625,3294.8143253227017,0.09895992089634431
