combination,model_id,prediction_type,n,k,sse,aic,bic,r2,adj_r2,rmse,n_columns,knots,component_action,source,predictions_saved,knots_mode
E0_all,H08,LAD_OOF,60437,,,,,,,1.9873301293615884,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A3_hinge_10.8/cv_lad,False,none_or_fixed10.8
E0_all,H08,random_OOF,48324,,,,,,,1.9926887321544624,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A3_hinge_10.8/cv_random,False,none_or_fixed10.8
E0_all,H08,year_holdout,60437,,,,,,,1.9918495829940324,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A3_hinge_10.8/cv_year,False,none_or_fixed10.8
E0_all,H09,in_sample,60437,28,237887.78986999707,254379.40808130524,254631.67007112151,0.034342717434348802,0.033911113755604294,1.9839678331372528,28,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A4_gust_bins,True,none_or_fixed10.8
E0_all,H09,LAD_OOF,60437,,,,,,,1.9882470149577969,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A4_gust_bins/cv_lad,False,none_or_fixed10.8
E0_all,H09,random_OOF,48324,,,,,,,1.9943305589798348,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A4_gust_bins/cv_random,False,none_or_fixed10.8
E0_all,H09,year_holdout,60437,,,,,,,1.9917594493299235,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A4_gust_bins/cv_year,False,none_or_fixed10.8
E0_all,H10,in_sample,60437,29,237573.78867518398,254301.58126111107,254562.85260770647,0.035617341662314672,0.035170336059853868,1.9826580265710276,29,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A5_full_quad_weather,True,none_or_fixed10.8
E0_all,H10,LAD_OOF,60437,,,,,,,1.9871708108838599,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A5_full_quad_weather/cv_lad,False,none_or_fixed10.8
E0_all,H10,random_OOF,48324,,,,,,,1.9922000747377624,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A5_full_quad_weather/cv_random,False,none_or_fixed10.8
E0_all,H10,year_holdout,60437,,,,,,,1.9933790914257576,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A5_full_quad_weather/cv_year,False,none_or_fixed10.8
E0_all,H11,in_sample,60437,132,233074.33353640349,253351.97543846013,254541.21053330821,0.053881968126393787,0.051826724578173278,1.9637933103897476,136,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A6_M5_+LAD_FE,True,none_or_fixed10.8
E0_all,H11,LAD_OOF,60437,,,,,,,2.1019859266044461,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A6_M5_+LAD_FE/cv_lad,False,none_or_fixed10.8
E0_all,H11,random_OOF,48324,,,,,,,1.9770223484592413,,,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A6_M5_+LAD_FE/cv_random,False,none_or_fixed10.8
