combination,model_id,family,n,k,n_columns,aic,bic,adj_r2,rmse,knots,full_action,full_source,sample_id_sha256,status,cache_used,LAD_OOF_RMSE,LAD_OOF_n,LAD_OOF_action,LAD_OOF_source,LAD_OOF_knots,random_OOF_RMSE,random_OOF_n,random_OOF_action,random_OOF_source,random_OOF_knots,year_holdout_RMSE,year_holdout_n,year_holdout_action,year_holdout_source,year_holdout_knots,delta_BIC_best_nonFE,delta_AIC_best_nonFE
E0_weather,F08,matched,9857,27,27,43170.735969467809,43365.026272292773,0.052482038563587685,2.1558260632581034,"[11.0, 24.0]",DERIVE,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/fits/final,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1678968295880416,9857,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#weather/nested_cv/ramp,train_selected,,,,,,,,,,,0,4.512118942097004
R0c_all,F01,matched,51173,29,29,159297.15265559015,159553.59870810746,0.11235283057969958,1.1467728796091365,[],DERIVE,results/new/20260909183317/results/final_models/final_summary.json#R0c/final,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1502526389581602,51173,REUSE,results/new/20260909183317/results/final_models/final_summary.json#R0c/final_cv_lad,none_or_fixed10.8,,,,,,,,,,,30.332124930311693,37.475373526074691
R0c_all,F02,matched,51173,30,30,159294.60310882973,159559.89212867522,0.11241438889945177,1.1467219036952769,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1503422643333616,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,36.625545498071006,34.925826765655074
R0c_all,F03,matched,51173,28,28,159971.93928038512,160219.54236557425,0.10055289840215531,1.1543813093550364,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1578086923629891,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,696.27578239710419,712.26199832104612
R0c_all,F04,matched,51173,31,31,159386.50330856489,159660.63529573855,0.11083633131489978,1.1477296208365193,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.151292357461194,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,137.36871256140876,126.8260265008139
R0c_all,F05,matched,51173,29,29,159466.91673384543,159723.36278636273,0.10940321193811353,1.1486766412742082,[],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1521141658972451,51173,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,200.09620318558882,207.23945178135182
R0c_all,F06,matched,51173,29,29,159269.53304991891,159525.97910243622,0.11283179116142006,1.1464634474736326,[17.0],REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1500286686603933,51173,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,2.7125192590756342,9.855767854838632
R0c_all,F07,matched,51173,30,30,159259.67728206408,159524.96630190956,0.11301996381176538,1.1463306487589124,"[15.0, 20.0]",REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1500106537651427,51173,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,1.6997187324159313,0
R0c_all,F08,matched,51173,29,29,159266.82053065984,159523.26658317714,0.11287881590247895,1.1464330626713808,"[17.0, 33.0]",REFIT,APP-C-COMPLETE,177c17dcd65b1796342780d7fbde690ecf2a6ab2cace39b356253f6628ac9068,complete,True,1.1500115839726939,51173,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,0,7.1432485957629979
R0c_weather,F01,matched,9254,29,29,30266.771511913714,30473.623035828256,0.29045891034758808,1.2377091588923168,[],REFIT,APP-C-COMPLETE,19e0fee1995048631c582d84cc96bb2842c38ca63f26108ad3ac03833db04ddb,complete,True,1.2476084810292576,9254,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,28.360261466412339,33.067314356561837
R0c_weather,F02,matched,9254,30,30,30233.704197557152,30447.688532641161,0.29306594080980031,1.2353662777646885,[],REFIT,APP-C-COMPLETE,19e0fee1995048631c582d84cc96bb2842c38ca63f26108ad3ac03833db04ddb,complete,True,1.2456389069675513,9254,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,2.4257582793179608,0
R0c_weather,F03,matched,9254,28,28,30434.193448774164,30633.912161519238,0.27742734075802378,1.2490911445735349,[],REFIT,APP-C-COMPLETE,19e0fee1995048631c582d84cc96bb2842c38ca63f26108ad3ac03833db04ddb,complete,True,1.2591377863218876,9254,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,188.64938715739481,200.48925121701177
R0c_weather,F04,matched,9254,31,31,30276.843657158719,30497.960803412196,0.28983921757510311,1.2381152958481054,[],REFIT,APP-C-COMPLETE,19e0fee1995048631c582d84cc96bb2842c38ca63f26108ad3ac03833db04ddb,complete,True,1.2484170054577681,9254,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,52.698029050352488,43.139459601567069
R0c_weather,F05,matched,9254,29,29,30242.022513986165,30448.874037900707,0.29235397950398323,1.2360551935878561,[],REFIT,APP-C-COMPLETE,19e0fee1995048631c582d84cc96bb2842c38ca63f26108ad3ac03833db04ddb,complete,True,1.2458950866764695,9254,REFIT,APP-C-COMPLETE,none_or_fixed10.8,,,,,,,,,,,3.6112635388635681,8.3183164290130662
R0c_weather,F06,matched,9254,29,29,30242.60424102113,30449.455764935672,0.2923094939020372,1.2360940447885884,[11.0],DERIVE,results/new/20260909183317/results/weather_only/weather_only_summary.json#R0c/fits/final,19e0fee1995048631c582d84cc96bb2842c38ca63f26108ad3ac03833db04ddb,complete,True,1.246755510877912,9254,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,4.1929905738288653,8.9000434639783634
R0c_weather,F07,matched,9254,30,30,30239.309973301108,30453.294308385117,0.29263757314750416,1.2357405070268725,"[10.0, 34.0]",REFIT,APP-C-COMPLETE,19e0fee1995048631c582d84cc96bb2842c38ca63f26108ad3ac03833db04ddb,complete,True,1.2473586169279702,9254,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,8.0315340232737071,5.6057757439557463
R0c_weather,F08,matched,9254,29,29,30238.411250447301,30445.262774361843,0.29263007607963343,1.2358140391896271,"[10.0, 32.0]",REFIT,APP-C-COMPLETE,19e0fee1995048631c582d84cc96bb2842c38ca63f26108ad3ac03833db04ddb,complete,True,1.2469240975988847,9254,REFIT,APP-C-COMPLETE,train_selected,,,,,,,,,,,0,4.7070528901494981
