target,version,brier,constant_training_rate_brier,skill_vs_constant,max_difference_from_constant,within_fold_prediction_std_max
any_gt0,proxy,0.2239128390202404,0.22600909165195673,0.009275080999592955,0.442427428785146,0.04931073350378879
any_gt0,era5_daily_max,0.22386935023327356,0.22600909165195673,0.009467501519709987,0.48965707819044463,0.05347439750277384
any_gt5,proxy,0.13729531256443644,0.13898791540700847,0.012178057621883509,0.5441289958796328,0.04403515320543381
any_gt5,era5_daily_max,0.13722531645702502,0.13898791540700847,0.012681670523814303,0.5919802362801936,0.04723421622149447
any_gt100,proxy,0.055963270272007815,0.056907797424420925,0.01659749973046376,0.5721376234836161,0.033798907740620616
any_gt100,era5_daily_max,0.056010435709778504,0.056907797424420925,0.01576869524486879,0.6230702284076681,0.03445631524728515
any_gt1000,proxy,0.008198470473823362,0.008314320066678389,0.013933742257448256,0.30264597555286077,0.010822989255074855
any_gt1000,era5_daily_max,0.008259640205971143,0.008314320066678389,0.006576588376286829,0.3232604140255288,0.009448044614740218
wthr_gt0,proxy,0.04529363304349157,0.04780439622507181,0.05252159591680872,0.6444536706959869,0.0525797874170919
wthr_gt0,era5_daily_max,0.045305332846565245,0.04780439622507181,0.05227685267146809,0.7225016694874147,0.055864311368984725
wthr_gt5,proxy,0.03311111259301156,0.034820363904497734,0.049087692368010805,0.6062928673220765,0.0436001338586053
wthr_gt5,era5_daily_max,0.033136800453159844,0.034820363904497734,0.04834996716161333,0.6914083333044773,0.04619576290911148
wthr_gt100,proxy,0.018933337099923238,0.01990773569528831,0.04894572694149679,0.5783631424283284,0.03354398222259422
wthr_gt100,era5_daily_max,0.0189854176249948,0.01990773569528831,0.046329632079242455,0.6610501837960839,0.03461963687784201
wthr_gt1000,proxy,0.002445292661222586,0.002558074475163004,0.044088557637959824,0.26658662003011346,0.009994675244593965
wthr_gt1000,era5_daily_max,0.0025580744750441043,0.002558074475163004,4.6480153059746954e-11,1.8448513242237674e-09,0.0
