fold,n_test,n_train,sse,rmse,k
0,2141,7113,4670.5280383112668,1.4769801484299869,106
1,1926,7328,4387.6873054721173,1.5093490763244646,106
2,1244,8010,4296.5870931258105,1.8584531593773157,106
3,1894,7360,4386.8674379725107,1.5219040341325842,106
4,2049,7205,7628.113658853882,1.9294680811206459,107
