fold,n_test,n_train,sse,rmse,k
0,2141,7113,3237.3105499141593,1.2296566070581325,31
1,1926,7328,3282.8478851510067,1.3055612108836454,31
2,1244,8010,1832.4563361474761,1.2136867964964984,31
3,1894,7360,3079.3716000151244,1.2750906545851195,31
4,2049,7205,2990.7892393745983,1.2081529690280541,31
