term,coef
Intercept,2.7306189683504956
z_precipitation_24h_sum,0.059252924732407591
z_temperature_0h,-0.12806669277193897
z_pressure_msl_0h,-0.12044726230526881
urban_binary,0.0052517659594101401
log_population,-0.13950140192183264
income_deprivation_rate,-4.1648268911911632
deprivation_gap_pct,1.3508228933510229
morans_i,0.11656693337110186
incident_year[2022],0.26010805523281494
incident_year[2023],0.097343299225044796
incident_year[2024],-0.1851416884195877
incident_month[2],0.75835952907982995
incident_month[3],-0.37152799312019447
incident_month[4],-0.32421673701241394
incident_month[5],-0.23775852930410876
incident_month[6],0.10531559772048647
incident_month[7],0.060239025861798356
incident_month[8],0.075465609156344454
incident_month[9],-0.030594550225475622
incident_month[10],-0.11004409315498608
incident_month[11],-0.29698291532555909
incident_month[12],-0.32250876301357456
z_customers_v2_log1p,-0.29261321783873617
z_cust_sq,0.092297767337952613
z_temperature_sq,0.061638025884956267
z_gust_precip,-0.05406543789539648
gust_ge_q0,0.25311739660680055
gust_ge_q1,0.35046417648659967
gust_ge_q2,0.30961547967242203
gust_ge_q3,0.2437324169818525
