term,VIF,status
zG,1.8300736383307796,defined
zG2,2.1577542719123235,defined
zRain24,1.3521710967596554,defined
zTemp,3.296880694806322,defined
zPressure,1.6985576809984513,defined
zG_zPressure,1.8396756406974937,defined
urban_binary,1.1325501687612058,defined
log_population,1.3215079717623546,defined
income_deprivation_rate,2.60448158365045,defined
deprivation_gap_pct,3.678288283169817,defined
morans_i,2.4022552000391313,defined
year_2022,1.7385144237805026,defined
year_2023,1.7697912378334337,defined
year_2024,1.9454512522436553,defined
month_2,1.906173551232655,defined
month_3,1.9211021716575392,defined
month_4,2.16696907069673,defined
month_5,2.6430673919238523,defined
month_6,3.2894009868543113,defined
month_7,3.558714844692388,defined
month_8,3.457104252916311,defined
month_9,3.242434495278827,defined
month_10,2.5620373035579433,defined
month_11,2.2801047089303843,defined
month_12,2.1462572695735247,defined
zK,2.292509872392306,defined
zK2,2.2879001769760396,defined
