fold,n_test,n_train,sse,rmse,k
0,12360,48077,49288.591922699678,1.9969351906254309,26
1,11776,48661,48972.688967907437,2.0392857140424376,26
2,11537,48900,44899.54327320747,1.97276118929651,26
3,11887,48550,46323.563372009405,1.9740804537192305,26
4,12877,47560,50109.953768917701,1.9726709685324315,26
