term,coef
Intercept,3.3781302860243283
z_precipitation_24h_sum,0.035298227052423845
z_temperature_0h,-0.039251662208563506
z_pressure_msl_0h,-0.12589300545784443
z_gust_pressure,-0.15879554590452283
urban_binary,-0.16040069910466814
log_population,-0.084808559989291488
income_deprivation_rate,-3.2301629427934886
deprivation_gap_pct,0.19870787305652299
morans_i,-0.019484752519366225
incident_year[2022],0.085401659633072891
incident_year[2023],-0.0033122208621215628
incident_year[2024],-0.029932425727344447
incident_month[2],0.1299092097923977
incident_month[3],-0.004698764396434317
incident_month[4],-0.039150862312734062
incident_month[5],0.085062980660981363
incident_month[6],0.3041789572068086
incident_month[7],0.31574517485303599
incident_month[8],0.17724461544695652
incident_month[9],0.13248534591361286
incident_month[10],0.024733184536695194
incident_month[11],-0.11754928734180553
incident_month[12],0.067185121613631868
z_temperature_sq,0.053204766304127633
log_gust,-0.017178598381357456
