combination,model_id,family,n,k,n_columns,aic,bic,adj_r2,rmse,knots,full_action,full_source,sample_id_sha256,status,cache_used,LAD_OOF_RMSE,LAD_OOF_n,LAD_OOF_action,LAD_OOF_source,LAD_OOF_knots,random_OOF_RMSE,random_OOF_n,random_OOF_action,random_OOF_source,random_OOF_knots,year_holdout_RMSE,year_holdout_n,year_holdout_action,year_holdout_source,year_holdout_knots,delta_BIC_best_nonFE,delta_AIC_best_nonFE
E0_all,H11,historical,60437,132,136,253351.97543846013,254541.21053330821,0.051826724578173278,1.9637933103897476,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A6_M5_+LAD_FE,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,2.1019859266044461,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A6_M5_+LAD_FE/cv_lad,none_or_fixed10.8,1.9770223484592413,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A6_M5_+LAD_FE/cv_random,none_or_fixed10.8,1.9770248796731904,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A6_M5_+LAD_FE/cv_year,none_or_fixed10.8,40.13529737124918,-905.84716443973593
E0_all,H12,historical,60437,21,21,254786.63947676719,254975.83596912937,0.02726690335761206,1.9908937841744807,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A7_M5_no_socio,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9923665035599183,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A7_M5_no_socio/cv_lad,none_or_fixed10.8,2.0015617414146165,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A7_M5_no_socio/cv_random,none_or_fixed10.8,2.0005591671249792,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A7_M5_no_socio/cv_year,none_or_fixed10.8,474.76073319240822,528.81687386732665
E0_all,H13,historical,60437,26,26,254300.18640000719,254534.42967626514,0.035144732729043837,1.9827335646480866,[13.0],REUSE,results/new/20260909183317/results/model_selection/knots.json#E0/one_knot,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9869395330927375,60437,REUSE,results/new/20260909183317/results/model_selection/knots.json#E0/nested_cv/rmse_one_knot,train_selected,,,,,,,,,,,33.354440328170313,42.363797107333085
E0_all,H14,historical,60437,27,27,254257.82260289986,254501.07523593697,0.035836765069856558,1.9820059851066041,"[14.0, 26.0]",REUSE,results/new/20260909183317/results/model_selection/knots.json#E0/two_knot,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9864794242583639,60437,REUSE,results/new/20260909183317/results/model_selection/knots.json#E0/nested_cv/rmse_two_knot,train_selected,,,,,,,,,,,0,0
E0_weather,H01,historical,9857,5,5,43413.731763295524,43449.711449003851,0.026666980050210065,2.1874400710140542,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1895929236056633,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1933036302774296,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1936122908766871,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,50.837636633055808,209.14825374969223
E0_weather,H02,historical,9857,6,6,43377.669748364817,43420.845371214811,0.030319755591050379,2.1832208331902589,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1860411395239803,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1938892868894913,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.2047120840647536,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,21.971558844015817,173.08623881898529
E0_weather,H03,historical,9857,7,7,43364.766349493388,43415.137909485049,0.031686470472192307,2.1815709845965401,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.18463276238856,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1939784311528729,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.2012797284522807,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,16.264097114253673,160.1828399475562
E0_weather,H04,historical,9857,12,12,43348.04949088853,43434.400736588519,0.033817029395598719,2.1786164727278465,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1881251914307467,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1933674169056792,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.2005446096824444,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,35.526924217723717,143.4659813426988
E0_weather,H05,historical,9857,26,26,43270.2753784097,43457.369744093005,0.042768352597990056,2.1669585585689837,[],DERIVE,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/fits/paper,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1784068292120016,9857,REUSE,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/fits/paper/cv_lad,none_or_fixed10.8,2.18892921634952,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.2147861205630339,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,58.495931722209207,65.691868863868876
E0_weather,H06,historical,9857,27,27,43210.107555134557,43404.39785795952,0.048689821083639173,2.1601358483767572,[],REFIT,APP-C-COMPLETE,a9fbb6b83c432d5518e046bb51b978b4fc6a08a6477e99a0f8c5870a1a250906,complete,True,2.1713658248619589,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1754554468152874,7750,REFIT,APP-C-COMPLETE,none_or_fixed10.8,2.1952208127234423,9857,REFIT,APP-C-COMPLETE,none_or_fixed10.8,5.5240455887251301,5.5240455887251301
