term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,gust_hinge_11,z_temperature_sq,z_gust_precip
Intercept,0.60359633124316869,0.012770909914510575,0.00085245745344827615,-0.00087149805304631979,-0.00030763403723580915,0.0088133503881559147,-0.046787525523188989,-0.31202368927824531,-0.04945856092045,0.10653872625683072,0.0041520205272382888,0.001773281446726065,-0.022797182596948514,0.015873819701880426,-0.013118852947920057,-0.016364836726875793,-0.029725414173952976,-0.01524245757595241,-0.01702554275275835,-0.017058735865971144,-0.021464397807657278,-0.025571984134961614,-0.025941645592580279,-0.014132010136529375,-0.0065485240759870752,-0.0026872244289368225,-0.0035404414205254856,-0.00079399133147504183,-0.00079887675857759962
z_gust_0h,0.012770909914522795,0.0079161191142719713,0.00021291786628807585,-0.0028689124070733667,-3.8277839631718996e-05,0.00026018450849233938,-0.00050251937360009313,-0.036633543659754686,0.018719155163434385,-0.0036981623908827407,0.0010766261975206017,0.0002505753650505331,-0.0030940462376660874,0.0071411157081999032,-0.0017007393157512959,-0.0034163288931202381,9.1298428984706799e-05,0.002169559214147943,0.0019609036288006833,0.0020877793097846317,0.002336613119288968,0.00030492661397235962,-0.0024502697282743758,-0.003726560307935581,-0.0015193016203176718,-0.00053499759935684318,-0.0015712663645925703,0.00055718028533315641,0.00095637822592416666
z_precipitation_24h_sum,0.00085245745344851185,0.00021291786628809423,0.0005476813022573248,-0.00041300116733013334,0.00030811841843586703,-0.00018383434017877254,-0.00013860404508931538,-0.002528649226442936,0.00088032301548292226,3.988905941976144e-05,0.00021960754264020266,0.00023018801349725126,0.0001669645924246339,0.001119794547942991,0.00033754715789587205,0.0002754821905946397,0.0007776241868147093,0.00099262125367616922,0.0011373493964245182,0.0012667637811906839,0.00089617177448919388,0.00061138447393106353,0.00052540724317444822,0.00057474524946418031,1.6871476271316749e-05,4.4308070379813675e-05,-4.0860219701587501e-05,0.00012422310587267572,0.0001679757741853577
z_temperature_0h,-0.00087149805304525001,-0.0028689124070733715,-0.00041300116733013339,0.00402083061050629,-0.00048913757778603793,-0.00033983529104929537,0.00041330429403399266,0.0087474050285128307,-0.010055087034536881,0.0026340325426299741,-0.0010829839362563336,-0.0008560173241802621,-0.0012308255892105992,-0.0018642231447985834,-0.0007978330714012011,-0.00059751348932353572,-0.0040771611260365095,-0.006513528661652862,-0.0067600548298210241,-0.0064191872694501105,-0.0065724235289904781,-0.0051546731143695384,-0.0014160707710292144,-0.00039506643509313845,0.00023320719544229099,-0.00031042389273904154,0.00049327613133793528,-0.00087029028864460368,-0.00054635959480582043
z_pressure_msl_0h,-0.00030763403723532283,-3.8277839631659799e-05,0.00030811841843586557,-0.00048913757778603695,0.0011353182986598941,8.9160150003549939e-05,-0.000157353938672144,-0.0064587315189750649,0.0029491676056585211,-0.00045145100545227851,0.00010193742446499783,0.0006420997657407419,0.0021643576939820975,0.00017751552518310956,0.00074287459957658643,0.0011545576034001697,0.0014149406662948894,0.0014461176638650519,0.0018682242632594389,0.0014566699142678316,0.0015543236312391476,0.0017159561500684755,0.0021117338898446903,0.0013929242351107352,0.00020195666435474414,-0.0001430930586318583,8.2947609860402064e-05,0.0001253024881146223,-4.2274436339445833e-05
urban_binary,0.0088133503881514114,0.00026018450849226848,-0.00018383434017876939,-0.00033983529104929114,8.9160150003554886e-05,0.0025940405884182748,-0.0010230906527855179,0.011610852751736811,-0.0024174456953746826,-0.00092436998438922852,-0.00010082859777446979,-7.7304893483078336e-07,0.0013143910024254555,4.5916798066014436e-05,0.0013367332375277849,0.0010969352252374492,0.00089482809264149459,0.0016152746565049557,0.0018063268067128704,0.00134262000443815,0.0020328951498355253,0.0020391697088698946,0.0011942774117695617,0.00058872877225023387,0.00016629846332919239,0.00036551444490832947,-3.5247220158039019e-05,2.4221955945452992e-05,1.1086548736110569e-05
log_population,-0.046787525523183354,-0.00050251937359878016,-0.00013860404508928288,0.00041330429403397802,-0.00015735393867206466,-0.0010230906527858373,0.0039417959418411672,0.017368734060842179,0.0036900643548826661,-0.0080394828551784911,-0.00043583213800264548,-0.00046375183686121963,3.5474680612115623e-05,-0.0012300777113180082,-0.00041097921242806771,-0.00043606275258569924,0.0003872773818127161,-0.00091274955248829798,-0.00078276851195293305,-0.00061876133161671858,-0.00057647679850239,-0.00013623791599597844,0.00020188893732085383,-0.00055422540911266517,0.00027053819343658355,-6.0657687674316619e-05,0.00015406820811660082,-1.6332652475516669e-05,7.1685340604309245e-05
income_deprivation_rate,-0.31202368927842838,-0.036633543659746456,-0.002528649226442292,0.0087474050285126104,-0.0064587315189739477,0.011610852751734584,0.017368734060866139,1.5681254236506381,-0.36571430487225198,-0.09322694243380128,-0.016531951963825762,-0.021040780057205957,0.023987009267558264,-0.01996880596184997,0.03429001252256559,0.039698791770205397,0.025818509458589427,0.027652765732689578,0.024459961609791591,0.015830655225482038,0.039068281013844783,0.053002899793070227,0.035574447592840883,0.041055051460850173,0.015639245229596997,0.010743529064151023,0.0066958756112811876,-0.0023617006898999466,0.0011993036864899711
deprivation_gap_pct,-0.049458560920531018,0.018719155163433636,0.00088032301548294622,-0.0100550870345369,0.0029491676056588407,-0.0024174456953752399,0.0036900643548849052,-0.36571430487222167,0.26830000901680229,-0.045223366308289124,0.0070336818836864191,0.0072288442217986922,-0.0089984135032652613,0.0024184052920595777,-0.011588856913291583,-0.019181438796456902,7.0377503527205764e-05,0.0040777485765377073,0.0075775673826130371,0.0035388750686544948,0.0052190828076777379,-0.0047427550947116174,-0.0090070318483142821,-0.016215889037970128,-0.0053795113866381347,-0.00043373499714690169,-0.0029794828421732403,0.0020408828320022223,0.00089381739660717059
morans_i,0.10653872625694766,-0.0036981623908840062,3.9889059419524623e-05,0.0026340325426298925,-0.00045145100545276954,-0.00092436998438824233,-0.0080394828551875394,-0.093226942433834101,-0.045223366308281325,0.062022348502280382,0.0010366312558245429,0.0017681812567658249,-0.0013652921847752799,-0.0059300813154684719,-0.0068374962215989694,-0.0012238349567697039,-0.0078183681008098145,-0.009523231873320397,-0.010483139740966473,-0.0072707319969281875,-0.011639786044824643,-0.011416091099679617,-0.0072787435343955181,-0.003216033772484376,-0.00076306607495099253,-0.0006987492752581775,0.00050826093854990768,-0.00051551410989987187,-0.0016779444947415869
