term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,gust_hinge_11,z_temperature_sq,z_gust_precip
Intercept,0.33178668663928557,0.017653463753859362,-0.0014313409117581004,-0.00050210045318272356,-0.0010629037139686757,0.0010748067989499502,-0.024263494573893495,-0.32613265184745976,0.06193614138127429,0.044607488059121035,-0.00048400116952116204,-0.0029826036319895986,-0.023795006009086749,0.017217039595712032,-0.011643406097673475,-0.021823321908705916,-0.019034258173451547,-0.015512040982383866,-0.017310042760301767,-0.019392290224297937,-0.018034800901322291,-0.017044041747618532,-0.016221471590390175,-0.016665752745430688,-0.0072416357968396452,-0.00093240366294384093,-0.0041102994020766632,-0.00026145257668665689,0.000637398754702728
z_gust_0h,0.017653463753866477,0.0088314701890038691,0.00025906558175704347,-0.0028577070356320847,0.00044283320923968765,-0.00014868436690885126,-0.00075791783161858258,-0.042355234150737969,0.012669543333528715,-0.00074226809900146179,0.00095052641409273237,0.00047329050907593296,-0.0025231116429026558,0.0075457605232300889,-0.0013019600416699991,-0.0027250612741572637,0.00040679833957553023,0.0023984388165688994,0.0020971838459100185,0.0020947139200451913,0.0021687132687249668,0.00073962581085856806,-0.0014567177230428918,-0.00320451961137275,-0.0013645961477618891,-0.0004644310664408441,-0.0017252817801934343,0.00056202925202731787,0.0010677221208629333
z_precipitation_24h_sum,-0.0014313409117580238,0.0002590655817570515,0.00049983558160133265,-0.00040054424185448058,0.0002598204032549891,-0.00014209017438926517,5.0094361744974977e-05,0.0003291325304149549,0.00094665636096177288,-0.00057969590247459383,4.8924765585136811e-05,9.4925413966751384e-05,0.00013657752174946308,0.0010304056541155717,0.00042391398232782465,0.00053979178495800275,0.00082254631058949212,0.0009236996876693409,0.0010919666311575503,0.0010309602638433771,0.0011090075213513236,0.00076112501596242233,0.00058594149987712643,0.00062965531431863331,8.3689338773131307e-06,6.0046422222433666e-05,-4.9668035045583961e-05,0.00011929864685882658,0.00019987332525042692
z_temperature_0h,-0.00050210045318227958,-0.0028577070356320964,-0.00040054424185448085,0.0040444551355684746,-0.00048797110509473637,0.00017445458368884278,0.0002462778393453823,0.023524097626196155,-0.010562591875905483,0.0012372492678574378,-0.0012071649268014539,-0.00098162730856549314,-0.00099957225102541942,-0.0019364833078076705,-0.00047214599420865685,-0.00052734965580368239,-0.0038043272913322536,-0.0063297318203271802,-0.0064589247273565313,-0.0066623112406069412,-0.0062891495553145495,-0.0045515620217990941,-0.0012781469809817736,-0.00028368148981415341,0.00028887098357236,-0.00011635981082065941,0.00045719629366599369,-0.00090303360755136384,-0.00045540440356162186
z_pressure_msl_0h,-0.0010629037139684811,0.00044283320923971774,0.00025982040325498774,-0.00048797110509473773,0.0011032784723956903,0.00020119065219422096,-3.770686279807844e-05,-0.0012262204316268544,0.0010691862167809382,-0.0005024173972477602,-0.00012672791295366886,0.0004099580571775313,0.0017935005518283141,-2.3864321621949011e-05,0.00046757373079039439,0.00098870501906909644,0.0011176825510389571,0.0012084045522812357,0.0014963597685059486,0.0014199259066982382,0.0014742913768018293,0.0015863046127498907,0.0018147639082909798,0.0010131785688350821,0.00018686276995770514,-0.00013025492971686253,1.9224643697737122e-05,0.00010451101415190605,2.7554298490946539e-06
urban_binary,0.0010748067989468,-0.00014868436690889837,-0.00014209017438926268,0.00017445458368884625,0.00020119065219422432,0.00089272842184842899,-0.00012369247069246526,0.0011451764659128553,3.8042550671298172e-05,-0.00056203896505489933,-0.00010609035440944361,7.5900820390418808e-05,0.000622657426487761,-0.00059555715742429227,1.046463401233532e-05,9.0078420383725308e-05,-0.00028408946444331682,-0.00029133350524400712,-0.00026786795973180697,-0.00037791121187827478,-0.00034962478640948727,-0.00013071950905171745,0.0001892852618354474,0.00011319562940471971,-8.0935261277449339e-05,-0.00015166383397053918,4.834534314162501e-05,-3.9443124325699917e-05,-0.00020056961499412149
log_population,-0.024263494573893579,-0.0007579178316180266,5.009436174499744e-05,0.00024627783934535243,-3.7706862798008983e-05,-0.00012369247069270834,0.0020145780085853676,0.022853524590299764,-0.0052486742553512341,-0.0034478381676506936,-8.857221566222597e-05,-4.9217477495329849e-05,0.00029810306758008967,-0.0013705350348216213,-0.00040002588352590541,7.7258679063748955e-05,-0.00025967038604814889,-0.00063819456297158419,-0.00051126575467343909,-0.00040745370527798977,-0.00045975627853327448,-0.00048306071123111323,-0.00039034091784607842,-0.0003324351913261245,0.00041138902483628631,-6.9562356885164849e-05,0.00016206872697765252,-3.6227430360006675e-05,4.1853772673470806e-06
income_deprivation_rate,-0.32613265184758328,-0.042355234150732848,0.00032913253041554356,0.023524097626196037,-0.0012262204316261763,0.0011451764659112071,0.022853524590315036,1.0171216266649683,-0.27896982772144074,-0.053160081859479985,-0.009063904359799594,-0.0065265574866035514,0.0069600880567548956,-0.031065574290154579,0.01792837570092189,0.031711177301647867,0.0051820506182067554,-0.012300971507019443,-0.0082844163211059901,-0.0085618480541284226,-0.0085901263956849969,0.0061895722382921741,0.019162158475587845,0.027807891062605276,0.010891843202304321,-0.0014561995394224939,0.0084228131045461715,-0.0049270753311228118,-0.0039575319613591861
deprivation_gap_pct,0.061936141381207857,0.01266954333352778,0.00094665636096172854,-0.010562591875905469,0.0010691862167812401,3.804255067087887e-05,-0.0052486742553493103,-0.2789698277214096,0.13755330697980631,-0.013417188249392694,0.0039149126076339323,0.002725052612273072,-0.0024626668986652113,0.007832927799071342,-0.0031020921503002062,-0.0064560754157206085,0.003706397539617776,0.01167362214149879,0.010491996840059746,0.010860041416321351,0.010899521039668666,0.0043329993327584611,-0.0028025223809135112,-0.0051814881366587569,-0.0031852619254610229,0.0010036478376865543,-0.0023932923643179885,0.0023786115107388432,0.001693021235271136
morans_i,0.044607488059247892,-0.00074226809900208043,-0.00057969590247481816,0.001237249267857371,-0.00050241739724825004,-0.00056203896505408802,-0.0034478381676599757,-0.053160081859532159,-0.013417188249384249,0.02515086008197797,0.00026652945479924432,0.00036765000457554683,0.0014100288641214359,-0.0014078832010278252,-0.0005896109825919122,-0.001120876776588545,-0.00090445799416333337,-0.002058363076698141,-0.0026998225883039123,-0.0025580361661593997,-0.0024083622415296858,-0.0022050551061481931,-0.00048419530180198166,-0.00056141688639947673,-0.00016579638308606223,0.00050531692191977805,0.00011372727349767159,-0.00035580724666330537,-0.00036966856773929332
incident_year[2022],-0.00048400116952206144,0.00095052641409263544,4.8924765585141853e-05,-0.0012071649268014235,-0.00012672791295364563,-0.00010609035440946579,-8.8572215661768749e-05,-0.0090639043597977292,0.0039149126076336131,0.00026652945479990086,0.0027723076810706885,0.0015646935655021729,0.0013325062668642302,-0.00014100945681535935,-0.00055670886344154401,-0.00054295015581543504,0.00085232984198901733,0.0017077588113868518,0.001736564301341474,0.0017906679345290135,0.0017025184296749465,0.00066324440059693486,-0.00023551584592109405,-0.00026159626314277597,-0.00017773971254532277,3.3222695965041987e-05,-0.00017905414238141335,0.00019455627226319037,7.3066221874634071e-05
