term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],gust_low,gust_ramp,z_temperature_sq
Intercept,0.46716127729947987,0.0013167435278910486,0.0090111716567796256,-0.0085137316209434408,0.0010002224061959912,0.0070138692203685791,-0.033180394882847894,-0.19852868812864313,-0.011092164747095398,0.038980908147175072,-0.0064169704368022655,-0.00706600792180344,-0.024098611816041168,-0.010455369922016167,-0.018049976549540679,-0.024474635497955005,-0.032277157476712233,-0.041328518407459193,-0.037533253608051348,-0.039017540088559469,-0.035901909029109315,-0.039799423502392996,-0.027022907120490051,-0.019201982432025252,-0.0023705180701577241,-0.0016717007966385179,-0.0021314212265532329
z_precipitation_24h_sum,0.0013167435278910139,0.0012635110690050841,0.00021255455886533896,0.00032548133566015958,-4.5563574670664832e-05,7.5382042649137102e-05,-7.6468674323528196e-05,-0.0027860909630116463,-4.5051496234564697e-05,0.0011855357645565974,0.00014049304282956007,0.00022595749570757405,-0.00083797339904814467,0.00050772436961677694,-9.0885647290991296e-05,-0.00038300789178464568,-0.00040274891582345958,-0.00077454530527618158,-0.00076758854120303718,-0.0008542025537089502,-0.0007867983508260645,-0.0013395337233020588,-0.00030262418859353964,-0.00028884189804770431,-7.8984054920087173e-06,-1.5891275221517865e-05,3.5843433592337736e-05
z_temperature_0h,0.0090111716567838514,0.00021255455886533134,0.0051186618464370845,-0.00081162013009186999,0.00097790262671478521,0.0016455301229539021,0.00031139744852162982,-0.021867518655013823,0.0099439637345022733,-0.0064636415050142544,-0.0013994877036878721,-0.0016192001652514127,-0.003427865566780099,0.00067441884358065941,-0.0014622050251244093,-0.0018374235417821757,-0.0065393583549927655,-0.0096316789706770295,-0.010080154233685966,-0.0098045455277903839,-0.0094181822510017426,-0.0079259853311622608,-0.0027825139056649353,-0.0013049745787424118,-0.00052561118511601382,-3.7499074638133498e-05,-0.0011180156263942403
z_pressure_msl_0h,-0.0085137316209427331,0.00032548133566015752,-0.00081162013009185437,0.0018408449265489106,3.547190612219396e-05,-0.00035821997517286499,0.00035746897117748658,0.0088638424471038126,-0.0032029836959772302,0.00092822932383864137,0.00030037935377068243,0.00088020586398602498,0.00096935453420209604,0.0011236188469291284,0.00098485958123462601,0.0010708271340152007,0.0012866224489142685,0.0020977494001419923,0.0021008533862274578,0.0020444545248505326,0.0020628558617958571,0.0024152234903657608,0.0021707227340306856,0.0010828844468111912,0.00010951460552808824,0.00025673948527472006,0.00023000837697244417
z_gust_pressure,0.0010002224061959322,-4.5563574670666248e-05,0.00097790262671477914,3.5471906122196474e-05,0.0011489524797348594,0.00065152525848967326,0.00027555400879655822,-0.0050394057386886392,0.0025773061229768406,-0.0017350054077237096,-7.1521681505460458e-05,-0.00028709945738293429,-0.00096726100299966364,0.00081228582384772663,-0.00018948727849250508,-0.00040584063391048924,-0.0013742571838131804,-0.0017471914774828685,-0.0016882622254663089,-0.0018853806246484984,-0.0021465077329375117,-0.0017489324527424301,-0.0003490315928659224,-0.00056300941743020938,-0.00031631772278859779,0.00017745117447617151,-0.00025618756066971671
urban_binary,0.0070138692203672946,7.5382042649140612e-05,0.0016455301229538818,-0.00035821997517286326,0.00065152525848966882,0.0025363899118033772,-0.00028739790886770722,-0.0028728588631194425,0.0024598032704037853,-0.0037899704167326407,-0.00014920019726596777,-0.00066070989257191915,-0.0015285544996600667,0.00071669993954981577,-0.00035081200567717942,-0.00024390230359936185,-0.0023294013877406096,-0.0028732962990997164,-0.0032482593885193806,-0.0034160118436243584,-0.0028559241475381099,-0.0024352955532273425,-0.00074022584308554231,-0.00042676198333681622,-0.00020585659693866238,2.7903810124338283e-05,-0.00041198020367848054
log_population,-0.033180394882832025,-7.6468674323554948e-05,0.00031139744852197362,0.00035746897117750327,0.00027555400879662777,-0.00028739790886776506,0.0028300308065984598,0.010554769081257074,0.0017985461200811302,-0.0043736901380703698,-0.0001957788147445045,-0.00021854255867353011,-0.00021125231571062126,-6.226784897643591e-05,9.4199474868475546e-06,0.00013946047079088124,-0.00025136770292862292,-0.0002576178147770384,-0.00047429615963013054,-0.00037147797837032648,-0.00071384409959291263,-2.0863046685528243e-05,-1.3080534555439074e-05,-0.00026526695720550958,-7.0122398551915473e-05,0.00013238735906998894,-6.4067634220443438e-05
income_deprivation_rate,-0.19852868812860591,-0.002786090963011622,-0.021867518655012963,0.0088638424471044128,-0.0050394057386894398,-0.002872858863119596,0.010554769081263127,1.6975469055289127,-0.49017294817333806,-0.0090793043733163256,-0.0025162889224819855,0.0017211157474811968,0.011965598667056586,-0.013993952750471633,0.0024686113056498257,0.015865290263494911,0.023693552698583382,0.037548093739545978,0.027468704716534249,0.028853604998785611,0.02736555712545434,0.029186658322937913,0.0098826463756282179,-0.012385113368597588,0.0013726014544045415,0.0010165404286696718,0.0044959504715042301
deprivation_gap_pct,-0.011092164747119763,-4.505149623458365e-05,0.0099439637345023063,-0.0032029836959770715,0.0025773061229767396,0.0024598032704035251,0.001798546120082534,-0.4901729481733253,0.28973366836376729,-0.063819266457376581,-0.00013928507220303853,-0.001523947029340003,-0.0035911911366018514,0.0030361926745799545,-0.0047097039324048347,-0.0050214145537951773,-0.01189300228896069,-0.018987470958641176,-0.01463501603438923,-0.01559238441451752,-0.014650498594300647,-0.015012632919455695,-0.0059839326403716879,0.0037310560943080774,-0.00099890916887063544,-0.00027902080700892512,-0.0020515364836013348
morans_i,0.038980908147133855,0.0011855357645566464,-0.0064636415050148659,0.00092822932383866078,-0.0017350054077238085,-0.0037899704167325878,-0.0043736901380695449,-0.0090793043733040056,-0.063819266457372653,0.056898283224400867,0.0022736821674238764,0.0032068770390614419,0.0049268085034257303,0.0010167375501348892,0.0020849217152264592,0.00099920470730761358,0.0083369021567003872,0.012939084996641252,0.012621753553717295,0.012094528475066025,0.012690881189129944,0.0086376334634065237,0.0046534281271032396,0.0021620263183923538,0.0010187100042056496,-0.00023849897999692261,0.0015651243715411446
incident_year[2022],-0.0064169704368065485,0.00014049304282956604,-0.0013994877036878478,0.00030037935377070281,-7.1521681505467939e-05,-0.00014920019726598027,-0.00019577881474424242,-0.0025162889224809785,-0.00013928507220324081,0.0022736821674234991,0.0071468458470598699,0.0044923772119722311,0.0066033602580678492,-0.0011632518530520183,0.00085291028001596931,0.0013081073201273686,0.0035660949435907564,0.0051537262788650751,0.005249198438084279,0.0052530451673838633,0.0049247902904765153,0.003833774775377846,0.002834671561891352,0.0021502895486699373,9.652318542002479e-05,6.898999467133961e-05,2.8373957758468079e-05
