model,term,old_coef,new_coef,coef_difference,old_se_twoway,new_se_twoway,se_twoway_difference,old_se_lad,new_se_lad,se_lad_difference,old_p_t_G1,new_p_t_G1,p_difference
E0_weather_final,Intercept,3.8616797608347739,3.8616797608347739,0,1.405679178264472,1.4056791782638591,-6.1284310959308641e-13,1.4682162634231009,1.4682162634227276,-3.7325698087897763e-13,0.0070858094107879698,0.0070858094107638771,-2.4092706996103885e-14
E0_weather_final,z_precipitation_24h_sum,-0.11827051930994266,-0.11827051930994266,0,0.034426828827466734,0.034426828827466699,-3.4694469519536142e-17,0.025769040185908757,0.025769040185908768,1.0408340855860843e-17,0.00085125755197703722,0.00085125755197702573,-1.1492543028346347e-17
E0_weather_final,z_temperature_0h,0.027198941296673079,0.027198941296673079,0,0.06903289708607295,0.069032897086073075,1.2490009027033011e-16,0.039481447531188721,0.039481447531188721,0,0.69438794325614694,0.69438794325614761,6.6613381477509392e-16
E0_weather_final,z_pressure_msl_0h,-0.18538680336870464,-0.18538680336870464,0,0.040494823128395696,0.040494823128395405,-2.9143354396410359e-16,0.031043887441239711,0.031043887441239267,-4.4408920985006262e-16,1.3049883523977522e-05,1.30498835239758e-05,-1.7228650147152469e-18
E0_weather_final,z_gust_pressure,-0.086481935295944903,-0.086481935295944903,0,0.033962198153598695,0.033962198153598848,1.5265566588595902e-16,0.029686150746290701,0.029686150746290614,-8.6736173798840355e-17,0.012348632591174399,0.012348632591174769,3.6949610038305991e-16
E0_weather_final,urban_binary,-0.0058103102898255932,-0.0058103102898255932,0,0.066455883607293945,0.066455883607293958,1.3877787807814457e-17,0.064152147298945042,0.064152147298945167,1.2490009027033011e-16,0.93049698194993069,0.93049698194993069,0
E0_weather_final,log_population,-0.052849189803676977,-0.052849189803676977,0,0.11787119081314697,0.11787119081311045,-3.6512459722359836e-14,0.12372491580862,0.12372491580859996,-2.0039525594484076e-14,0.65482329983827314,0.65482329983817333,-9.9809049913801573e-14
E0_weather_final,income_deprivation_rate,-1.9483855151618044,-1.9483855151618044,0,2.1835124155496604,2.1835124155497194,5.9063864910058328e-14,2.2261603999886406,2.226160399988637,-3.5527136788005009e-15,0.37428297244477549,0.37428297244478831,1.2823075934420558e-14
E0_weather_final,deprivation_gap_pct,-1.3852534023926912,-1.3852534023926912,0,0.99727261645614629,0.99727261645614473,-1.5543122344752192e-15,1.038704755474082,1.0387047554740785,-3.5527136788005009e-15,0.16778724991365318,0.16778724991365257,-6.106226635438361e-16
E0_weather_final,morans_i,0.59090139897823812,0.59090139897823812,0,0.37843756446075033,0.37843756446071553,-3.4805491821998658e-14,0.39493010794713146,0.39493010794710925,-2.2204460492503131e-14,0.12146174354505508,0.12146174354502114,-3.3945068977914161e-14
E0_weather_final,incident_year[2022],0.26340425184547789,0.26340425184547789,0,0.090316573916564571,0.090316573916564169,-4.0245584642661925e-16,0.082407834727172766,0.082407834727172571,-1.9428902930940239e-16,0.0043375590843046557,0.0043375590843044761,-1.7954387976359953e-16
E0_weather_final,incident_year[2023],0.38855665788609633,0.38855665788609633,0,0.091158904129931231,0.091158904129930649,-5.8286708792820718e-16,0.080328594815633189,0.080328594815632939,-2.4980018054066022e-16,4.4583533808024723e-05,4.4583533808020149e-05,-4.5739779151732218e-18
E0_weather_final,incident_year[2024],0.38714222872746501,0.38714222872746501,0,0.16524077856323768,0.16524077856323707,-6.106226635438361e-16,0.1496270438767697,0.14962704387677001,3.0531133177191805e-16,0.021037689850959166,0.021037689850958673,-4.9266146717741321e-16
E0_weather_final,incident_month[2],-0.10802477212829509,-0.10802477212829509,0,0.12784557177668024,0.12784557177667946,-7.7715611723760958e-16,0.11048918653721219,0.11048918653721175,-4.4408920985006262e-16,0.40007119587133,0.40007119587132706,-2.9420910152566648e-15
E0_weather_final,incident_month[3],0.24574021891970702,0.24574021891970702,0,0.14532854160932795,0.14532854160932765,-3.0531133177191805e-16,0.13805483613914926,0.1380548361391491,-1.6653345369377348e-16,0.093845275869212888,0.093845275869212236,-6.5225602696727947e-16
E0_weather_final,incident_month[4],0.12767927584768599,0.12767927584768599,0,0.19532736365216183,0.1953273636521608,-1.0269562977782698e-15,0.19059318075415471,0.19059318075415363,-1.0824674490095276e-15,0.51476831723549699,0.51476831723549499,-1.9984014443252818e-15
E0_weather_final,incident_month[5],0.362029179332371,0.362029179332371,0,0.20205671124879473,0.2020567112487946,-1.3877787807814457e-16,0.17270489234805786,0.17270489234805808,2.2204460492503131e-16,0.076085949641748266,0.076085949641748113,-1.5265566588595902e-16
E0_weather_final,incident_month[6],1.0187404648531597,1.0187404648531597,0,0.23970548571704858,0.2397054857170475,-1.0824674490095276e-15,0.19609679358821688,0.1960967935882173,4.163336342344337e-16,4.6744815077260675e-05,4.6744815077257138e-05,-3.5372095877339582e-18
E0_weather_final,incident_month[7],0.78285663953945261,0.78285663953945261,0,0.20250945901160361,0.20250945901160233,-1.27675647831893e-15,0.14634793638093493,0.14634793638093416,-7.7715611723760958e-16,0.00019308296868993322,0.00019308296868991682,-1.6398557858843255e-17
E0_weather_final,incident_month[8],0.77065320394074299,0.77065320394074299,0,0.19891400510651508,0.19891400510651391,-1.1657341758564144e-15,0.14613012610453988,0.1461301261045391,-7.7715611723760958e-16,0.00018727507785309632,0.00018727507785308087,-1.5449880957918438e-17
E0_weather_final,incident_month[9],0.43633615044710217,0.43633615044710217,0,0.2102247664074777,0.21022476640747725,-4.4408920985006262e-16,0.16124036979845591,0.16124036979845488,-1.0269562977782698e-15,0.040400669931802781,0.040400669931802372,-4.0939474033052647e-16
