model,gust_ms,pred_log
quad,2.200000047683716,1.7442349037129568
quad,2.327135725836059,1.7389551076512768
quad,2.454271403988402,1.7337621228007367
quad,2.5814070821407453,1.7286559491613362
quad,2.7085427602930885,1.7236365867330754
quad,2.8356784384454317,1.7187040355159542
quad,2.962814116597775,1.7138582955099728
quad,3.089949794750118,1.709099366715131
quad,3.217085472902461,1.704427249131429
quad,3.3442211510548043,1.6998419427588665
quad,3.4713568292071475,1.6953434475974438
quad,3.5984925073594907,1.6909317636471608
quad,3.7256281855118334,1.6866068909080174
quad,3.8527638636641766,1.6823688293800139
quad,3.9798995418165197,1.6782175790631497
quad,4.1070352199688624,1.6741531399574254
quad,4.2341708981212065,1.6701755120628408
quad,4.361306576273549,1.6662846953793957
quad,4.488442254425893,1.6624806899070903
quad,4.615577932578235,1.6587634956459247
quad,4.742713610730579,1.6551331125958988
quad,4.8698492888829215,1.6515895407570127
quad,4.9969849670352655,1.648132780129266
quad,5.124120645187608,1.6447628307126592
quad,5.251256323339951,1.641479692507192
quad,5.378392001492294,1.6382833655128644
quad,5.505527679644637,1.6351738497296764
quad,5.6326633577969805,1.6321511451576283
quad,5.759799035949324,1.6292152517967198
quad,5.886934714101667,1.626366169646951
quad,6.01407039225401,1.6236038987083217
quad,6.141206070406353,1.6209284389808323
quad,6.268341748558696,1.6183397904644825
quad,6.3954774267110395,1.6158379531592724
quad,6.522613104863383,1.6134229270652019
quad,6.649748783015726,1.6110947121822712
quad,6.776884461168069,1.6088533085104801
quad,6.904020139320412,1.6066987160498287
quad,7.031155817472755,1.604630934800317
quad,7.1582914956250985,1.6026499647619448
quad,7.285427173777442,1.6007558059347125
quad,7.412562851929785,1.5989484583186198
quad,7.539698530082128,1.5972279219136667
quad,7.666834208234471,1.5955941967198535
quad,7.793969886386814,1.5940472827371799
quad,7.9211055645391575,1.592587179965646
quad,8.0482412426915,1.5912138884052516
quad,8.175376920843844,1.5899274080559969
quad,8.302512598996186,1.588727738917882
quad,8.42964827714853,1.5876148809909068
quad,8.556783955300872,1.5865888342750711
quad,8.683919633453215,1.5856495987703751
quad,8.811055311605559,1.584797174476819
quad,8.938190989757903,1.5840315613944025
quad,9.065326667910245,1.5833527595231256
quad,9.192462346062587,1.5827607688629883
quad,9.319598024214931,1.582255589413991
quad,9.446733702367275,1.581837221176133
quad,9.573869380519618,1.5815056641494147
quad,9.70100505867196,1.5812609183338364
quad,9.828140736824304,1.5811029837293975
quad,9.955276414976648,1.5810318603360984
quad,10.08241209312899,1.581047548153939
quad,10.209547771281335,1.5811500471829192
quad,10.336683449433677,1.5813393574230392
quad,10.463819127586019,1.5816154788742987
quad,10.590954805738363,1.581978411536698
quad,10.718090483890705,1.582428155410237
quad,10.84522616204305,1.5829647104949156
quad,10.972361840195392,1.583588076790734
quad,11.099497518347736,1.584298254297692
