fold,n_test,n_train,sse,rmse,k
0,9834,41339,12129.57169982141,1.1105999025595696,29
1,10581,40592,14540.200615604001,1.1722543206928053,29
2,10833,40340,14642.250853467849,1.1625979422017114,29
3,9995,41178,12947.417069218487,1.1381517480646683,29
4,9930,41243,13418.215678014829,1.162445926278783,29
