scope,n,duration_exactly_1h,share_exactly_1h,valid_AB,mean_A_h,mean_B_h,median_A_h,median_B_h,mean_B_minus_A_h,fraction_A_equal_B
zero_customers,8661,5761,0.66516568525574415,0,,,,,,
positive_customers,51173,259,0.0050612627752916577,51173,8.1666914602957501,12.42265908454328,4.166666666666667,7.416666666666667,4.2559676242475319,0.54233677916088563
saved_R0c_input,59834,6020,0.10061169234883177,51173,8.1666914602957501,12.42265908454328,4.166666666666667,7.416666666666667,4.2559676242475319,0.54233677916088563
