fold,n_test,n_train,sse,rmse,k
0,8504,32673,12539.987813145875,1.2143305789914036,28
1,8274,32903,10704.293280271615,1.1374209979164631,28
2,8153,33024,11139.249564364645,1.1688781646992927,28
3,8108,33069,10776.75334970171,1.1528879542862551,28
4,8138,33039,9925.598649493535,1.1043824900735784,28
