combination,sample_version,threshold_label,exact_numeric_threshold,operator,bin,left,right,closed,denominator,numerator,frequency,mean_gust,binomial_se,original_95_lower,original_95_upper,interval_rule,excluded_gust_count
E0_all,current accepted,>5 customers,5.5,>,9,20,23,"(left,right]",1412,829,0.58711048158640222,21.436898036989206,0.0131026607811228,0.56142926645540148,0.61279169671740297,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>5 customers,5.5,>,10,23,26,"(left,right]",765,511,0.66797385620915029,24.442614349664428,0.017026883151165247,0.63460116523286636,0.70134654718543421,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>5 customers,5.5,>,11,26,30,"(left,right]",494,352,0.71255060728744934,27.806477751326465,0.02036221789726804,0.67264066020880398,0.75246055436609471,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>5 customers,5.5,>,12,30,45,"(left,right]",342,245,0.716374269005848,32.344736941376624,0.024374165195612276,0.66860090522244797,0.76414763278924802,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,0,0,4,"(left,right]",5544,808,0.14574314574314573,3.0836399732773092,0.0047388907305092711,0.13645491991134756,0.1550313715749439,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,1,4,6,"(left,right]",9167,1333,0.14541289407657904,5.1041343973912365,0.0036818493225014679,0.13819646940447616,0.15262931874868191,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,2,6,8,"(left,right]",10737,1430,0.13318431591692279,7.0598956891763605,0.0032790530733012987,0.12675737189325223,0.13961125994059334,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,3,8,10,"(left,right]",10190,1245,0.12217860647693818,9.0231795865958286,0.0032442444635058542,0.11581988732846671,0.12853732562540965,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,4,10,12,"(left,right]",8314,971,0.11679095501563627,10.992386341094971,0.0035223406011259924,0.10988716743742932,0.12369474259384322,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,5,12,14,"(left,right]",5563,718,0.12906705015279527,12.981934217418374,0.0044951638126164185,0.12025652908006709,0.13787757122552344,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,6,14,16,"(left,right]",3762,548,0.14566719829877725,14.984502928235441,0.0057515517088601552,0.13439415694941134,0.15694023964814316,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,7,16,18,"(left,right]",2569,414,0.16115219929933827,16.985870004953139,0.0072540016730495678,0.14693435602016111,0.17537004257851543,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,8,18,20,"(left,right]",1578,350,0.2217997465145754,18.963624858735329,0.010458579626687371,0.20130093044626815,0.24229856258288265,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,9,20,23,"(left,right]",1412,437,0.30949008498583569,21.436898036989206,0.012302432228064913,0.28537731781882847,0.33360285215284291,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,10,23,26,"(left,right]",765,293,0.38300653594771245,24.442614349664428,0.017575701042891002,0.34855816190364608,0.41745490999177881,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,11,26,30,"(left,right]",494,216,0.43724696356275305,27.806477751326465,0.022318183814575624,0.39350332328618481,0.4809906038393213,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>100 customers,100.5,>,12,30,45,"(left,right]",342,143,0.41812865497076024,32.344736941376624,0.026671988660988154,0.36585155719522344,0.47040575274629703,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>1000 customers,1000.5,>,0,0,4,"(left,right]",5544,107,0.0193001443001443,3.0836399732773092,0.0018477223962967701,0.015678608403402631,0.022921680196885969,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>1000 customers,1000.5,>,1,4,6,"(left,right]",9167,184,0.020071997381913384,5.1041343973912365,0.0014648014605241066,0.017200986519286136,0.022943008244540632,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>1000 customers,1000.5,>,2,6,8,"(left,right]",10737,176,0.016391915805159727,7.0598956891763605,0.0012254184802911565,0.01399009558378906,0.018793736026530394,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>1000 customers,1000.5,>,3,8,10,"(left,right]",10190,150,0.014720314033366046,9.0231795865958286,0.0011930295750897278,0.012381976066190179,0.017058652000541914,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>1000 customers,1000.5,>,4,10,12,"(left,right]",8314,121,0.014553764734183305,10.992386341094971,0.0013134064125043959,0.011979488165674689,0.01712804130269192,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
