margin,category,share,knots_m_s,ordinal_llf,ordinal_converged,McFadden_R2
E0,0,0.14856793024140841,"[14.0, 26.0]",-79850.815717644582,True,
E0,1-5,0.42823105051541277,"[14.0, 26.0]",-79850.815717644582,True,
E0,6-100,0.27584095835332662,"[14.0, 26.0]",-79850.815717644582,True,
E0,101-1000,0.12882836672899051,"[14.0, 26.0]",-79850.815717644582,True,
E0,>1000,0.018531694160861725,"[14.0, 26.0]",-79850.815717644582,True,
R0c,<3 h,0.31493799511983156,[17.0],-67593.134013376752,True,
R0c,3-12 h,0.42195073035397934,[17.0],-67593.134013376752,True,
R0c,12-48 h,0.22094461343049102,[17.0],-67593.134013376752,True,
R0c,>48 h,0.042166661095698096,[17.0],-67593.134013376752,True,
