fold,n_test,n_train,sse,rmse,k
0,2030,5720,10558.155881873363,2.2805836995767237,5
1,1579,6171,7216.6431943298849,2.1378466604188771,5
2,1450,6300,6944.50113215073,2.1884494797964136,5
3,1336,6414,6186.480492197119,2.1518827037750516,5
4,1355,6395,6376.2206125070852,2.1692620563244356,5
