model,gust_ms,gust_z,predicted_log_scale
E0_gust_dose_response,2.200000047683716,-1.4602765687795596,2.288002269482518
E0_gust_dose_response,2.716326577322824,-1.36248644530106,2.2552212110637426
E0_gust_dose_response,3.2326531069619318,-1.2646963218225602,2.224467430295054
E0_gust_dose_response,3.7489796366010393,-1.1669061983440607,2.1957409271764523
E0_gust_dose_response,4.265306166240148,-1.0691160748655608,2.1690417017079393
E0_gust_dose_response,4.781632695879255,-0.9713259513870613,2.1443697538895123
E0_gust_dose_response,5.297959225518363,-0.8735358279085617,2.121725083721173
E0_gust_dose_response,5.814285755157471,-0.775745704430062,2.101107691202921
E0_gust_dose_response,6.330612284796579,-0.6779555809515623,2.0825175763347565
E0_gust_dose_response,6.846938814435687,-0.5801654574730626,2.06595473911668
E0_gust_dose_response,7.363265344074795,-0.48237533399456295,2.0514191795486902
E0_gust_dose_response,7.879591873713903,-0.38458521051606326,2.038910897630789
E0_gust_dose_response,8.39591840335301,-0.28679508703756373,2.028429893362974
E0_gust_dose_response,8.912244932992117,-0.1890049635590642,2.0199761667452463
E0_gust_dose_response,9.428571462631226,-0.09121484008056434,2.013549717777607
E0_gust_dose_response,9.944897992270334,0.006575283397935521,2.009150546460054
E0_gust_dose_response,10.461224521909442,0.10436540687643504,2.006778652792589
E0_gust_dose_response,10.977551051548549,0.20215553035493455,2.0064340367752114
E0_gust_dose_response,11.493877581187657,0.2999456538334344,2.008116698407921
E0_gust_dose_response,12.010204110826765,0.39773577731193394,2.011826637690718
E0_gust_dose_response,12.526530640465873,0.4955259007904338,2.0175638546236025
E0_gust_dose_response,13.04285717010498,0.5933160242689334,2.0253283492065743
E0_gust_dose_response,13.55918369974409,0.6911061477474332,2.0351201214396335
E0_gust_dose_response,14.075510229383196,0.7888962712259328,2.0469391713227796
E0_gust_dose_response,14.591836759022303,0.8866863947044322,2.060785498856014
E0_gust_dose_response,15.108163288661412,0.9844765181829321,2.076659104039336
E0_gust_dose_response,15.62448981830052,1.0822666416614317,2.0945599868727443
E0_gust_dose_response,16.140816347939626,1.1800567651399312,2.114488147356241
E0_gust_dose_response,16.657142877578735,1.277846888618431,2.136443585489825
E0_gust_dose_response,17.173469407217844,1.3756370120969308,2.1604263012734957
E0_gust_dose_response,17.689795936856953,1.4734271355754307,2.186436294707254
E0_gust_dose_response,18.20612246649606,1.57121725905393,2.2144735657910997
E0_gust_dose_response,18.722448996135167,1.6690073825324299,2.244538114525033
E0_gust_dose_response,19.238775525774276,1.7667975060109296,2.276629940909054
E0_gust_dose_response,19.75510205541338,1.8645876294894288,2.310749044943161
E0_gust_dose_response,20.27142858505249,1.9623777529679287,2.346895426627357
E0_gust_dose_response,20.7877551146916,2.0601678764464286,2.3850690859616397
E0_gust_dose_response,21.304081644330708,2.1579579999249283,2.4252700229460102
E0_gust_dose_response,21.820408173969813,2.2557481234034276,2.4674982375804677
E0_gust_dose_response,22.336734703608922,2.3535382468819273,2.511753729865012
E0_gust_dose_response,22.85306123324803,2.4513283703604274,2.558036499799645
E0_gust_dose_response,23.369387762887136,2.5491184938389266,2.606346547384365
E0_gust_dose_response,23.885714292526245,2.6469086173174263,2.656683872619172
E0_gust_dose_response,24.402040822165354,2.744698740795926,2.709048475504067
E0_gust_dose_response,24.918367351804463,2.842488864274426,2.7634403560390486
E0_gust_dose_response,25.434693881443568,2.9402789877529254,2.819859514224118
E0_gust_dose_response,25.951020411082677,3.038069111231425,2.8783059500592745
E0_gust_dose_response,26.467346940721786,3.135859234709925,2.9387796635445187
E0_gust_dose_response,26.98367347036089,3.233649358188424,3.0012806546798494
E0_gust_dose_response,27.5,3.331439481666924,3.0658089234652692
R0c_gust_dose_response,2.200000047683716,-1.461762260274403,2.1601446397175796
R0c_gust_dose_response,2.716326577322824,-1.363909029982612,2.1365575184417778
R0c_gust_dose_response,3.2326531069619318,-1.2660557996908208,2.1145973176422084
R0c_gust_dose_response,3.7489796366010393,-1.16820256939903,2.094264037318872
R0c_gust_dose_response,4.265306166240148,-1.0703493391072387,2.0755576774717683
R0c_gust_dose_response,4.781632695879255,-0.972496108815448,2.0584782381008973
R0c_gust_dose_response,5.297959225518363,-0.874642878523657,2.0430257192062586
R0c_gust_dose_response,5.814285755157471,-0.7767896482318659,2.0292001207878534
R0c_gust_dose_response,6.330612284796579,-0.678936417940075,2.01700144284568
R0c_gust_dose_response,6.846938814435687,-0.5810831876482839,2.00642968537974
R0c_gust_dose_response,7.363265344074795,-0.48322995735649293,1.9974848483900325
R0c_gust_dose_response,7.879591873713903,-0.3853767270647019,1.9901669318765578
R0c_gust_dose_response,8.39591840335301,-0.28752349677291106,1.9844759358393158
R0c_gust_dose_response,8.912244932992117,-0.1896702664811202,1.9804118602783065
R0c_gust_dose_response,9.428571462631226,-0.09181703618932903,1.9779747051935297
R0c_gust_dose_response,9.944897992270334,0.006036194102462156,1.9771644705849858
R0c_gust_dose_response,10.461224521909442,0.103889424394253,1.9779811564526746
R0c_gust_dose_response,10.977551051548549,0.20174265468604385,1.980424762796596
R0c_gust_dose_response,11.493877581187657,0.299595884977835,1.9844952896167505
R0c_gust_dose_response,12.010204110826765,0.3974491152696259,1.9901927369131371
R0c_gust_dose_response,12.526530640465873,0.49530234556141706,1.9975171046857567
R0c_gust_dose_response,13.04285717010498,0.5931555758532079,2.006468392934609
R0c_gust_dose_response,13.55918369974409,0.691008806144999,2.017046601659694
R0c_gust_dose_response,14.075510229383196,0.78886203643679,2.029251730861012
R0c_gust_dose_response,14.591836759022303,0.8867152667285808,2.0430837805385624
R0c_gust_dose_response,15.108163288661412,0.984568497020372,2.0585427506923457
R0c_gust_dose_response,15.62448981830052,1.0824217273121628,2.075628641322362
R0c_gust_dose_response,16.140816347939626,1.1802749576039537,2.0943414524286106
R0c_gust_dose_response,16.657142877578735,1.278128187895745,2.1146811840110917
