combination,model_id,term,coef
E0_all,legacy_hinge,Intercept,3.212153277101427
E0_all,legacy_hinge,z_gust_0h,-0.16730263708512103
E0_all,legacy_hinge,z_precipitation_24h_sum,0.042764075446213079
E0_all,legacy_hinge,z_temperature_0h,-0.012498156526734621
E0_all,legacy_hinge,z_pressure_msl_0h,-0.085865388099763504
E0_all,legacy_hinge,z_gust_pressure,-0.040044750492462554
E0_all,legacy_hinge,urban_binary,-0.14923138047907722
E0_all,legacy_hinge,log_population,-0.073839746834347492
E0_all,legacy_hinge,income_deprivation_rate,-3.1467265198471361
E0_all,legacy_hinge,deprivation_gap_pct,0.16882597039401037
E0_all,legacy_hinge,morans_i,-0.025518548267161007
E0_all,legacy_hinge,incident_year[2022],0.094479042223209159
E0_all,legacy_hinge,incident_year[2023],0.021753811377042576
E0_all,legacy_hinge,incident_year[2024],-0.026547426989420669
E0_all,legacy_hinge,incident_month[2],0.047602084196303907
E0_all,legacy_hinge,incident_month[3],-0.013695193542864406
E0_all,legacy_hinge,incident_month[4],-0.071891820766835035
E0_all,legacy_hinge,incident_month[5],-0.0051155311612588929
E0_all,legacy_hinge,incident_month[6],0.27196505899302875
E0_all,legacy_hinge,incident_month[7],0.31994771677776007
E0_all,legacy_hinge,incident_month[8],0.15733866524391099
E0_all,legacy_hinge,incident_month[9],0.064924614173196379
E0_all,legacy_hinge,incident_month[10],-0.034795778678024629
E0_all,legacy_hinge,incident_month[11],-0.10907624913881739
E0_all,legacy_hinge,incident_month[12],0.08598998959876232
E0_all,legacy_hinge,hinge_14,0.14821290736983589
E0_all,legacy_hinge,hinge_26,-0.1537676515812896
E0_weather,final,Intercept,3.8616797608347739
E0_weather,final,z_precipitation_24h_sum,-0.11827051930994266
E0_weather,final,z_temperature_0h,0.027198941296673079
E0_weather,final,z_pressure_msl_0h,-0.18538680336870464
E0_weather,final,z_gust_pressure,-0.086481935295944903
E0_weather,final,urban_binary,-0.0058103102898255932
E0_weather,final,log_population,-0.052849189803676977
E0_weather,final,income_deprivation_rate,-1.9483855151618044
E0_weather,final,deprivation_gap_pct,-1.3852534023926912
E0_weather,final,morans_i,0.59090139897823812
E0_weather,final,incident_year[2022],0.26340425184547789
E0_weather,final,incident_year[2023],0.38855665788609633
E0_weather,final,incident_year[2024],0.38714222872746501
E0_weather,final,incident_month[2],-0.10802477212829509
E0_weather,final,incident_month[3],0.24574021891970702
E0_weather,final,incident_month[4],0.12767927584768599
E0_weather,final,incident_month[5],0.362029179332371
E0_weather,final,incident_month[6],1.0187404648531597
E0_weather,final,incident_month[7],0.78285663953945261
E0_weather,final,incident_month[8],0.77065320394074299
E0_weather,final,incident_month[9],0.43633615044710217
E0_weather,final,incident_month[10],0.55462524703508054
E0_weather,final,incident_month[11],0.27597963323406105
E0_weather,final,incident_month[12],0.55963749928882145
E0_weather,final,gust_low,-0.059490066800773581
E0_weather,final,gust_ramp,0.078501781906975335
E0_weather,final,z_temperature_sq,0.092837296950974493
E0_weather,paper,Intercept,3.897027480228378
E0_weather,paper,z_gust_0h,0.13294046644423618
E0_weather,paper,z_precipitation_24h_sum,-0.13566855685906076
E0_weather,paper,z_temperature_0h,0.13865046076117743
E0_weather,paper,z_pressure_msl_0h,-0.23587814524092218
E0_weather,paper,z_gust_sq,0.045698353407540367
E0_weather,paper,z_gust_pressure,-0.13649101087949642
E0_weather,paper,urban_binary,-0.0025052414181367991
E0_weather,paper,log_population,-0.063485516136381287
E0_weather,paper,income_deprivation_rate,-2.134402484197051
E0_weather,paper,deprivation_gap_pct,-1.3900553665929547
E0_weather,paper,morans_i,0.62730011409103437
E0_weather,paper,incident_year[2022],0.28465356445234552
E0_weather,paper,incident_year[2023],0.33799847917762565
E0_weather,paper,incident_year[2024],0.33886873668664813
E0_weather,paper,incident_month[2],-0.16351903950378699
E0_weather,paper,incident_month[3],0.17323619272767266
E0_weather,paper,incident_month[4],0.03219797293123166
E0_weather,paper,incident_month[5],0.18233540069710052
E0_weather,paper,incident_month[6],0.79447798713829854
E0_weather,paper,incident_month[7],0.68027487436930545
E0_weather,paper,incident_month[8],0.55340945964513211
E0_weather,paper,incident_month[9],0.26008909840293881
E0_weather,paper,incident_month[10],0.32652844969927824
E0_weather,paper,incident_month[11],0.15439659352846491
E0_weather,paper,incident_month[12],0.54322222152154376
E0_weather,control,Intercept,4.4334995563767716
E0_weather,control,z_precipitation_24h_sum,-0.14289552861676597
E0_weather,control,z_temperature_0h,0.18819446086716118
E0_weather,control,z_pressure_msl_0h,-0.3542205422308588
E0_weather,control,urban_binary,0.0052341359804668544
E0_weather,control,log_population,-0.084418077033520847
E0_weather,control,income_deprivation_rate,-2.2130811937888275
E0_weather,control,deprivation_gap_pct,-1.3658861429171516
E0_weather,control,morans_i,0.66273266712112611
E0_weather,control,incident_year[2022],0.25502475408179937
E0_weather,control,incident_year[2023],0.26553471617047802
E0_weather,control,incident_year[2024],0.17409118739768725
E0_weather,control,incident_month[2],-0.1191823430517769
E0_weather,control,incident_month[3],0.089474122069223075
E0_weather,control,incident_month[4],-0.072774154827709978
E0_weather,control,incident_month[5],0.029213657484387298
E0_weather,control,incident_month[6],0.58939209904163226
E0_weather,control,incident_month[7],0.4351146632833105
E0_weather,control,incident_month[8],0.31597399552873412
E0_weather,control,incident_month[9],0.032328207199965271
E0_weather,control,incident_month[10],0.061907167851814583
E0_weather,control,incident_month[11],-0.053454676273577618
E0_weather,control,incident_month[12],0.35604464250333911
E0_weather,hinge,Intercept,4.1401093040541062
E0_weather,hinge,z_precipitation_24h_sum,-0.13179926358103822
E0_weather,hinge,z_temperature_0h,0.15356083665073994
E0_weather,hinge,z_pressure_msl_0h,-0.19893477603942061
E0_weather,hinge,z_gust_pressure,-0.084504811554404466
E0_weather,hinge,urban_binary,-0.00070178968673503697
E0_weather,hinge,log_population,-0.052681081865252527
E0_weather,hinge,income_deprivation_rate,-1.967101021147174
E0_weather,hinge,deprivation_gap_pct,-1.4298937105099283
E0_weather,hinge,morans_i,0.60344128063764635
E0_weather,hinge,incident_year[2022],0.30299988150166401
E0_weather,hinge,incident_year[2023],0.36110561445991679
E0_weather,hinge,incident_year[2024],0.36003540457989774
E0_weather,hinge,incident_month[2],-0.13605177968902621
E0_weather,hinge,incident_month[3],0.20708063862908246
E0_weather,hinge,incident_month[4],0.070126929390088397
E0_weather,hinge,incident_month[5],0.20109629980570878
E0_weather,hinge,incident_month[6],0.83494999688963045
E0_weather,hinge,incident_month[7],0.70477100450311314
E0_weather,hinge,incident_month[8],0.58822827507260489
E0_weather,hinge,incident_month[9],0.24159375042752165
E0_weather,hinge,incident_month[10],0.36961179588795318
E0_weather,hinge,incident_month[11],0.21426368948814231
E0_weather,hinge,incident_month[12],0.56589015333886061
E0_weather,hinge,gust_low,-0.06684377069315528
E0_weather,hinge,gust_ramp,0.069640116226166018
R0c_all,final,Intercept,0.66243464518700046
R0c_all,final,z_gust_0h,-0.00024523989440493864
R0c_all,final,z_precipitation_24h_sum,0.046726713386895387
R0c_all,final,z_temperature_0h,-0.072372198496781046
R0c_all,final,z_pressure_msl_0h,-0.041644120751923447
R0c_all,final,z_gust_sq,0.08096305923144638
R0c_all,final,urban_binary,0.21786307598579113
R0c_all,final,log_population,0.066425487668174368
R0c_all,final,income_deprivation_rate,0.90166643199248209
R0c_all,final,deprivation_gap_pct,-0.13230582549788436
R0c_all,final,morans_i,0.2784524837242407
R0c_all,final,incident_year[2022],0.1024216713707953
R0c_all,final,incident_year[2023],0.002903696775680619
R0c_all,final,incident_year[2024],-0.077738714706510059
R0c_all,final,incident_month[2],0.44455208392154877
R0c_all,final,incident_month[3],0.04321852045590447
R0c_all,final,incident_month[4],-0.0093482923875606427
R0c_all,final,incident_month[5],-0.0084653219667678963
R0c_all,final,incident_month[6],0.13852462181140041
R0c_all,final,incident_month[7],0.1248524398034165
R0c_all,final,incident_month[8],0.13932126374575915
R0c_all,final,incident_month[9],0.074605681779237404
R0c_all,final,incident_month[10],0.030948908738163406
R0c_all,final,incident_month[11],0.011661099130550396
R0c_all,final,incident_month[12],0.057365753885257317
R0c_all,final,z_customers_v2_log1p,-0.19639142124266457
R0c_all,final,z_cust_sq,-0.11133008136808209
R0c_all,final,z_temperature_sq,0.016787741636830358
R0c_all,final,z_gust_precip,-0.024454468274793594
R0c_all,paper,Intercept,0.67819049263682407
R0c_all,paper,z_gust_0h,-0.0067600709617559257
R0c_all,paper,z_precipitation_24h_sum,0.040068227040557604
R0c_all,paper,z_temperature_0h,-0.064013076220172993
R0c_all,paper,z_pressure_msl_0h,-0.042283595999256962
R0c_all,paper,z_gust_sq,0.088656866090270792
R0c_all,paper,z_gust_pressure,0.022729233466759056
R0c_all,paper,urban_binary,0.21648994747305692
R0c_all,paper,log_population,0.067791712629903841
R0c_all,paper,income_deprivation_rate,0.89029738375324796
R0c_all,paper,deprivation_gap_pct,-0.13499297852234701
R0c_all,paper,morans_i,0.27519664570142116
R0c_all,paper,incident_year[2022],0.10748611228522746
R0c_all,paper,incident_year[2023],0.002995235348134759
R0c_all,paper,incident_year[2024],-0.091178507371269202
R0c_all,paper,incident_month[2],0.44145130708040731
R0c_all,paper,incident_month[3],0.033206489981568263
R0c_all,paper,incident_month[4],-0.029693982541441139
R0c_all,paper,incident_month[5],-0.03699396023264262
R0c_all,paper,incident_month[6],0.11927920719321203
R0c_all,paper,incident_month[7],0.11477081475191173
R0c_all,paper,incident_month[8],0.11981667906447045
R0c_all,paper,incident_month[9],0.048237967428898694
R0c_all,paper,incident_month[10],-0.0016718249680331202
R0c_all,paper,incident_month[11],-0.0090066209400170467
R0c_all,paper,incident_month[12],0.048756408775820666
R0c_all,paper,z_customers_v2_log1p,-0.19577364033255676
R0c_all,paper,z_cust_sq,-0.11050685589819476
R0c_all,control,Intercept,0.97745276256630553
R0c_all,control,z_precipitation_24h_sum,0.030733886736165138
R0c_all,control,z_temperature_0h,-0.061571225593100895
R0c_all,control,z_pressure_msl_0h,-0.096331838195649069
