combination,model_id,prediction_type,fold,n,rmse,mae,mean_observed,mean_prediction,bias,r2,correlation
E0_all,final,LAD_OOF,0,12360,1.9890223461476368,1.6828408134391393,2.1030391705530214,2.1428650135824379,0.03982584302941606,0.028827872148927347,0.17112079065977412
E0_all,final,LAD_OOF,1,11776,2.0304476277096399,1.717763048572563,2.2214280149677919,2.1597478028639414,-0.061680212103850614,0.038010430478576662,0.19758369593015784
E0_all,final,LAD_OOF,2,11537,1.969875034616662,1.6967784641666497,2.1159523186650744,2.2514619021950288,0.13550958352995407,0.031639430759950682,0.19032168530190799
E0_all,final,LAD_OOF,3,11887,1.9683408916481977,1.6788475954578475,2.1129461316048332,2.0829817026196396,-0.029964428985193529,0.034224301494487186,0.18574761437624482
E0_all,final,LAD_OOF,4,12877,1.9666869283367061,1.6675370389455551,2.140127040465186,2.088518373420758,-0.051608667044427299,0.032934152498273361,0.18355378382744628
E0_all,paper,LAD_OOF,0,12360,1.9931793197802614,1.6868680052491489,2.1030391705530214,2.1424621901743044,0.039423019621282862,0.024764211768409927,0.15905362372067341
E0_all,paper,LAD_OOF,1,11776,2.0380003405550182,1.7237771905881041,2.2214280149677919,2.1562804156450026,-0.065147599322789476,0.030840440999493679,0.17973291702598512
E0_all,paper,LAD_OOF,2,11537,1.9729407405835875,1.7010752079661084,2.1159523186650744,2.2572219796393518,0.1412696609742769,0.028622976603388639,0.18331221498398259
E0_all,paper,LAD_OOF,3,11887,1.9700683091103706,1.6815979682913533,2.1129461316048332,2.0815751317972961,-0.031370999807536729,0.032528426696647461,0.18109912667053643
E0_all,paper,LAD_OOF,4,12877,1.9697604045968111,1.6717025685019016,2.140127040465186,2.0903883537001482,-0.049738686765037385,0.029909190717414269,0.17510261463375212
E0_weather,final,LAD_OOF,0,1957,2.2344203053795639,1.9638708219093082,3.3520491764654143,3.4205082580531538,0.068459081587740209,0.043198461542392819,0.21064428046954459
E0_weather,final,LAD_OOF,1,2264,2.1679676177229741,1.885209824104835,3.402425839161848,3.340007835527893,-0.062418003633955499,0.042065547164083172,0.20827604503873215
E0_weather,final,LAD_OOF,2,1674,2.140395666930142,1.8658245492630015,3.4093126503736926,3.3451746938256584,-0.0641379565480341,0.05811289991200963,0.24283825212930335
E0_weather,final,LAD_OOF,3,1433,2.2134850446105716,1.925882510984124,3.4219132614258032,3.3047813557748844,-0.11713190565091872,0.052137484175390103,0.23425697816912028
E0_weather,final,LAD_OOF,4,2529,2.1025329183455903,1.8296224889623018,3.2459929308859947,3.376374163393991,0.13038123250799727,0.032942029112008497,0.19918401063595395
E0_weather,paper,LAD_OOF,0,1957,2.2506130090282501,1.9800183701539011,3.3520491764654143,3.4308764880457812,0.078827311580366918,0.029280450805718061,0.179517880666553
E0_weather,paper,LAD_OOF,1,2264,2.1801989636903283,1.9013695253428429,3.402425839161848,3.336957088720053,-0.065468750441795592,0.031226012572279971,0.18072344598291984
E0_weather,paper,LAD_OOF,2,1674,2.1508236458392291,1.8813016670089584,3.4093126503736926,3.34498627118868,-0.064326379185012508,0.048912820467877705,0.22367159034342748
E0_weather,paper,LAD_OOF,3,1433,2.2267115942003728,1.9400293911353426,3.4219132614258032,3.3085197173299266,-0.11339354409587706,0.040775846557315698,0.20821262677796643
E0_weather,paper,LAD_OOF,4,2529,2.109375239860984,1.8346345933317902,3.2459929308859947,3.3704623907304683,0.12446945984447415,0.026637549116985015,0.18168125956377995
E0_weather,hinge,LAD_OOF,0,1957,2.2407215907096067,1.9696421199518972,3.3520491764654143,3.4229378270509505,0.070888650585536256,0.037794302993972351,0.19844913624501276
E0_weather,hinge,LAD_OOF,1,2264,2.1718074623483372,1.889251697833908,3.402425839161848,3.3418307526064837,-0.060595086555364573,0.0386692077545715,0.19969809618776804
E0_weather,hinge,LAD_OOF,2,1674,2.1446802956457787,1.8714076720268298,3.4093126503736926,3.3485714393057244,-0.060741211067968343,0.054338199904459206,0.2348558207470611
E0_weather,hinge,LAD_OOF,3,1433,2.2198820289379957,1.9330035882966743,3.4219132614258032,3.3085005491534245,-0.11341271227237877,0.046650911413264939,0.22185241535953623
E0_weather,hinge,LAD_OOF,4,2529,2.1053066213008389,1.8315503977088159,3.2459929308859947,3.3705180957432983,0.12452516485730432,0.030388822148435302,0.19236884521081155
R0c_all,final,LAD_OOF,0,9834,1.1106748064927379,0.83777752574206554,1.852584838129528,1.8683740998922813,0.015789261762753304,0.11911621270983341,0.34539595087159097
R0c_all,final,LAD_OOF,1,10581,1.1725307182425115,0.8944566564321228,1.837516978411321,1.9002123035059206,0.062695325094599741,0.098720434849757899,0.31919365002043487
R0c_all,final,LAD_OOF,2,10833,1.1629587891402535,0.87939054286247387,1.8525249232653216,1.8784420640253596,0.025917140760038287,0.097353210351977193,0.31342170609849712
R0c_all,final,LAD_OOF,3,9995,1.138431054772457,0.85628397104499154,1.9012292620389808,1.8563609075015497,-0.044868354537431682,0.11258323520705238,0.3376372501273765
R0c_all,final,LAD_OOF,4,9930,1.1626380190447076,0.89895999968074114,1.8987483510551633,1.8416725427839746,-0.057075808271188265,0.10993729404610753,0.33480910372817646
R0c_all,paper,LAD_OOF,0,9834,1.1113071517767859,0.83814538101293823,1.852584838129528,1.8672736241167038,0.014688785987175957,0.1181128924373247,0.34390988091342822
R0c_all,paper,LAD_OOF,1,10581,1.1725355671697955,0.89393406589786073,1.837516978411321,1.9032460534913946,0.06572907508007407,0.098712980464056632,0.31959098029732941
R0c_all,paper,LAD_OOF,2,10833,1.1632707805714146,0.87951288486543655,1.8525249232653216,1.8766202304809281,0.024095307215606755,0.096868832329735199,0.3124622176496244
R0c_all,paper,LAD_OOF,3,9995,1.1384449808779806,0.85593235015685487,1.9012292620389808,1.856969667491718,-0.044259594547263414,0.1125615240370248,0.3375595371079918
R0c_all,paper,LAD_OOF,4,9930,1.1633125802220687,0.89973652659927872,1.8987483510551633,1.8408716656767861,-0.05787668537837732,0.10890416780526457,0.33334834350600168
R0c_weather,final,LAD_OOF,0,2141,1.2266430378305984,0.94808706316600655,1.6756610098918094,1.6970940198772253,0.021433009985415852,0.27165030481266172,0.52293849689505989
R0c_weather,final,LAD_OOF,1,1926,1.3035062675089557,1.0340059905753995,1.8084418400281126,1.6619159025324011,-0.14652593749571169,0.30628806179712398,0.56859361981865186
R0c_weather,final,LAD_OOF,2,1244,1.2111602499286125,0.94321129664705083,1.6216056954224136,1.5963635884512288,-0.025242106971185028,0.22170237417557415,0.48083972059198471
R0c_weather,final,LAD_OOF,3,1894,1.2706167567924298,0.97143695455528145,1.7268886939967667,1.7454819828209833,0.018593288824216556,0.31006505521710404,0.55915273278046407
R0c_weather,final,LAD_OOF,4,2049,1.2076967333029847,0.90087098952446643,1.5593614034914056,1.6876721669493682,0.12831076345796233,0.26268945516305109,0.52655518855792471
R0c_weather,paper,LAD_OOF,0,2141,1.2298713706630797,0.95229262883749632,1.6756610098918094,1.6931149925764566,0.017453982684647144,0.26781145461468858,0.51876041238984438
R0c_weather,paper,LAD_OOF,1,1926,1.3063665031384468,1.0335493165229654,1.8084418400281126,1.6749187111381585,-0.13352312888995416,0.30324034878223616,0.56330470210601191
R0c_weather,paper,LAD_OOF,2,1244,1.2159157450161024,0.94573607354384703,1.6216056954224136,1.5911178943825897,-0.030487801039824017,0.21557856569227984,0.47407476984241742
R0c_weather,paper,LAD_OOF,3,1894,1.274950779416997,0.97245823589042801,1.7268886939967667,1.7512447131813587,0.024356019184592001,0.30535034740410316,0.55465675325659591
R0c_weather,paper,LAD_OOF,4,2049,1.215337159098705,0.91075473300184939,1.5593614034914056,1.6791403895936268,0.1197789861022209,0.25333083732570527,0.51594109350818029
R0c_weather,hinge,LAD_OOF,0,2141,1.2299716347579495,0.95309358846377068,1.6756610098918094,1.6961545284629407,0.020493518571131228,0.26769206779756449,0.51885726872891036
R0c_weather,hinge,LAD_OOF,1,1926,1.3025983351471555,1.0326319419338352,1.8084418400281126,1.6732081000886927,-0.13523373993941978,0.30725410880652748,0.56787453127930021
R0c_weather,hinge,LAD_OOF,2,1244,1.2152880364261669,0.94789344823746002,1.6216056954224136,1.5899277071125448,-0.031677988309869017,0.21638826155877944,0.47534449781634719
