Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,z_temperature_sq,z_gust_precip,term
0.1875060017750336,0.00084268204005072422,0.00014533993426826369,-0.00030841672509630098,-0.0001944346144145274,-0.00058352773842616627,-0.0023428996855995986,-0.016150577450725293,0.061702385221616196,-0.0021555350845784888,0.01537924719811999,0.0014885152150106308,-0.00023699268580428033,-0.0028199626399209011,0.0087575016276151794,-0.0015173232658006928,-0.0026008612280511464,-0.0041699050252002687,-0.0012137630352602007,-0.0012612532858641333,-0.0032486595316314052,-0.0026823553074101789,-0.0018919555022846684,-0.0015227987553640509,-0.00093143380021220516,-0.0013648308022808293,0.00054448974037463183,-0.00011891496257506381,0.00010784703005485604,Intercept
0.00084268204005111171,0.00036882225814427027,-6.8048498418323401e-05,-0.00023727449084447297,-9.9706684855851375e-05,-3.2450228201258226e-05,-0.00025792748071119765,-4.9113078472816077e-05,-0.0010936314781916615,0.00017495733021202122,2.2938928723512668e-05,0.00022698375389739703,-0.00017562612773442041,-0.00076003414519663708,0.0014760358602984257,5.2449572348978743e-05,-9.1472622883369444e-05,0.00011722682473043521,0.00031164827505899873,0.0002600159142099315,0.00031269950430326223,0.00028581658522735918,6.9597638588468283e-05,-0.00023529107518545773,-0.00029686721733337767,-8.3052720519324614e-05,6.4269163048913025e-05,5.0782533054443382e-05,-1.5848919570324504e-05,z_gust_0h
0.00014533993426823377,-6.804849841832309e-05,9.2593465663818892e-05,4.2287438996612239e-05,5.7196400608740868e-05,8.8354334974043219e-06,4.0505364906963593e-05,-2.173077606797805e-05,0.00030564624170498699,-0.00021193957869794963,0.00017689008530329678,-4.9058999820876773e-06,6.7357402979593934e-05,0.00016035354584468265,-0.00026514755778957584,-1.1039607473789259e-05,1.3124530926323171e-05,-5.1210779052131622e-05,-7.6355372743639201e-05,-6.0999262151928187e-05,-3.7687789954202353e-05,-6.2959054549244765e-05,-3.7778432587239985e-05,6.7853423364036119e-05,3.9967149809490387e-05,3.7389180233329147e-05,6.0762287221470324e-06,-6.6156044635340124e-07,-1.397603035894673e-05,z_precipitation_24h_sum
-0.00030841672509655804,-0.000237274490844473,4.2287438996612184e-05,0.00036289690525009925,8.4609924820198872e-05,2.8209301229210392e-05,0.00010965315943740442,4.44269440386089e-05,0.0016246771972275884,-0.00066203515089068759,0.00018039821584605594,-0.00020626996175322055,0.00011369929608021865,0.00048037476994367939,-0.0012464209309009618,-0.00012610130425864396,-9.4079134541783535e-05,-0.00034402263496184426,-0.00062849227948337701,-0.00058994562810591789,-0.00059197835137996869,-0.00057682974496450963,-0.00036788038052291576,4.0531799235278147e-05,0.00019352860773373236,6.0853765991332146e-05,-9.3802562437778745e-05,-6.810746650998684e-05,1.0408422854860862e-05,z_temperature_0h
-0.00019443461441467281,-9.9706684855850602e-05,5.7196400608740895e-05,8.4609924820197626e-05,0.00016755670547232809,1.0027286572737052e-06,8.9558987208446079e-05,-9.6032382154328487e-07,0.00018107438357963353,-1.402031653610337e-05,5.4310833557269282e-06,-9.0379283477034296e-05,0.00011476578404895037,0.0005234600607800133,-0.00074075874030957612,5.9451642392705928e-05,0.00011194602055617945,5.083737554043193e-05,-3.1385662381284146e-05,4.2980041937892177e-05,1.3245094635024609e-05,2.9208984217832467e-05,0.00011650013191665868,0.00025662457893416921,0.00026929234416462396,2.3494542485869417e-05,-3.3332641433702938e-05,-1.3858630733245877e-05,-1.0127530152664043e-05,z_pressure_msl_0h
-0.00058352773842626938,-3.2450228201257921e-05,8.8354334974043557e-06,2.8209301229210104e-05,1.0027286572734794e-06,5.4964923851850704e-05,1.5383010091873339e-05,4.2321081612703368e-05,-0.00011455144059630959,-0.00014149259536137354,2.5812796540022928e-05,-4.0234449238684679e-05,2.2875376924768788e-05,0.0001365707700556197,-0.00027276187799950958,1.7305124710881952e-05,8.0662435021349531e-05,5.9444462881011605e-05,1.3997986485906273e-05,-1.6360660627013325e-06,1.2658291408542502e-05,1.5771372251126827e-05,2.3792460223592029e-05,5.617092451007166e-05,5.9856985315220694e-05,8.7805820575745313e-06,2.6920780642419494e-05,1.7118290796636211e-07,-1.7942228590602981e-05,z_gust_sq
-0.0023428996855996273,-0.00025792748071119765,4.0505364906963857e-05,0.00010965315943740305,8.9558987208448031e-05,1.5383010091873743e-05,0.0027268276543152108,7.6926187005179749e-05,0.0058004212613310341,-0.003748423109190162,-0.002241059800411544,-0.00025639793468036729,0.00019793263501322094,0.00066395820406889359,-0.0017655213063511451,5.4674624556959818e-05,0.0004595655832301134,0.00019016326251088036,0.00013717414513611078,0.00022473586332475657,0.00012413808677306886,-5.1452909877653793e-05,0.00037126776818935012,0.00025971438712044218,0.00043433183975963698,8.292464841405908e-05,-5.9550604485663394e-06,-1.5160515215663588e-05,5.5829366702852359e-05,urban_binary
-0.016150577450730806,-4.9113078472761033e-05,-2.1730776067981766e-05,4.4426944038588727e-05,-9.6032382155667921e-07,4.2321081612689212e-05,7.6926187005123858e-05,0.0014636343537766422,-0.0054267818975799516,-0.0022224304640830793,-0.00078430337689602131,-0.00013775165705206906,-4.3979169541879139e-05,2.8731126783927171e-05,-0.00059611951705648345,2.5638040775115059e-05,6.0844868620246811e-05,0.00016485398540724892,-0.00011338817921194787,-0.00010116744468617028,0.00010920160771349865,5.7016160792949347e-05,-6.325043458952892e-05,-3.5050142670767166e-05,-0.0001014434017596956,0.00012466509849511179,-8.3379081854557748e-05,5.2544931073774751e-06,-1.5413626626510436e-05,log_population
0.061702385221621567,-0.00109363147819166,0.00030564624170498493,0.0016246771972276478,0.00018107438357961263,-0.00011455144059631665,0.0058004212613309456,-0.0054267818975778362,0.47119748376758608,-0.20787262203302292,0.0085647767485560067,-0.0042474378472157227,5.2342892429188092e-05,0.0042137213509500114,-0.011867357558683605,-0.0020056892796869773,0.0013181309986556582,-0.0012475868791421781,-0.00087764248938698882,0.00155083272257091,-0.0014066575835470464,-0.00037091380080102679,0.001757278100120776,0.0026878950508033733,0.0029658391831639186,0.0018368170023718596,-0.00091904786920973293,-0.00054698586275634623,0.00070454437469973465,income_deprivation_rate
-0.0021555350845852621,0.00017495733021201875,-0.00021193957869795107,-0.00066203515089067425,-1.4020316536123658e-05,-0.00014149259536139252,-0.0037484231091901789,-0.0022224304640840603,-0.20787262203302564,0.24648618486365245,-0.041896434059849545,0.0020520140004009414,0.0010461908980779137,0.0012574545228220904,0.0026770053425493128,0.0017392160158966562,-2.08994655916486e-05,0.0018375928266609726,0.002310710740176196,0.00099573215547671466,0.00035022737829240906,0.00018144501807301771,0.00085014128710869132,0.0002484868642854155,0.0017713383357792027,-0.0013450579509302566,0.00055397080141181894,0.00010606315697657019,-0.00023067061658174628,deprivation_gap_pct
